#height[m], Uprec[m/s], Uturb[m/s], diff[m/s], plane_dist[D]
 0.0 4.86252446438476 4.82332165867615 0.03920280570860957 -50
10.0 6.151602073683982 6.126430488834594 0.025171584849387862 -50
20.0 7.441396884632952 7.430275878639884 0.011121005993067534 -50
30.0 7.913048695984555 7.909805898779809 0.003242797204745962 -50
40.0 8.385071198483828 8.389662195833663 -0.004590997349835035 -50
50.0 8.543014081841239 8.546735590394343 -0.003721508553104158 -50
60.0 8.701109478475844 8.703969368398838 -0.0028598899229930197 -50
70.0 8.82159118248159 8.825704164929318 -0.004112982447727731 -50
80.0 8.942180026527407 8.947577570320487 -0.005397543793080217 -50
90.0 9.020505498662773 9.01973789510699 0.0007676035557828698 -50
100.0 9.09893868187075 9.092014814993991 0.006923866876759277 -50
110.0 9.161959994224375 9.152653126860976 0.009306867363399363 -50
120.0 9.225074314227967 9.2134032188545 0.01167109537346711 -50
130.0 9.273244566443514 9.262003331391353 0.011241235052160903 -50
140.0 9.321513794772711 9.310692205504651 0.010821589268060094 -50
150.0 9.36083181196302 9.350785978174262 0.010045833788758785 -50
160.0 9.400215355602299 9.390933407877307 0.009281947724991468 -50
170.0 9.434516708345495 9.422812319412744 0.011704388932750831 -50
180.0 9.46887737907604 9.45475146872506 0.01412591035098032 -50
190.0 9.494573999779128 9.48222347042155 0.012350529357577855 -50
200.0 9.520332513683117 9.509744212453933 0.010588301229184083 -50
210.0 9.544931983322048 9.53842273193489 0.006509251387157633 -50
220.0 9.569583440744074 9.567150527051894 0.0024329136921803496 -50
230.0 9.58827854233773 9.58925869380232 -0.0009801514645904064 -50
240.0 9.607020634222067 9.611420053868239 -0.00439941964617141 -50
250.0 9.622841992691942 9.627036002907392 -0.00419401021544985 -50
260.0 9.638708708318658 9.642715251766646 -0.004006543447987454 -50
270.0 9.654020593149067 9.656834241272938 -0.002813648123870749 -50
280.0 9.669382569097133 9.671002274578491 -0.00161970548135848 -50
290.0 9.679837501438858 9.68250981969197 -0.002672318253113204 -50
300.0 9.690336757546973 9.69406138089618 -0.003724623349206979 -50
310.0 9.700612409838868 9.702767491840582 -0.0021550820017139927 -50
320.0 9.710919496338244 9.71151194491881 -0.0005924485805657298 -50
330.0 9.722105106400134 9.71978615353277 0.0023189528673643878 -50
340.0 9.733324757892957 9.728095551612965 0.005229206279992127 -50
350.0 9.742763750325775 9.738815391487199 0.003948358838576027 -50
360.0 9.752236480487896 9.749572137097214 0.0026643433906823333 -50
370.0 9.757798925179763 9.754825797604191 0.002973127575572221 -50
