# Y/D TKEres TKEsgs TKEtot
-4.000000000000000000e+00 2.920317745140148524e-01 1.147956239556821231e-02 3.035113369095830405e-01
-3.950000000000000622e+00 2.903064244007493855e-01 1.118997907910860255e-02 3.014964034798580106e-01
-3.900000000000001243e+00 2.897815499768703895e-01 1.082736708479502263e-02 3.006089170616654260e-01
-3.849999999999998757e+00 2.822916974742615270e-01 1.028136107653049650e-02 2.925730585507920201e-01
-3.799999999999999378e+00 2.735746124334303975e-01 9.852312302546517575e-03 2.834269247359769150e-01
-3.750000000000000000e+00 2.490925412604135247e-01 9.768732734096756062e-03 2.588612739945102548e-01
-3.700000000000000622e+00 2.188301479418151008e-01 9.778833304883004923e-03 2.286089812466980953e-01
-3.650000000000001243e+00 1.935823223082119848e-01 9.795041672143631542e-03 2.033773639803556077e-01
-3.599999999999998757e+00 1.767601282199781632e-01 9.453122911597213948e-03 1.862132511315753858e-01
-3.549999999999999378e+00 1.698745236796399272e-01 9.155358187150680963e-03 1.790298818667906133e-01
-3.500000000000000000e+00 1.722977450611327399e-01 8.818595696553513039e-03 1.811163407576862616e-01
-3.450000000000000622e+00 1.738054246435464245e-01 8.292675963869797565e-03 1.820981006074162134e-01
-3.400000000000001243e+00 1.787930545166056540e-01 7.979044359476567677e-03 1.867720988760822320e-01
-3.349999999999998757e+00 1.803832766848247338e-01 7.842322126624667877e-03 1.882255988114494016e-01
-3.299999999999999378e+00 1.790895727560098127e-01 7.906733039824965364e-03 1.869963057958347885e-01
-3.250000000000000000e+00 1.823228986050139389e-01 8.048485306787547811e-03 1.903713839118014728e-01
-3.200000000000000622e+00 1.790884852056230381e-01 8.499350075916260391e-03 1.875878352815393002e-01
-3.150000000000001243e+00 1.720983365280007171e-01 8.344159577258820903e-03 1.804424961052595311e-01
-3.099999999999998757e+00 1.703709041044467465e-01 8.107730389204970828e-03 1.784786344936517277e-01
-3.049999999999999378e+00 1.669530757243640751e-01 8.231539428483756679e-03 1.751846151528478335e-01
-3.000000000000000000e+00 1.624327261696456581e-01 8.509942461401106065e-03 1.709426686310467625e-01
-2.950000000000000622e+00 1.600015168486833006e-01 9.054638172979150371e-03 1.690561550216624631e-01
-2.900000000000001243e+00 1.618049082504492420e-01 9.643020685577404286e-03 1.714479289360266445e-01
-2.849999999999998757e+00 1.691676191124196482e-01 9.858595818290289206e-03 1.790262149307099426e-01
-2.799999999999999378e+00 1.831551401540131851e-01 9.592958323394995199e-03 1.927480984774081751e-01
-2.750000000000000000e+00 1.922649501650981751e-01 8.835978853735786467e-03 2.011009290188339738e-01
-2.700000000000000622e+00 1.984180953382873869e-01 8.034161624373137994e-03 2.064522569626605353e-01
-2.650000000000001243e+00 1.952290044840691574e-01 7.520600986659274796e-03 2.027496054707284279e-01
-2.599999999999998757e+00 1.993263038468096326e-01 7.465236388891091299e-03 2.067915402357007326e-01
-2.549999999999999378e+00 2.097094617327967814e-01 7.789422958865947419e-03 2.174988846916627305e-01
-2.500000000000000000e+00 2.209363272544193069e-01 8.321773891937016623e-03 2.292581011463563356e-01
-2.450000000000000622e+00 2.198329181110929564e-01 8.669904075852214245e-03 2.285028221869451759e-01
-2.400000000000001243e+00 2.094716156153988984e-01 9.026748585137878492e-03 2.184983642005367821e-01
-2.349999999999998757e+00 1.911342201996394097e-01 9.469458556096084154e-03 2.006036787557354817e-01
-2.299999999999999378e+00 1.764222528887116892e-01 9.444471059832974802e-03 1.858667239485446709e-01
-2.250000000000000000e+00 1.615624224398583553e-01 8.588960306344524051e-03 1.701513827462028672e-01
-2.200000000000000622e+00 1.526956827596111232e-01 7.452674604830990257e-03 1.601483573644421066e-01
-2.150000000000001243e+00 1.533415099709319884e-01 6.529940374763613074e-03 1.598714503456956093e-01
-2.099999999999998757e+00 1.588222376212195808e-01 6.182250757075569148e-03 1.650044883782951499e-01
-2.049999999999999378e+00 1.624744967915545402e-01 5.969971820934833265e-03 1.684444686124893786e-01
-2.000000000000000000e+00 1.660104844841660543e-01 5.802181893230945811e-03 1.718126663773970053e-01
-1.950000000000000622e+00 1.693897758527085906e-01 5.297595274934782834e-03 1.746873711276433760e-01
