# Y/D TKEres TKEsgs TKEtot
-4.000000000000000000e+00 2.108453928136566624e-01 1.669752430635589383e-02 2.275429171200125666e-01
-3.950000000000000622e+00 2.137917106290890268e-01 1.681491760710109029e-02 2.306066282361901032e-01
-3.900000000000001243e+00 2.153720491403195159e-01 1.689806664843563483e-02 2.322701157887551437e-01
-3.849999999999998757e+00 2.046276747299408671e-01 1.722303435959706558e-02 2.218507090895379397e-01
-3.799999999999999378e+00 1.985758544099368306e-01 1.752805588900266040e-02 2.161039102989394944e-01
-3.750000000000000000e+00 1.956508129325085499e-01 1.778051412624191696e-02 2.134313270587504530e-01
-3.700000000000000622e+00 1.983845035244981014e-01 1.728944037116097662e-02 2.156739438956590815e-01
-3.650000000000001243e+00 2.127296728493639488e-01 1.663772414568756922e-02 2.293673969950515146e-01
-3.599999999999998757e+00 2.139227055038259162e-01 1.605898670558985816e-02 2.299816922094157778e-01
-3.549999999999999378e+00 2.078654087381699989e-01 1.601708239800652897e-02 2.238824911361765313e-01
-3.500000000000000000e+00 2.050877609719641836e-01 1.626141222475819062e-02 2.213491731967223708e-01
-3.450000000000000622e+00 1.941984404886228921e-01 1.652502242782836681e-02 2.107234629164512485e-01
-3.400000000000001243e+00 1.881241174270281702e-01 1.665896047710326705e-02 2.047830779041314442e-01
-3.349999999999998757e+00 1.884904129560899533e-01 1.666525249998599204e-02 2.051556654560759418e-01
-3.299999999999999378e+00 1.805550954560644628e-01 1.667206621861793206e-02 1.972271616746824052e-01
-3.250000000000000000e+00 1.793330420570364014e-01 1.672954890456974930e-02 1.960625909616061646e-01
-3.200000000000000622e+00 1.752414683695905917e-01 1.687928920188207227e-02 1.921207575714726778e-01
-3.150000000000001243e+00 1.665353143933815394e-01 1.698675684956488588e-02 1.835220712429464218e-01
-3.099999999999998757e+00 1.693690112337138398e-01 1.696614392668886750e-02 1.863351551604027212e-01
-3.049999999999999378e+00 1.727214396951340936e-01 1.649443132554391511e-02 1.892158710206779948e-01
-3.000000000000000000e+00 1.799796160945835444e-01 1.594304151754708312e-02 1.959226576121306240e-01
-2.950000000000000622e+00 1.958671897353400637e-01 1.536246491220317339e-02 2.112296546475432302e-01
-2.900000000000001243e+00 1.959438122920443004e-01 1.508400650706101173e-02 2.110278187991053156e-01
-2.849999999999998757e+00 1.914080401856064761e-01 1.491509449914377866e-02 2.063231346847502479e-01
-2.799999999999999378e+00 1.826241477630329568e-01 1.486470810133881139e-02 1.974888558643717595e-01
-2.750000000000000000e+00 1.674178855729415716e-01 1.488092319656857988e-02 1.822988087695101567e-01
-2.700000000000000622e+00 1.602023335322705355e-01 1.485375698449817143e-02 1.750560905167687087e-01
-2.650000000000001243e+00 1.517873847632283668e-01 1.472473035798581818e-02 1.665121151212141937e-01
-2.599999999999998757e+00 1.412359196166737552e-01 1.464335827983509822e-02 1.558792778965088499e-01
-2.549999999999999378e+00 1.423350117363358924e-01 1.463209867153024077e-02 1.569671104078661228e-01
-2.500000000000000000e+00 1.463357786838756502e-01 1.486828681459434129e-02 1.612040654984699950e-01
-2.450000000000000622e+00 1.517828952214495819e-01 1.518208293585457218e-02 1.669649781573041558e-01
-2.400000000000001243e+00 1.650855025478774607e-01 1.555062076090038721e-02 1.806361233087778462e-01
-2.349999999999998757e+00 1.609050512863005045e-01 1.605282615298027696e-02 1.769578774392807918e-01
-2.299999999999999378e+00 1.554746029073654778e-01 1.624802264941414484e-02 1.717226255567796123e-01
-2.250000000000000000e+00 1.452650477413644503e-01 1.607798442516583659e-02 1.613430321665302869e-01
-2.200000000000000622e+00 1.320732711957119110e-01 1.588079944882813191e-02 1.479540706445400533e-01
-2.150000000000001243e+00 1.311881653535651171e-01 1.581330523946236286e-02 1.470014705930274834e-01
-2.099999999999998757e+00 1.369892517822466349e-01 1.604665029567194090e-02 1.530359020779185619e-01
-2.049999999999999378e+00 1.452554572211293138e-01 1.608111100987301423e-02 1.613365682310023419e-01
-2.000000000000000000e+00 1.629781319875766299e-01 1.600721106110439620e-02 1.789853430486810226e-01
-1.950000000000000622e+00 1.681542606749687474e-01 1.574258223008627097e-02 1.838968429050550080e-01
