# Y/D U V W
-4.000000000000000000e+00 6.264211777355469302e+00 4.876980534602701756e-01 8.979278453842342439e-03
-3.950000000000000622e+00 6.255294609541271811e+00 4.777128138464128981e-01 2.275426283651987847e-02
-3.900000000000001243e+00 6.233017571018487857e+00 4.702331293176671423e-01 2.032026219703387745e-02
-3.849999999999998757e+00 6.210310855970282873e+00 4.627893191928773575e-01 2.584053186233280230e-02
-3.799999999999999378e+00 6.203975948589971701e+00 4.548955562284451304e-01 4.536242663028829808e-02
-3.750000000000000000e+00 6.199913855573585764e+00 4.476042953996905993e-01 6.446139883299853435e-02
-3.700000000000000622e+00 6.194738603046546110e+00 4.386049983600753266e-01 7.768573787868086888e-02
-3.650000000000001243e+00 6.191695685352500256e+00 4.234950145621239614e-01 7.942715862468101296e-02
-3.599999999999998757e+00 6.194451761393444222e+00 4.048470721364989533e-01 7.017008299704567686e-02
-3.549999999999999378e+00 6.203011080306747971e+00 3.874789629936116753e-01 5.743770053960723515e-02
-3.500000000000000000e+00 6.223049223952306086e+00 3.725801936971718242e-01 4.054409985213607709e-02
-3.450000000000000622e+00 6.256769789793718672e+00 3.643129984068843585e-01 1.339769158187047865e-02
-3.400000000000001243e+00 6.291708981657177624e+00 3.598045679508410366e-01 -4.295860946790362560e-03
-3.349999999999998757e+00 6.317954087329638924e+00 3.494335073939523473e-01 -7.487818503023459943e-03
-3.299999999999999378e+00 6.329666485190203140e+00 3.352212488649836675e-01 -6.111503138195533043e-03
-3.250000000000000000e+00 6.330210131933310613e+00 3.238726031666794847e-01 -7.331907772229506390e-03
-3.200000000000000622e+00 6.325932199229709951e+00 3.194309416412979274e-01 -8.942932434782443346e-03
-3.150000000000001243e+00 6.316337923117735009e+00 3.218976792752483163e-01 -5.684675399897574401e-03
-3.099999999999998757e+00 6.302787950993738342e+00 3.298027395014729857e-01 -1.856559167220940684e-03
-3.049999999999999378e+00 6.281150931116537883e+00 3.389105299660415960e-01 7.577590987904884133e-03
-3.000000000000000000e+00 6.258622278579983877e+00 3.483852821872935324e-01 1.905381202677973451e-02
-2.950000000000000622e+00 6.237419112519859254e+00 3.573110906239369000e-01 3.700753050288738827e-02
-2.900000000000001243e+00 6.222232186397138598e+00 3.614856420730021558e-01 6.209388730582387356e-02
-2.849999999999998757e+00 6.218041427340647687e+00 3.624529838488835254e-01 8.935101394205141601e-02
-2.799999999999999378e+00 6.218366689391524815e+00 3.703041829680666641e-01 1.076114518913814100e-01
-2.750000000000000000e+00 6.220807032946838788e+00 3.890529038394215933e-01 1.121329899747880582e-01
-2.700000000000000622e+00 6.227293594078417982e+00 4.135798531262152022e-01 9.885058022982319559e-02
-2.650000000000001243e+00 6.226970168378046289e+00 4.282031516895712930e-01 7.814328001091154496e-02
-2.599999999999998757e+00 6.222487009359795707e+00 4.293680879241544290e-01 6.343929273269489910e-02
-2.549999999999999378e+00 6.223953359707270039e+00 4.280444073831279339e-01 4.974289103331808876e-02
-2.500000000000000000e+00 6.236609760424154381e+00 4.325130359427014626e-01 2.981427950990393413e-02
-2.450000000000000622e+00 6.262289034269528543e+00 4.441625721736245369e-01 1.154917719655540118e-02
-2.400000000000001243e+00 6.283699976905472440e+00 4.544146643730923030e-01 -1.279134572653480191e-02
-2.349999999999998757e+00 6.300968691533330279e+00 4.589683224112222071e-01 -3.530497211192123314e-02
-2.299999999999999378e+00 6.320222114616524500e+00 4.570089727812274849e-01 -3.719947817827713027e-02
-2.250000000000000000e+00 6.343355750305454066e+00 4.524222400079707107e-01 -2.423872513461834341e-02
-2.200000000000000622e+00 6.370815692622046278e+00 4.502328851979098268e-01 -1.730223801943818127e-02
-2.150000000000001243e+00 6.396958976789040463e+00 4.497072561997613183e-01 -1.543492051238750697e-02
-2.099999999999998757e+00 6.414620442737286155e+00 4.471226022730455663e-01 -1.364549815346643817e-02
-2.049999999999999378e+00 6.424326665565041949e+00 4.439740841185166875e-01 -2.008209472177688304e-02
-2.000000000000000000e+00 6.430272923308447020e+00 4.431038900082584497e-01 -4.021515863788469036e-02
-1.950000000000000622e+00 6.435455288311406008e+00 4.459395720087617199e-01 -5.975844736030739429e-02
-1.900000000000001465e+00 6.433064440695229536e+00 4.515043258742140186e-01 -7.043264403369992044e-02
-1.849999999999998535e+00 6.426588489897166134e+00 4.551351045567351705e-01 -7.515031046208270338e-02
-1.799999999999999378e+00 6.426622276065206307e+00 4.563209942877860525e-01 -7.587501954256344050e-02
-1.750000000000000000e+00 6.438554673234865966e+00 4.586567665618525580e-01 -7.538515857729966019e-02
-1.700000000000000622e+00 6.460157014299069189e+00 4.650652900635204312e-01 -7.810358501945134646e-02
-1.650000000000001465e+00 6.478272794662411904e+00 4.741575460686922594e-01 -8.191052876318424825e-02
-1.599999999999998535e+00 6.490467308710583083e+00 4.824331229079065753e-01 -8.256237301792630767e-02
-1.549999999999999378e+00 6.497795398594842453e+00 4.864447077839588740e-01 -7.791790318508449997e-02
-1.500000000000000000e+00 6.500327142674984238e+00 4.873824648991096908e-01 -7.081288107639262253e-02
-1.450000000000000622e+00 6.498542652206654502e+00 4.885885019239726290e-01 -5.927878780596355229e-02
-1.400000000000001465e+00 6.487248395234749943e+00 4.900009937235486612e-01 -5.637548936384453868e-02
-1.349999999999998535e+00 6.467814500790160182e+00 4.928497474542117840e-01 -6.927384616332529776e-02
-1.299999999999999378e+00 6.445755778804989511e+00 5.009642347988418898e-01 -8.709632516835330573e-02
-1.250000000000000000e+00 6.419318063052514844e+00 5.112081209348766642e-01 -9.849165166856635456e-02
-1.200000000000000622e+00 6.386008152140721705e+00 5.182266722324662123e-01 -9.800377568749155111e-02
-1.150000000000001465e+00 6.356707489911303632e+00 5.223995984052568486e-01 -9.080683074094351992e-02
-1.099999999999998535e+00 6.339070103828400526e+00 5.240469203465742964e-01 -9.024856381190281274e-02
-1.049999999999999378e+00 6.333668416018418235e+00 5.212857881171949481e-01 -9.273142381899576736e-02
-1.000000000000000000e+00 6.336410226097743070e+00 5.148697722404587118e-01 -8.126934462128522496e-02
-9.500000000000007327e-01 6.323747209813706860e+00 5.078580251476921825e-01 -4.823448402310084177e-02
-9.000000000000014655e-01 6.304113903998293189e+00 5.037005285665542287e-01 -1.993923838257309275e-02
-8.499999999999985345e-01 6.289251389705195372e+00 5.018972311751906945e-01 -1.385969168338754658e-02
-7.999999999999992673e-01 6.274375806002552736e+00 4.991345410602728294e-01 -1.747507294246343490e-02
-7.500000000000000000e-01 6.252628010774464506e+00 4.938954799513645133e-01 -2.101802291472202114e-02
-7.000000000000007327e-01 6.222449070815109451e+00 4.862678931754934042e-01 -2.509031110703354231e-02
-6.500000000000014655e-01 6.183263656825493726e+00 4.738079348922784040e-01 -2.285333952284725190e-02
-5.999999999999985345e-01 6.141594068442397969e+00 4.551411322337403087e-01 7.482021967862058885e-03
-5.499999999999992673e-01 6.108302679090588327e+00 4.379748693804235704e-01 4.251909474085018709e-02
-5.000000000000000000e-01 6.085356768503195291e+00 4.284403856462548066e-01 7.228983913201256217e-02
-4.500000000000007327e-01 6.084846283106727149e+00 4.313287931912491713e-01 9.673479470707196937e-02
-4.000000000000014100e-01 6.110224963194404779e+00 4.467813236155694923e-01 1.092662469137587744e-01
-3.499999999999985900e-01 6.141755405248923161e+00 4.687480824882263031e-01 1.106270183825383419e-01
-2.999999999999992673e-01 6.167276094380647500e+00 4.915717413472570074e-01 1.034541613335673155e-01
-2.500000000000000000e-01 6.177782577089588223e+00 5.106395605315966479e-01 9.383794126722320994e-02
-2.000000000000007050e-01 6.178754958009956333e+00 5.282104784491294946e-01 8.391216154305383701e-02
-1.500000000000014377e-01 6.175591874073343313e+00 5.466190734358875591e-01 7.272112775612668556e-02
-9.999999999999856226e-02 6.171990542626305754e+00 5.668142617213365320e-01 5.585414653975359633e-02
-4.999999999999928113e-02 6.179512591465119442e+00 5.916310722599394945e-01 3.300833167563284321e-02
0.000000000000000000e+00 6.191722124499034585e+00 6.204454213696368736e-01 9.521262231420874605e-03
4.999999999999928113e-02 6.203713028817755770e+00 6.498228766800816514e-01 -1.296909082557459042e-02
9.999999999999856226e-02 6.222960411936802494e+00 6.736629102070487152e-01 -3.976321698235490282e-02
1.500000000000014377e-01 6.238864702143545493e+00 6.819060316654496079e-01 -6.616219587713202677e-02
2.000000000000007050e-01 6.240546808582077887e+00 6.749274275221228692e-01 -7.414867979281358767e-02
2.500000000000000000e-01 6.241758168686138752e+00 6.618400938532897904e-01 -7.709738410337155234e-02
2.999999999999992673e-01 6.242415105458449354e+00 6.490156918292520061e-01 -8.075522598248358053e-02
3.499999999999985900e-01 6.252732868656199372e+00 6.391972578514854009e-01 -7.480624071446008438e-02
4.000000000000014100e-01 6.270511176899684180e+00 6.323157866036792640e-01 -5.705133983793807262e-02
4.500000000000007327e-01 6.285233434523962437e+00 6.268151648672051213e-01 -4.080952322555397166e-02
5.000000000000000000e-01 6.295825542400608654e+00 6.220656457542390605e-01 -2.585759219730651357e-02
5.499999999999992673e-01 6.305594613799390125e+00 6.199103498175436711e-01 -1.297623693989728016e-02
5.999999999999985345e-01 6.315732890974463665e+00 6.209698929430578218e-01 -9.470020466965661451e-03
6.500000000000014655e-01 6.321151133660504406e+00 6.211807371318947002e-01 -1.284073282624529320e-02
7.000000000000007327e-01 6.322261256156480158e+00 6.156096581254860700e-01 -1.522889151947076983e-02
7.500000000000000000e-01 6.334480052469614542e+00 6.104337814182340116e-01 -1.718196804987240714e-02
7.999999999999992673e-01 6.350443517129772175e+00 6.113693008773762871e-01 -2.367994809488479027e-02
8.499999999999985345e-01 6.359163313198947343e+00 6.170530504677401717e-01 -3.118140888064039815e-02
9.000000000000014655e-01 6.357163162327529982e+00 6.234330955956638443e-01 -3.385330486923652377e-02
9.500000000000007327e-01 6.349672710489310923e+00 6.270735549264562225e-01 -2.670157622669946246e-02
1.000000000000000000e+00 6.329886311887813477e+00 6.265524809883615820e-01 -1.775641000868696806e-02
1.049999999999999378e+00 6.298604922934917028e+00 6.224541312706489693e-01 -1.315336853530538024e-02
1.099999999999998535e+00 6.276296229635726753e+00 6.161104283234782875e-01 -8.380576197430230842e-03
1.150000000000001465e+00 6.259215983433049857e+00 6.072960226365792247e-01 -1.039199960721230026e-02
1.200000000000000622e+00 6.238464722373472604e+00 5.985094042705721984e-01 -1.439271927100518531e-02
1.250000000000000000e+00 6.223231586033950435e+00 5.956246993853504534e-01 -1.574274783242107789e-02
1.299999999999999378e+00 6.218585686029438619e+00 5.955194144386818378e-01 -1.569468631344567849e-02
1.349999999999998535e+00 6.216479125714706733e+00 5.934575714078239583e-01 -1.327634480535958526e-02
1.400000000000001465e+00 6.218504345907777342e+00 5.839198970413133072e-01 -1.259291997718467448e-02
1.450000000000000622e+00 6.217743845901186894e+00 5.639438211140427315e-01 -9.835493406351718607e-03
1.500000000000000000e+00 6.228029515967476115e+00 5.457189088017104783e-01 -2.110285193225787739e-03
1.549999999999999378e+00 6.254842418118282232e+00 5.392552527466997203e-01 1.427334829840996855e-03
1.599999999999998535e+00 6.269983212447571397e+00 5.430295687337765020e-01 7.885836801343476185e-03
1.650000000000001465e+00 6.280203661462560483e+00 5.498079064018187578e-01 2.672006308100718583e-02
1.700000000000000622e+00 6.293407589658959189e+00 5.512709860563862474e-01 4.383614802151659245e-02
1.750000000000000000e+00 6.301192515594983057e+00 5.432496631246322982e-01 4.726841202245304213e-02
1.799999999999999378e+00 6.277210846163154834e+00 5.268345649382825124e-01 4.398404491762683555e-02
1.849999999999998535e+00 6.240515738163448844e+00 5.099989529556818724e-01 3.755948871685193396e-02
1.900000000000001465e+00 6.224786143868541011e+00 4.956725189236991791e-01 2.762730929390479900e-02
1.950000000000000622e+00 6.231203428013439627e+00 4.811550839548069392e-01 1.573726995373348272e-02
2.000000000000000000e+00 6.241054545041947677e+00 4.707580722798678785e-01 1.147472641174624407e-02
2.049999999999999378e+00 6.254691993732467203e+00 4.655276045076636726e-01 2.648482535127471768e-02
2.099999999999998757e+00 6.265074789703884761e+00 4.630653205957079854e-01 3.984561449035980973e-02
2.150000000000001243e+00 6.263347241739809945e+00 4.610115283012947707e-01 3.905884040953876840e-02
2.200000000000000622e+00 6.247296723760556780e+00 4.588650228731431246e-01 3.775519698263846841e-02
2.250000000000000000e+00 6.215256497075622555e+00 4.565082553171385116e-01 4.055976186552847501e-02
2.299999999999999378e+00 6.181234924319821467e+00 4.499234362300293943e-01 4.791015759100077098e-02
2.349999999999998757e+00 6.147245464169632356e+00 4.399352120923737952e-01 5.876746811237038709e-02
