# Y/D U V W
-4.000000000000000000e+00 6.044480275340410991e+00 4.263836676103195944e-01 1.221851878741071762e-01
-3.950000000000000622e+00 6.020784174277503453e+00 4.312105986300556748e-01 1.142054555859386977e-01
-3.900000000000001243e+00 5.999506279452614166e+00 4.352414968888361768e-01 9.926331022332261778e-02
-3.849999999999998757e+00 5.987438696248125858e+00 4.373425521055534504e-01 7.992276868348510699e-02
-3.799999999999999378e+00 5.978812664785828623e+00 4.390361284932355335e-01 6.221453879188306585e-02
-3.750000000000000000e+00 5.975099185905400567e+00 4.402165601624579150e-01 4.755178183992912061e-02
-3.700000000000000622e+00 5.970158614300085986e+00 4.395829576733875088e-01 4.542981701955024071e-02
-3.650000000000001243e+00 5.964271864481980323e+00 4.382787612002083666e-01 4.844112687921435512e-02
-3.599999999999998757e+00 5.956204039532440930e+00 4.362109157150825811e-01 5.841229913893110359e-02
-3.549999999999999378e+00 5.947082976156902845e+00 4.350579909227191844e-01 5.972886645251806320e-02
-3.500000000000000000e+00 5.937315230502743013e+00 4.347512227621154191e-01 5.589186813614255983e-02
-3.450000000000000622e+00 5.926513918354055832e+00 4.386697742697958091e-01 4.543755708494703893e-02
-3.400000000000001243e+00 5.920921735966489408e+00 4.441209352754147965e-01 3.816578361715160239e-02
-3.349999999999998757e+00 5.920457290687489937e+00 4.510807587555675235e-01 3.402682058301494117e-02
-3.299999999999999378e+00 5.929426011320367174e+00 4.544777169965390495e-01 2.687463800128216465e-02
-3.250000000000000000e+00 5.945592976012864739e+00 4.555710672015506613e-01 1.525503757369798402e-02
-3.200000000000000622e+00 5.973565690814198526e+00 4.529619095328463185e-01 -4.086404482949780939e-03
-3.150000000000001243e+00 6.009655677974284238e+00 4.493267851252507605e-01 -1.125759865049508202e-02
-3.099999999999998757e+00 6.044294789953968738e+00 4.452902768314686566e-01 -1.372901547725932474e-02
-3.049999999999999378e+00 6.064379532407865980e+00 4.408217547302234474e-01 -1.131480192325758603e-02
-3.000000000000000000e+00 6.081436055040343014e+00 4.330285967690925553e-01 -1.328132039264244037e-02
-2.950000000000000622e+00 6.097018498330176506e+00 4.231499647493450755e-01 -1.745061067051323356e-02
-2.900000000000001243e+00 6.117829509661500076e+00 4.110041814564797114e-01 -1.526147371546698536e-02
-2.849999999999998757e+00 6.140009260916576395e+00 4.005230015076743921e-01 -1.128034615360771695e-02
-2.799999999999999378e+00 6.163669943892429615e+00 3.918428677999843956e-01 -5.360343508968025764e-03
-2.750000000000000000e+00 6.197033427898360536e+00 3.846788700642754799e-01 -1.175739188224650747e-02
-2.700000000000000622e+00 6.232673397101838653e+00 3.777946233271115561e-01 -1.975814947940522995e-02
-2.650000000000001243e+00 6.270871500002111354e+00 3.711563615421958340e-01 -2.840339271324270054e-02
-2.599999999999998757e+00 6.297364599617381486e+00 3.677668775950891922e-01 -2.682091109571813764e-02
-2.549999999999999378e+00 6.318189457302284318e+00 3.658054439826197712e-01 -2.223520980852903076e-02
-2.500000000000000000e+00 6.330475004823293617e+00 3.655575949679412684e-01 -1.900369318567726729e-02
-2.450000000000000622e+00 6.335668397058326740e+00 3.634539743992985517e-01 -2.068388121086517373e-02
-2.400000000000001243e+00 6.336116328480652093e+00 3.600933838191481828e-01 -2.499325361397054454e-02
-2.349999999999998757e+00 6.332254180849234082e+00 3.551361441412380637e-01 -1.207542360735593297e-02
-2.299999999999999378e+00 6.331814410625407064e+00 3.516414179978538668e-01 -3.695531258120768412e-03
-2.250000000000000000e+00 6.335446089386453039e+00 3.498865786455420679e-01 -7.142199150763420528e-04
-2.200000000000000622e+00 6.335906558394304611e+00 3.520268476641036925e-01 1.905466100693787050e-03
-2.150000000000001243e+00 6.334448904959011806e+00 3.565309126065254186e-01 2.750701500457970999e-03
-2.099999999999998757e+00 6.329621512987736232e+00 3.651915777266080410e-01 -2.986692901059986817e-04
-2.049999999999999378e+00 6.329748420450894031e+00 3.797298914248025681e-01 -1.254647874600780914e-02
-2.000000000000000000e+00 6.334957200245547426e+00 3.966380184210993587e-01 -2.615227189252423284e-02
-1.950000000000000622e+00 6.357663813496239769e+00 4.147284715476352024e-01 -2.903192301797786340e-02
-1.900000000000001465e+00 6.383042028578253202e+00 4.324614007773868729e-01 -3.041466307012255857e-02
-1.849999999999998535e+00 6.410316979328371190e+00 4.499453823954428500e-01 -3.081145680695336619e-02
-1.799999999999999378e+00 6.435486610349888892e+00 4.683260809225280874e-01 -4.206512491628277423e-02
-1.750000000000000000e+00 6.450372055335799715e+00 4.841468051203710043e-01 -5.112748520797962687e-02
-1.700000000000000622e+00 6.451794565875091259e+00 4.966162901962969389e-01 -5.732122435659400828e-02
-1.650000000000001465e+00 6.449359097324999901e+00 5.019828064251830035e-01 -5.343711142975215295e-02
-1.599999999999998535e+00 6.446887433163780656e+00 5.052954895199135432e-01 -4.755073804091753537e-02
-1.549999999999999378e+00 6.445934715353716093e+00 5.063815396161124305e-01 -4.080990496225146008e-02
-1.500000000000000000e+00 6.440445119070174584e+00 5.053388569453172163e-01 -3.552374165362111313e-02
-1.450000000000000622e+00 6.435198208069108361e+00 5.032512936103935575e-01 -3.199186431399982100e-02
-1.400000000000001465e+00 6.443590303397193964e+00 5.000654451687964741e-01 -3.594163738558391052e-02
-1.349999999999998535e+00 6.458442199983207566e+00 4.994444238659339619e-01 -4.402338602167397280e-02
