# z Uhoriz WDir T TKE TI_horiz
8.400000000000318323e-02 2.247979046344957599e+00 2.638312580025927900e+02 0.000000000000000000e+00 4.332467735949337984e-01 4.316228430466876875e-01
6.457090909090911879e+00 4.030571470964979142e+00 2.638253458269677481e+02 0.000000000000000000e+00 4.771004442249703326e-01 2.347622598810788774e-01
1.283018181818182057e+01 4.814436165802790768e+00 2.641564860561030628e+02 0.000000000000000000e+00 4.757124669546609619e-01 1.910857611296772340e-01
1.920327272727272927e+01 5.182265337075314449e+00 2.642355841495184450e+02 0.000000000000000000e+00 4.542486254681225577e-01 1.699194826766533273e-01
2.557636363636363797e+01 5.403258214439248697e+00 2.642466245557824891e+02 0.000000000000000000e+00 4.260133969529535380e-01 1.553110274583914818e-01
3.194945454545454666e+01 5.561971572585521884e+00 2.642482794073503669e+02 0.000000000000000000e+00 3.999900452386638827e-01 1.442337707779058065e-01
3.832254545454545536e+01 5.679051040577693499e+00 2.642706956944677472e+02 0.000000000000000000e+00 3.855917812575115344e-01 1.373880856265193018e-01
4.469563636363636761e+01 5.773406819449416361e+00 2.643774092802533460e+02 0.000000000000000000e+00 3.696360467141269757e-01 1.314322336289107940e-01
5.106872727272727275e+01 5.860727266057696561e+00 2.645457328069089726e+02 0.000000000000000000e+00 3.535629622891777735e-01 1.257721840904835742e-01
5.744181818181817789e+01 5.938240483567936323e+00 2.647366692844186673e+02 0.000000000000000000e+00 3.378224075009955141e-01 1.207734871638983798e-01
6.381490909090909014e+01 6.011954689834402288e+00 2.649425529009615161e+02 0.000000000000000000e+00 3.254970012507902855e-01 1.166277709846247346e-01
7.018800000000000239e+01 6.082033047435111861e+00 2.651526799701948676e+02 0.000000000000000000e+00 3.131853748686212469e-01 1.129248919714706395e-01
7.656109090909090753e+01 6.146912576210049828e+00 2.653538715145278388e+02 0.000000000000000000e+00 3.050113737478526432e-01 1.101842018751254954e-01
8.293418181818181267e+01 6.205609150615723379e+00 2.655366306631490261e+02 0.000000000000000000e+00 2.958037543430284688e-01 1.073716071230597785e-01
8.930727272727273203e+01 6.258857979154059947e+00 2.657115348126439471e+02 0.000000000000000000e+00 2.889983569935684615e-01 1.051462161679611734e-01
9.568036363636363717e+01 6.308520613125636167e+00 2.659030172621111205e+02 0.000000000000000000e+00 2.848780766336054815e-01 1.038043106586610254e-01
1.020534545454545423e+02 6.351470602474545757e+00 2.660515187261253800e+02 0.000000000000000000e+00 2.796073588078626937e-01 1.024758738951597054e-01
1.084265454545454475e+02 6.390754972922513488e+00 2.661562937741279598e+02 0.000000000000000000e+00 2.700268998940301701e-01 9.997603618925304803e-02
1.147996363636363526e+02 6.431469622821812671e+00 2.662442505572948335e+02 0.000000000000000000e+00 2.594265247817206799e-01 9.685712408243642157e-02
1.211727272727272720e+02 6.473015786643703251e+00 2.663260746226665105e+02 0.000000000000000000e+00 2.509498007896638905e-01 9.406528541835594559e-02
1.275458181818181771e+02 6.511216961325962949e+00 2.664067801493362140e+02 0.000000000000000000e+00 2.444465486246355512e-01 9.203833116537024628e-02
1.339189090909090964e+02 6.548849887544244908e+00 2.664888972719903677e+02 0.000000000000000000e+00 2.397036486771638442e-01 9.056009434584955109e-02
1.402920000000000016e+02 6.585833740226047617e+00 2.665324754042914037e+02 0.000000000000000000e+00 2.348831966080956180e-01 8.917153836539047640e-02
1.466650909090909067e+02 6.623435592388084991e+00 2.665460202415129061e+02 0.000000000000000000e+00 2.316320183635720009e-01 8.807163956378658010e-02
1.530381818181818119e+02 6.660537007277836707e+00 2.665716849115141258e+02 0.000000000000000000e+00 2.262640072020871418e-01 8.636519744979105628e-02
1.594112727272727170e+02 6.696125436912377715e+00 2.666356212443063214e+02 0.000000000000000000e+00 2.222019096707894825e-01 8.505328927381365645e-02
1.657843636363636222e+02 6.727566955996283404e+00 2.667181105905899017e+02 0.000000000000000000e+00 2.194678219943549946e-01 8.412044606821095227e-02
1.721574545454545273e+02 6.757713572424512982e+00 2.667874913207836585e+02 0.000000000000000000e+00 2.183215362959917138e-01 8.361611979523064786e-02
1.785305454545454609e+02 6.789887478394303066e+00 2.668463995787434442e+02 0.000000000000000000e+00 2.175985673085568395e-01 8.327841181700187945e-02
1.849036363636363660e+02 6.823230678785486170e+00 2.669119296821679654e+02 0.000000000000000000e+00 2.153328791297781375e-01 8.260069241403798779e-02
