# z Uhoriz WDir T TKE TI_horiz
8.400000000000318323e-02 2.638450233379915577e+00 2.641703948194862619e+02 0.000000000000000000e+00 4.169930536041093760e-01 3.496555362609674034e-01
6.457090909090911879e+00 4.271358918773356272e+00 2.640344408654407289e+02 0.000000000000000000e+00 4.432716023021396889e-01 2.136702845191270350e-01
1.283018181818182057e+01 4.904848030017508798e+00 2.640818501874615549e+02 0.000000000000000000e+00 4.411246619977372552e-01 1.803273212306500117e-01
1.920327272727272927e+01 5.195183011988044441e+00 2.641469496862522988e+02 0.000000000000000000e+00 4.246087552252640340e-01 1.635402739018128604e-01
2.557636363636363797e+01 5.392637243535938651e+00 2.641823979263308502e+02 0.000000000000000000e+00 4.027204527699413394e-01 1.511207042796577638e-01
3.194945454545454666e+01 5.546569857959728012e+00 2.642394473730374784e+02 0.000000000000000000e+00 3.874656891995801322e-01 1.423294010859769143e-01
3.832254545454545536e+01 5.666882363168276981e+00 2.643578743871458983e+02 0.000000000000000000e+00 3.716972514659911409e-01 1.349959404971383947e-01
4.469563636363636761e+01 5.765321258247096736e+00 2.645002320555611846e+02 0.000000000000000000e+00 3.557788987944133230e-01 1.289552497275031351e-01
5.106872727272727275e+01 5.853473707689319738e+00 2.646450552229382538e+02 0.000000000000000000e+00 3.441973825028125655e-01 1.243778160048970849e-01
5.744181818181817789e+01 5.936793736536777111e+00 2.648224367631916607e+02 0.000000000000000000e+00 3.320214892104202953e-01 1.199794259491176879e-01
6.381490909090909014e+01 6.011754244204049691e+00 2.650541766400593247e+02 0.000000000000000000e+00 3.248195261091006980e-01 1.168995053849927468e-01
7.018800000000000239e+01 6.076292256979642481e+00 2.652974851237697749e+02 0.000000000000000000e+00 3.150177747793586613e-01 1.138614627490112108e-01
7.656109090909090753e+01 6.135502565485304594e+00 2.655011877637170983e+02 0.000000000000000000e+00 3.084608252550340990e-01 1.115761682882235178e-01
8.293418181818181267e+01 6.193527855694433981e+00 2.656626268177372481e+02 0.000000000000000000e+00 3.015273505946159949e-01 1.092343528323952706e-01
8.930727272727273203e+01 6.245867179049118256e+00 2.657755937629021332e+02 0.000000000000000000e+00 2.957794999780219425e-01 1.070333610184638906e-01
9.568036363636363717e+01 6.295549781026011260e+00 2.658719364398563130e+02 0.000000000000000000e+00 2.907318235648697624e-01 1.049440891839569234e-01
1.020534545454545423e+02 6.340703364843697898e+00 2.659962445104173412e+02 0.000000000000000000e+00 2.874545385910248774e-01 1.035670416266273042e-01
1.084265454545454475e+02 6.383246412104371714e+00 2.661208156137219021e+02 0.000000000000000000e+00 2.824388920853668772e-01 1.020631493021840891e-01
1.147996363636363526e+02 6.424690926439598826e+00 2.662185461852207595e+02 0.000000000000000000e+00 2.756086965318750304e-01 1.000378200563689368e-01
1.211727272727272720e+02 6.464877386573092188e+00 2.662736990435473672e+02 0.000000000000000000e+00 2.703060986250874209e-01 9.808250398768064704e-02
1.275458181818181771e+02 6.502924177488021762e+00 2.663484388967909808e+02 0.000000000000000000e+00 2.619036129036106386e-01 9.564842663805638023e-02
1.339189090909090964e+02 6.542276829706995755e+00 2.664327893590369172e+02 0.000000000000000000e+00 2.544235098112117566e-01 9.348066414405373226e-02
