# Y/D TKEres TKEsgs TKEtot
-4.000000000000000000e+00 2.881872464656425881e-01 1.101056409035753442e-02 2.991978105560001433e-01
-3.950000000000000622e+00 3.081720326773917940e-01 1.058875571930022359e-02 3.187607883966920297e-01
-3.900000000000001243e+00 3.194020184274314333e-01 1.048703502287587179e-02 3.298890534503072791e-01
-3.849999999999998757e+00 3.276306925434504524e-01 1.029430437743998443e-02 3.379249969208904525e-01
-3.799999999999999378e+00 3.289821485425488690e-01 1.044321889606850302e-02 3.394253674386173980e-01
-3.750000000000000000e+00 3.270867629280633238e-01 1.050920256540744703e-02 3.375959654934707621e-01
-3.700000000000000622e+00 3.253336467422809353e-01 9.639314053084631698e-03 3.349729607953655930e-01
-3.650000000000001243e+00 3.014824005670330154e-01 8.923220333700016341e-03 3.104056209007330369e-01
-3.599999999999998757e+00 2.684914461961565579e-01 8.531049533359792714e-03 2.770224957295163715e-01
-3.549999999999999378e+00 2.335346196156689869e-01 8.300655336813707666e-03 2.418352749524826928e-01
-3.500000000000000000e+00 2.038232124422743041e-01 8.019639269085707123e-03 2.118428517113600251e-01
-3.450000000000000622e+00 1.820218046376124443e-01 7.731811302552209740e-03 1.897536159401646549e-01
-3.400000000000001243e+00 1.704498556042868262e-01 7.578241077152172989e-03 1.780280966814389854e-01
-3.349999999999998757e+00 1.722894680610359275e-01 7.296505525499583956e-03 1.795859735865355244e-01
-3.299999999999999378e+00 1.836650393715715257e-01 6.876428094165189936e-03 1.905414674657367191e-01
-3.250000000000000000e+00 1.952454005321750952e-01 6.620523088389966039e-03 2.018659236205650742e-01
-3.200000000000000622e+00 1.949777479796011015e-01 6.629335677240178956e-03 2.016070836568412683e-01
-3.150000000000001243e+00 1.947372910003694890e-01 6.745454813435507874e-03 2.014827458138049865e-01
-3.099999999999998757e+00 1.938623349431234377e-01 7.060402410690048286e-03 2.009227373538134964e-01
-3.049999999999999378e+00 1.886352436518693998e-01 7.339421786398660219e-03 1.959746654382680531e-01
-3.000000000000000000e+00 1.865105994389029964e-01 7.436193229010503065e-03 1.939467926679135090e-01
