# Y/D TKEres TKEsgs TKEtot
-4.000000000000000000e+00 2.148374628919975937e-01 1.337352343103980802e-02 2.282109863230374069e-01
-3.950000000000000622e+00 2.182882696583619275e-01 1.314221350145482886e-02 2.314304831598167633e-01
-3.900000000000001243e+00 2.187952557388241071e-01 1.276557486236968089e-02 2.315608306011937845e-01
-3.849999999999998757e+00 2.203396044570643808e-01 1.297313892783456650e-02 2.333127433848989352e-01
-3.799999999999999378e+00 2.218774076462952660e-01 1.346822781131427546e-02 2.353456354576095311e-01
-3.750000000000000000e+00 2.269290946788727337e-01 1.366878179853396255e-02 2.405978764774066858e-01
-3.700000000000000622e+00 2.334674126254172588e-01 1.347192845948503269e-02 2.469393410849022863e-01
-3.650000000000001243e+00 2.436434801529020200e-01 1.303401554653415596e-02 2.566774956994361534e-01
-3.599999999999998757e+00 2.501572503380199430e-01 1.292248754367155035e-02 2.630797378816914778e-01
-3.549999999999999378e+00 2.423675424375681953e-01 1.309808694562559182e-02 2.554656293831937819e-01
-3.500000000000000000e+00 2.336417183981316092e-01 1.319507266373528068e-02 2.468367910618669003e-01
-3.450000000000000622e+00 2.354460504299947798e-01 1.277449965273144868e-02 2.482205500827262268e-01
-3.400000000000001243e+00 2.336361337067161814e-01 1.222090422351933270e-02 2.458570379302355002e-01
-3.349999999999998757e+00 2.328876036217300549e-01 1.196043955943449158e-02 2.448480431811645430e-01
-3.299999999999999378e+00 2.485875841116990115e-01 1.143092268916843200e-02 2.600185068008674660e-01
-3.250000000000000000e+00 2.826561548619028197e-01 1.096430878480755475e-02 2.936204636467103501e-01
-3.200000000000000622e+00 3.046492248051873575e-01 1.084850521403031218e-02 3.154977300192176592e-01
-3.150000000000001243e+00 2.932345484052127915e-01 1.102870503440600038e-02 3.042632534396187971e-01
-3.099999999999998757e+00 2.694211549223151092e-01 1.112234052501856127e-02 2.805434954473336462e-01
-3.049999999999999378e+00 2.421380288759769628e-01 1.082623741798516975e-02 2.529642662939621256e-01
-3.000000000000000000e+00 2.163660476633005869e-01 1.044724699003392668e-02 2.268132946533345240e-01
-2.950000000000000622e+00 2.043624680972093988e-01 1.018000727990239947e-02 2.145424753771117965e-01
-2.900000000000001243e+00 2.038720247768139593e-01 1.002277281770655622e-02 2.138947975945205138e-01
-2.849999999999998757e+00 2.069244586193918489e-01 1.005333436686532862e-02 2.169777929862571897e-01
-2.799999999999999378e+00 2.053382417418483097e-01 9.826189854258027961e-03 2.151644315961063481e-01
-2.750000000000000000e+00 2.012432707693707912e-01 9.792069511254416006e-03 2.110353402806252054e-01
-2.700000000000000622e+00 1.999099553669843321e-01 9.735911960653206160e-03 2.096458673276375417e-01
-2.650000000000001243e+00 2.012603463887547572e-01 9.609986804143886077e-03 2.108703331928986346e-01
-2.599999999999998757e+00 1.958645785549440743e-01 9.344106997375773577e-03 2.052086855523198583e-01
-2.549999999999999378e+00 1.886640609565222171e-01 8.949646883207684409e-03 1.976137078397298963e-01
-2.500000000000000000e+00 1.902334808252280907e-01 8.525971532475046938e-03 1.987594523577031480e-01
-2.450000000000000622e+00 1.915110741659236393e-01 8.016015565475204455e-03 1.995270897313988490e-01
-2.400000000000001243e+00 1.902987776669174125e-01 8.064844287732785347e-03 1.983636219546502100e-01
-2.349999999999998757e+00 1.938039656812149958e-01 8.260041356485463629e-03 2.020640070377004716e-01
-2.299999999999999378e+00 2.075872724819050330e-01 8.199426725233693522e-03 2.157866992071387213e-01
-2.250000000000000000e+00 2.071748839421038435e-01 8.152950879173585449e-03 2.153278348212774307e-01
-2.200000000000000622e+00 2.077234838638758185e-01 8.103057084920452929e-03 2.158265409487962749e-01
-2.150000000000001243e+00 2.074384268171047818e-01 7.886430692705238485e-03 2.153248575098100082e-01
-2.099999999999998757e+00 2.070468540332860985e-01 7.813573015266835411e-03 2.148604270485529322e-01
-2.049999999999999378e+00 2.154491285766945430e-01 7.757351858938194879e-03 2.232064804356327370e-01
-2.000000000000000000e+00 2.240762169452051311e-01 7.567946769933295813e-03 2.316441637151384347e-01
-1.950000000000000622e+00 2.311330593645823939e-01 7.517719935006074265e-03 2.386507792995884725e-01
-1.900000000000001465e+00 2.295313584445755617e-01 7.710331963061914894e-03 2.372416904076374844e-01
-1.849999999999998535e+00 2.373492093592867169e-01 7.806992126546619983e-03 2.451562014858333360e-01
-1.799999999999999378e+00 2.454908602031872777e-01 7.756511595708144927e-03 2.532473717988954487e-01
-1.750000000000000000e+00 2.471615542314835601e-01 7.996698498237331601e-03 2.551582527297208691e-01
-1.700000000000000622e+00 2.486878615871084830e-01 8.097740661946416924e-03 2.567856022490548895e-01
-1.650000000000001465e+00 2.465896864791521370e-01 8.106032620917349649e-03 2.546957191000694953e-01
-1.599999999999998535e+00 2.382468662099958001e-01 8.273947459237571828e-03 2.465208136692333685e-01
-1.549999999999999378e+00 2.292060088831919806e-01 8.440939583526665957e-03 2.376469484667186327e-01
-1.500000000000000000e+00 2.137267172959299300e-01 8.409770172941186117e-03 2.221364874688711022e-01
-1.450000000000000622e+00 2.039786280285943443e-01 8.369347242658668404e-03 2.123479752712530144e-01
-1.400000000000001465e+00 1.903811816878268337e-01 8.558023294884161900e-03 1.989392049827110043e-01
-1.349999999999998535e+00 1.805752316030442839e-01 8.395368433707509417e-03 1.889706000367517846e-01
-1.299999999999999378e+00 1.870986981168931140e-01 8.089939220940017134e-03 1.951886373378331208e-01
-1.250000000000000000e+00 1.936976479522277694e-01 8.022746810704266610e-03 2.017203947629320482e-01
-1.200000000000000622e+00 2.010996408244184463e-01 8.178086347324736022e-03 2.092777271717431720e-01
-1.150000000000001465e+00 2.002991515876733353e-01 8.372828489853632178e-03 2.086719800775269640e-01
-1.099999999999998535e+00 2.024060115915656544e-01 8.494104550214378116e-03 2.109001161417800307e-01
-1.049999999999999378e+00 2.079719944068610105e-01 8.412128238945926900e-03 2.163841226458069478e-01
-1.000000000000000000e+00 2.099838578569454550e-01 8.401528264800384865e-03 2.183853861217458503e-01
-9.500000000000007327e-01 2.105090487035773394e-01 8.338341324305980490e-03 2.188473900278833095e-01
-9.000000000000014655e-01 2.145000178209918451e-01 8.258867510786221944e-03 2.227588853317780671e-01
-8.499999999999985345e-01 2.071751777293164565e-01 8.042408022438602214e-03 2.152175857517550639e-01
-7.999999999999992673e-01 1.944077780769152552e-01 7.935100467889248665e-03 2.023428785448045109e-01
-7.500000000000000000e-01 1.876650236484933565e-01 8.066896732479946971e-03 1.957319203809733121e-01
-7.000000000000007327e-01 1.900706296082078084e-01 8.165128819270882701e-03 1.982357584274787032e-01
-6.500000000000014655e-01 1.974498669239441451e-01 8.252543224454551504e-03 2.057024101483986844e-01
-5.999999999999985345e-01 2.123902198948601772e-01 8.402718818981658525e-03 2.207929387138418409e-01
-5.499999999999992673e-01 2.246058703039205406e-01 8.590649991026729979e-03 2.331965202949472793e-01
-5.000000000000000000e-01 2.315417132155253022e-01 8.797644198351871683e-03 2.403393574138771860e-01
-4.500000000000007327e-01 2.352913476486667710e-01 9.272480634972312188e-03 2.445638282836390953e-01
-4.000000000000014100e-01 2.490538014651850485e-01 9.900448140931477486e-03 2.589542496061165155e-01
-3.499999999999985900e-01 2.758669852833887659e-01 1.023398147224696686e-02 2.861009667556357328e-01
-2.999999999999992673e-01 3.047649472960031747e-01 1.013497782755963181e-02 3.148999251235627961e-01
-2.500000000000000000e-01 3.133940149823911114e-01 1.005926970842864129e-02 3.234532846908197423e-01
-2.000000000000007050e-01 3.085835141194681608e-01 1.019022939079002564e-02 3.187737435102581673e-01
-1.500000000000014377e-01 3.178011712498733932e-01 1.044847302761811418e-02 3.282496442774914813e-01
-9.999999999999856226e-02 3.305808045846537757e-01 1.057030055118004207e-02 3.411511051358337987e-01
-4.999999999999928113e-02 3.211465313377288577e-01 1.096063049939440502e-02 3.321071618371232437e-01
0.000000000000000000e+00 3.151634491720341491e-01 1.103734294952468838e-02 3.262007921215588357e-01
4.999999999999928113e-02 3.118112274502221060e-01 1.199502034988691318e-02 3.238062478001090261e-01
9.999999999999856226e-02 3.153851295394107801e-01 1.319873940397150829e-02 3.285838689433822624e-01
1.500000000000014377e-01 3.110638260917958919e-01 1.334758214292005966e-02 3.244114082347159256e-01
2.000000000000007050e-01 3.029272138102969691e-01 1.350007392678526791e-02 3.164272877370822301e-01
2.500000000000000000e-01 3.142938366728654231e-01 1.399408822469297951e-02 3.282879248975584252e-01
