# Y/D U V W
-4.000000000000000000e+00 6.226057990136646403e+00 4.933077777419248577e-01 5.142664680491612628e-02
-3.950000000000000622e+00 6.217027773205784591e+00 4.907578516356163600e-01 4.179394685774405482e-02
-3.900000000000001243e+00 6.205989151129040593e+00 4.886276051569941048e-01 4.125627448761323701e-02
-3.849999999999998757e+00 6.193192209931276615e+00 4.864636317734742921e-01 5.901256552900790292e-02
-3.799999999999999378e+00 6.173508503305025208e+00 4.837976015829179577e-01 7.705836703244053898e-02
-3.750000000000000000e+00 6.157339217091471362e+00 4.784037979123298423e-01 9.032054927912207265e-02
-3.700000000000000622e+00 6.154332153888385726e+00 4.671436612973043356e-01 1.072545524135906508e-01
-3.650000000000001243e+00 6.158245616488657426e+00 4.477486151835122774e-01 1.071427041066744384e-01
-3.599999999999998757e+00 6.174342589602987985e+00 4.238369724117793669e-01 7.854209411464631307e-02
-3.549999999999999378e+00 6.204774105836538212e+00 4.032144056706897794e-01 4.790643940207382073e-02
-3.500000000000000000e+00 6.245174203894972464e+00 3.848188451291104095e-01 3.072882990010712689e-02
-3.450000000000000622e+00 6.289221429450742917e+00 3.681428283419210801e-01 2.536880209846571754e-02
-3.400000000000001243e+00 6.317505902960734332e+00 3.534830153605236225e-01 2.187286658956501609e-02
-3.349999999999998757e+00 6.327598366029492105e+00 3.409460721249449322e-01 1.644706183775551320e-02
-3.299999999999999378e+00 6.330101753348263749e+00 3.319399173343279830e-01 1.256036459638920112e-02
-3.250000000000000000e+00 6.323772611752170647e+00 3.269814953188902029e-01 1.028840258453970688e-02
-3.200000000000000622e+00 6.317434152107305856e+00 3.295852679213685521e-01 1.107258352115167432e-02
-3.150000000000001243e+00 6.306969850378193243e+00 3.389866580724854028e-01 1.864715321697044473e-02
-3.099999999999998757e+00 6.286771427564099568e+00 3.489821206352305971e-01 3.364783079356656326e-02
-3.049999999999999378e+00 6.264255530177435638e+00 3.567200838496549231e-01 4.383137189623784180e-02
-3.000000000000000000e+00 6.252583647668802591e+00 3.659913861493259701e-01 5.480566905464050870e-02
-2.950000000000000622e+00 6.252271248999897502e+00 3.777674428497009851e-01 7.818872142522242941e-02
-2.900000000000001243e+00 6.251235745181247694e+00 3.919302186793993115e-01 1.004195547962368623e-01
-2.849999999999998757e+00 6.253159698251868015e+00 4.105030337044971445e-01 1.112738473415196272e-01
-2.799999999999999378e+00 6.257974428495424846e+00 4.301440829536440358e-01 1.083209636775967488e-01
-2.750000000000000000e+00 6.262143099734696960e+00 4.443606129662309168e-01 9.810071707506000382e-02
-2.700000000000000622e+00 6.260112600588978005e+00 4.517513208927774193e-01 8.077169293150866791e-02
-2.650000000000001243e+00 6.250483825200606525e+00 4.574880480450018716e-01 5.873018233171124758e-02
-2.599999999999998757e+00 6.253183116838498812e+00 4.664760883463778263e-01 3.302298953257100378e-02
-2.549999999999999378e+00 6.270872821387178497e+00 4.773464927957320469e-01 5.909372399498124227e-03
-2.500000000000000000e+00 6.291394125043916041e+00 4.856278805563151724e-01 -2.198059377867662284e-02
-2.450000000000000622e+00 6.314016559787286376e+00 4.848196520444792990e-01 -4.074791575652449843e-02
-2.400000000000001243e+00 6.337440473416925180e+00 4.762787733573779492e-01 -5.018118965603676762e-02
-2.349999999999998757e+00 6.355741051463891900e+00 4.638046740212067309e-01 -4.691542811107719813e-02
-2.299999999999999378e+00 6.366591741876976407e+00 4.528107105836207125e-01 -3.266714683266105229e-02
-2.250000000000000000e+00 6.382254643907080194e+00 4.473489288158255528e-01 -1.814350928382402195e-02
-2.200000000000000622e+00 6.400066752427873595e+00 4.456231737403434368e-01 -1.728771773622201843e-02
-2.150000000000001243e+00 6.420127326238760368e+00 4.455006141630989958e-01 -3.114416379863026510e-02
-2.099999999999998757e+00 6.435226807828513529e+00 4.450710592631803575e-01 -5.216452334807260977e-02
-2.049999999999999378e+00 6.444242104280458072e+00 4.455273451525844641e-01 -6.894690127978846117e-02
-2.000000000000000000e+00 6.451387085987157377e+00 4.486787268363572889e-01 -7.335013611050353322e-02
-1.950000000000000622e+00 6.448633910916778511e+00 4.538202161898033937e-01 -7.150301141074753841e-02
-1.900000000000001465e+00 6.445347401379324381e+00 4.592666605123796875e-01 -7.247283110486633928e-02
-1.849999999999998535e+00 6.455543427561061698e+00 4.640163283145276596e-01 -7.586205175385125898e-02
-1.799999999999999378e+00 6.470814275732250209e+00 4.673038844077602172e-01 -8.457618584221053559e-02
-1.750000000000000000e+00 6.480659844760867649e+00 4.684109912711824086e-01 -9.298498881675475169e-02
-1.700000000000000622e+00 6.476059373900983296e+00 4.685003265446093246e-01 -8.784155958326915481e-02
-1.650000000000001465e+00 6.470039601900987591e+00 4.693007831899402293e-01 -8.091473271389444666e-02
-1.599999999999998535e+00 6.468269629341519611e+00 4.691224225125806835e-01 -7.519015985064822494e-02
-1.549999999999999378e+00 6.472797468394692721e+00 4.683322743403764976e-01 -7.247873492880609059e-02
-1.500000000000000000e+00 6.469894851322297136e+00 4.697844654093802363e-01 -7.536839008702039822e-02
-1.450000000000000622e+00 6.456015953558747356e+00 4.742058265582180798e-01 -8.121545663628952638e-02
-1.400000000000001465e+00 6.439032238227873961e+00 4.809407317658531134e-01 -8.170194541225088425e-02
-1.349999999999998535e+00 6.417670850291936624e+00 4.885794148115315538e-01 -7.325766788654937411e-02
-1.299999999999999378e+00 6.390731358085571578e+00 4.974276233923474733e-01 -6.107530654584127777e-02
-1.250000000000000000e+00 6.359737284396518753e+00 5.048238875873123366e-01 -5.007158065484882542e-02
-1.200000000000000622e+00 6.330452569770844029e+00 5.081024872773635126e-01 -4.491052380963020396e-02
-1.150000000000001465e+00 6.321277934829839573e+00 5.107725745005998741e-01 -4.753454921778790115e-02
-1.099999999999998535e+00 6.330874655720722721e+00 5.151345612638864591e-01 -5.108054338344293621e-02
-1.049999999999999378e+00 6.337403169239950174e+00 5.194887015048393897e-01 -5.389339564718734210e-02
-1.000000000000000000e+00 6.316621403855269712e+00 5.197417125906457214e-01 -5.108140834563244803e-02
-9.500000000000007327e-01 6.278260123767367418e+00 5.140441517486021850e-01 -3.952686507463731153e-02
-9.000000000000014655e-01 6.256432506854412878e+00 5.049213175646846130e-01 -2.779647512538420059e-02
-8.499999999999985345e-01 6.238052635380581634e+00 4.935990850192217838e-01 -2.199110336827479056e-02
-7.999999999999992673e-01 6.219974711561625291e+00 4.810401208090291925e-01 -2.663716800199702681e-02
-7.500000000000000000e-01 6.201381254793522757e+00 4.706665164335209761e-01 -3.182597310487236819e-02
-7.000000000000007327e-01 6.166591310928895453e+00 4.606073680887891597e-01 -2.915457979828507337e-02
-6.500000000000014655e-01 6.128447676169700209e+00 4.480046290545725562e-01 -1.308162114974479456e-02
-5.999999999999985345e-01 6.108876555564975774e+00 4.375881396268306300e-01 2.024753130394532988e-02
-5.499999999999992673e-01 6.111115602417600989e+00 4.346797128136328792e-01 5.852129705200477539e-02
-5.000000000000000000e-01 6.133679554770207432e+00 4.405093775026734937e-01 8.769092553044538496e-02
