# Y/D U V W
-4.000000000000000000e+00 6.071950798498802371e+00 4.322978985479790093e-01 8.574662750612714601e-02
-3.950000000000000622e+00 6.045570170402400301e+00 4.283566962216332485e-01 1.058679289107117144e-01
-3.900000000000001243e+00 6.025667487260672139e+00 4.252438102565581080e-01 1.237925175955934265e-01
-3.849999999999998757e+00 6.019744058101363926e+00 4.257564415024349680e-01 1.193077892106098464e-01
-3.799999999999999378e+00 6.015163001433770695e+00 4.282215468307724038e-01 1.078787296348549529e-01
-3.750000000000000000e+00 6.011650397290399184e+00 4.336042149339454088e-01 8.684931786187864711e-02
-3.700000000000000622e+00 6.009637312520822228e+00 4.401455662413121805e-01 6.389428542519115517e-02
-3.650000000000001243e+00 6.008946006108963900e+00 4.462751576748943960e-01 4.158895687880387326e-02
-3.599999999999998757e+00 6.011479403550414879e+00 4.500535910460640165e-01 2.307409848573980723e-02
-3.549999999999999378e+00 6.012533996193585750e+00 4.502260148682425966e-01 1.429129380231086537e-02
-3.500000000000000000e+00 6.012516407713653699e+00 4.484201267619120634e-01 1.048470274275032504e-02
-3.450000000000000622e+00 6.009126453227779940e+00 4.458339374753901296e-01 4.537627350903605458e-03
-3.400000000000001243e+00 6.005135066789954124e+00 4.449835530829810426e-01 -5.824917064800979238e-04
-3.349999999999998757e+00 6.000551645774420351e+00 4.458418516332144921e-01 -4.888575622127168396e-03
-3.299999999999999378e+00 5.990522472106801999e+00 4.467054408309867886e-01 -2.261570399530614828e-03
-3.250000000000000000e+00 5.986685795777705543e+00 4.472717331583953571e-01 -6.114337228409473480e-04
-3.200000000000000622e+00 5.994890093027631650e+00 4.472955492116942877e-01 -1.704950498921925474e-03
-3.150000000000001243e+00 6.020120185519739486e+00 4.439821269556756267e-01 -2.005538643391588122e-03
-3.099999999999998757e+00 6.048979583276210548e+00 4.387451533474990839e-01 -1.141823712679521227e-03
-3.049999999999999378e+00 6.073231550727120620e+00 4.297024765413892666e-01 3.373586741942062074e-03
-3.000000000000000000e+00 6.097633351531070112e+00 4.222306011964339079e-01 -1.024566852348620695e-03
-2.950000000000000622e+00 6.122402488501603735e+00 4.160530504046283107e-01 -1.112610474992694991e-02
-2.900000000000001243e+00 6.151959780986233639e+00 4.162437058080697416e-01 -2.922762135411155829e-02
-2.849999999999998757e+00 6.182426199423177060e+00 4.173741571624840496e-01 -4.304513701459931896e-02
-2.799999999999999378e+00 6.213876262333114298e+00 4.195214369228695839e-01 -5.222750411305229767e-02
-2.750000000000000000e+00 6.236446508026634028e+00 4.179278592567047257e-01 -5.236116721021639997e-02
-2.700000000000000622e+00 6.254276523942508881e+00 4.144466735870336871e-01 -5.036084092487545100e-02
-2.650000000000001243e+00 6.264388458592197395e+00 4.079353235986903914e-01 -4.595263303856635811e-02
-2.599999999999998757e+00 6.276628753150171214e+00 4.004402127287370883e-01 -3.779087234436189630e-02
-2.549999999999999378e+00 6.289878766279117350e+00 3.934055520747998247e-01 -2.745114616175549360e-02
-2.500000000000000000e+00 6.304586749456987604e+00 3.898893606414228219e-01 -1.274395929819183843e-02
-2.450000000000000622e+00 6.314499162401085108e+00 3.901085395103615627e-01 3.371670706096917703e-03
-2.400000000000001243e+00 6.321380628439396077e+00 3.928229497634445067e-01 1.998458886778231580e-02
-2.349999999999998757e+00 6.330816181467880277e+00 3.976795972892263054e-01 2.376598372830374464e-02
-2.299999999999999378e+00 6.342145531852020568e+00 4.040175678443894691e-01 2.367949996790351050e-02
-2.250000000000000000e+00 6.355727848055835238e+00 4.121178020034724221e-01 1.899157439985613496e-02
-2.200000000000000622e+00 6.358419669654642448e+00 4.223462280807315783e-01 1.935650350978039211e-02
-2.150000000000001243e+00 6.358810609325604268e+00 4.311212389796825750e-01 1.813909244912903160e-02
-2.099999999999998757e+00 6.357300898950213330e+00 4.359736140431504925e-01 1.182431121995241793e-02
-2.049999999999999378e+00 6.363867077543533313e+00 4.369160358188699522e-01 -5.396429552978681404e-03
-2.000000000000000000e+00 6.374126692918331116e+00 4.364165031950968388e-01 -2.583520710814166815e-02
-1.950000000000000622e+00 6.388350450951323367e+00 4.358500468248097670e-01 -4.215936272772612819e-02
-1.900000000000001465e+00 6.396208078892573923e+00 4.371165244650356274e-01 -4.772730274536995942e-02
-1.849999999999998535e+00 6.399545592150393425e+00 4.397207738829876367e-01 -4.563567918078725166e-02
-1.799999999999999378e+00 6.407848881685072051e+00 4.454743575346880036e-01 -4.911482519829069721e-02
-1.750000000000000000e+00 6.420460547101539461e+00 4.510108186914804085e-01 -5.259529446384637874e-02
-1.700000000000000622e+00 6.438712268217817503e+00 4.562630467640304555e-01 -5.607749598139792624e-02
-1.650000000000001465e+00 6.441879133094576382e+00 4.583667876696493337e-01 -5.778396781648396235e-02
