# Y/D U V
-4.000000000000000000e+00 6.264999999999999680e+00 -9.326039570064265267e-04
-3.949999999999999734e+00 6.264999999999999680e+00 -9.504225568089459848e-04
-3.899999999999999467e+00 6.264999999999999680e+00 -9.687395524647429354e-04
-3.849999999999999645e+00 6.264999999999999680e+00 -9.875850110255606981e-04
-3.799999999999999378e+00 6.264999999999999680e+00 -1.006978726322480845e-03
-3.749999999999999112e+00 6.264999999999999680e+00 -1.026927781822250564e-03
-3.699999999999998845e+00 6.264999999999999680e+00 -1.047446211776808817e-03
-3.649999999999998579e+00 6.264999999999999680e+00 -1.068582883279369997e-03
-3.599999999999998757e+00 6.264999999999999680e+00 -1.090360364151186055e-03
-3.549999999999998490e+00 6.264999999999999680e+00 -1.112765135701551493e-03
-3.499999999999998224e+00 6.264999999999999680e+00 -1.135851658515842771e-03
-3.449999999999997957e+00 6.264999999999999680e+00 -1.159658363846702810e-03
-3.399999999999997691e+00 6.264999999999999680e+00 -1.184194422329008095e-03
-3.349999999999997868e+00 6.264999999999999680e+00 -1.209477124061240048e-03
-3.299999999999997602e+00 6.264999999999999680e+00 -1.235540920158358178e-03
-3.249999999999997335e+00 6.264999999999999680e+00 -1.262457089024067013e-03
-3.199999999999997069e+00 6.264999999999999680e+00 -1.290220916230770849e-03
-3.149999999999996803e+00 6.264999999999999680e+00 -1.318866784071290668e-03
-3.099999999999996980e+00 6.264999999999999680e+00 -1.348429154804124327e-03
-3.049999999999996714e+00 6.264999999999999680e+00 -1.378986871169338504e-03
-2.999999999999996447e+00 6.264999999999999680e+00 -1.410547065509288808e-03
-2.949999999999996181e+00 6.264999999999999680e+00 -1.443153638175497661e-03
-2.899999999999995914e+00 6.264999999999999680e+00 -1.476826926706224438e-03
-2.849999999999996092e+00 6.264999999999999680e+00 -1.511678039473455561e-03
-2.799999999999995826e+00 6.264999999999999680e+00 -1.547706402547822588e-03
-2.749999999999995559e+00 6.264999999999999680e+00 -1.584966203679019116e-03
-2.699999999999995293e+00 6.264999999999998792e+00 -1.623521232795547761e-03
-2.649999999999995026e+00 6.264999999999997016e+00 -1.663462008263430839e-03
-2.599999999999995204e+00 6.264999999999991687e+00 -1.704789041039925755e-03
-2.549999999999994937e+00 6.264999999999974811e+00 -1.747571108200606307e-03
-2.499999999999994671e+00 6.264999999999922409e+00 -1.791899301891710858e-03
-2.449999999999994404e+00 6.264999999999762537e+00 -1.837873373193665491e-03
-2.399999999999994138e+00 6.264999999999312230e+00 -1.885522515341963266e-03
