# Y/D TKEres
-4.000000000000000000e+00 2.229091463554970787e-01
-3.950000000000000622e+00 2.314591842470217209e-01
-3.900000000000001243e+00 2.412843696794810811e-01
-3.849999999999998757e+00 2.206609262890436851e-01
-3.799999999999999378e+00 2.022316906462884312e-01
-3.750000000000000000e+00 1.966808292194316410e-01
-3.700000000000000622e+00 2.057470967490768188e-01
-3.650000000000001243e+00 2.107610528057554111e-01
-3.599999999999998757e+00 2.228254993682369234e-01
-3.549999999999999378e+00 2.393835895719807760e-01
-3.500000000000000000e+00 2.415116385972695401e-01
-3.450000000000000622e+00 2.314402379368116769e-01
-3.400000000000001243e+00 2.238265549719755110e-01
-3.349999999999998757e+00 2.172814098226640567e-01
-3.299999999999999378e+00 2.055566539009558158e-01
-3.250000000000000000e+00 1.999551857975569724e-01
-3.200000000000000622e+00 2.001822358325777707e-01
-3.150000000000001243e+00 1.949263524072703258e-01
-3.099999999999998757e+00 1.999970031000591064e-01
-3.049999999999999378e+00 2.251827936852539569e-01
-3.000000000000000000e+00 2.537532225914007622e-01
-2.950000000000000622e+00 2.654225275717497778e-01
-2.900000000000001243e+00 2.765521252537199159e-01
-2.849999999999998757e+00 2.906605185640324107e-01
-2.799999999999999378e+00 3.077059748213476498e-01
-2.750000000000000000e+00 3.256489142348740207e-01
-2.700000000000000622e+00 3.195058430332456401e-01
-2.650000000000001243e+00 3.228715900827693885e-01
-2.599999999999998757e+00 3.487339090165934019e-01
-2.549999999999999378e+00 3.390883977940754024e-01
-2.500000000000000000e+00 3.339098755260023754e-01
-2.450000000000000622e+00 3.280433776426850967e-01
-2.400000000000001243e+00 3.032848453809509626e-01
-2.349999999999998757e+00 2.613524377102519614e-01
-2.299999999999999378e+00 2.369552617255191729e-01
-2.250000000000000000e+00 2.359800971036211115e-01
-2.200000000000000622e+00 2.383956765499764541e-01
-2.150000000000001243e+00 2.294468586505202801e-01
-2.099999999999998757e+00 2.269442423454067215e-01
-2.049999999999999378e+00 2.255889429518094513e-01
-2.000000000000000000e+00 2.298511197392227867e-01
-1.950000000000000622e+00 2.322792295342783753e-01
-1.900000000000001465e+00 2.234586836132746723e-01
-1.849999999999998535e+00 2.132277314095849807e-01
-1.799999999999999378e+00 1.998421343193101940e-01
-1.750000000000000000e+00 1.945168376224960527e-01
-1.700000000000000622e+00 2.014663491932862371e-01
-1.650000000000001465e+00 2.105320246923303995e-01
-1.599999999999998535e+00 2.100431369449062835e-01
-1.549999999999999378e+00 2.210260432757404359e-01
-1.500000000000000000e+00 2.393822772596162773e-01
-1.450000000000000622e+00 2.492620102093230094e-01
-1.400000000000001465e+00 2.460220687220395774e-01
-1.349999999999998535e+00 2.445300444663981998e-01
-1.299999999999999378e+00 2.279941848473149846e-01
-1.250000000000000000e+00 2.045618749324303043e-01
-1.200000000000000622e+00 1.915122783970047982e-01
-1.150000000000001465e+00 1.889340303095165541e-01
-1.099999999999998535e+00 1.969154641173598286e-01
-1.049999999999999378e+00 2.002282428406335357e-01
-1.000000000000000000e+00 2.153163834163074608e-01
-9.500000000000007327e-01 2.306314223862391544e-01
-9.000000000000014655e-01 2.301997299794448504e-01
-8.499999999999985345e-01 2.162001591646034726e-01
-7.999999999999992673e-01 2.118538094755893220e-01
