# Y/D TKEres
-4.000000000000000000e+00 1.613213790618397425e-01
-3.950000000000000622e+00 1.634468763407481706e-01
-3.900000000000001243e+00 1.576343026779844503e-01
-3.849999999999998757e+00 1.678588013640449073e-01
-3.799999999999999378e+00 1.585867529664768127e-01
-3.750000000000000000e+00 1.530922158062854033e-01
-3.700000000000000622e+00 1.657046333602228416e-01
-3.650000000000001243e+00 1.587458612680049397e-01
-3.599999999999998757e+00 1.622471093566017486e-01
-3.549999999999999378e+00 1.690716560401668289e-01
-3.500000000000000000e+00 1.557765049459208795e-01
-3.450000000000000622e+00 1.662185828332090887e-01
-3.400000000000001243e+00 1.859944546079141392e-01
-3.349999999999998757e+00 1.985644151105016575e-01
-3.299999999999999378e+00 2.218932370260389142e-01
-3.250000000000000000e+00 2.136627090465756940e-01
-3.200000000000000622e+00 2.125243792753918337e-01
-3.150000000000001243e+00 2.254280811604213453e-01
-3.099999999999998757e+00 2.082830734358656899e-01
-3.049999999999999378e+00 1.975526356495721780e-01
-3.000000000000000000e+00 1.819623571360124703e-01
-2.950000000000000622e+00 1.689388655850966592e-01
-2.900000000000001243e+00 1.696995511488551822e-01
-2.849999999999998757e+00 1.611713794406349487e-01
-2.799999999999999378e+00 1.565012992942718395e-01
-2.750000000000000000e+00 1.670428071936182479e-01
-2.700000000000000622e+00 1.728458501101313438e-01
-2.650000000000001243e+00 1.889640777920260917e-01
-2.599999999999998757e+00 2.138346637270133743e-01
-2.549999999999999378e+00 2.061835434013702950e-01
-2.500000000000000000e+00 2.121055263806888302e-01
-2.450000000000000622e+00 2.122992725130137814e-01
-2.400000000000001243e+00 2.101666591305253462e-01
-2.349999999999998757e+00 2.249790042950119140e-01
-2.299999999999999378e+00 2.446181259842610811e-01
-2.250000000000000000e+00 2.526231000426556461e-01
-2.200000000000000622e+00 2.675950885172880267e-01
-2.150000000000001243e+00 2.449240702591623520e-01
-2.099999999999998757e+00 2.383920771934636695e-01
-2.049999999999999378e+00 2.522724110189223934e-01
-2.000000000000000000e+00 2.594867907212687896e-01
-1.950000000000000622e+00 2.703818306215737821e-01
-1.900000000000001465e+00 2.603110846321391447e-01
-1.849999999999998535e+00 2.463720590040994751e-01
-1.799999999999999378e+00 2.470947580311685932e-01
-1.750000000000000000e+00 2.492602048424990002e-01
-1.700000000000000622e+00 2.512421937348184864e-01
-1.650000000000001465e+00 2.663359179931658605e-01
-1.599999999999998535e+00 2.521269464748233657e-01
-1.549999999999999378e+00 2.443358103076081200e-01
-1.500000000000000000e+00 2.414810767081940202e-01
-1.450000000000000622e+00 2.151230115005709764e-01
-1.400000000000001465e+00 2.024561550244620978e-01
-1.349999999999998535e+00 2.013339944851709196e-01
-1.299999999999999378e+00 2.000586430641321245e-01
-1.250000000000000000e+00 2.105847116140871222e-01
-1.200000000000000622e+00 2.004017016391157480e-01
-1.150000000000001465e+00 1.920105279099638407e-01
-1.099999999999998535e+00 1.945137959424722007e-01
-1.049999999999999378e+00 1.854090804148036953e-01
-1.000000000000000000e+00 1.878997375121978786e-01
-9.500000000000007327e-01 1.997580295382905546e-01
-9.000000000000014655e-01 1.862712166847023676e-01
-8.499999999999985345e-01 1.977775857172677232e-01
-7.999999999999992673e-01 2.056806256285602097e-01
-7.500000000000000000e-01 2.064650773247694027e-01
-7.000000000000007327e-01 2.289986763119298829e-01
-6.500000000000014655e-01 2.316059440078326870e-01
-5.999999999999985345e-01 2.396076590706217035e-01
-5.499999999999992673e-01 2.648029152735920100e-01
-5.000000000000000000e-01 2.792393776445102893e-01
-4.500000000000007327e-01 3.040551011122017977e-01
-4.000000000000014100e-01 3.316157514194637002e-01
-3.499999999999985900e-01 3.447252016327822521e-01
-2.999999999999992673e-01 3.715152622874300370e-01
-2.500000000000000000e-01 3.756231531059350814e-01
-2.000000000000007050e-01 3.480938502916250954e-01
-1.500000000000014377e-01 3.350174228510485186e-01
-9.999999999999856226e-02 3.031726946348223262e-01
-4.999999999999928113e-02 2.910022447294198233e-01
0.000000000000000000e+00 3.067321765959526436e-01
4.999999999999928113e-02 2.953768584947528142e-01
9.999999999999856226e-02 2.932414409907807551e-01
1.500000000000014377e-01 2.889348373161544359e-01
2.000000000000007050e-01 2.794627363849218615e-01
2.500000000000000000e-01 2.830436827524065446e-01
2.999999999999992673e-01 2.627433994377134097e-01
3.499999999999985900e-01 2.286883982869551968e-01
4.000000000000014100e-01 2.171159048428203120e-01
4.500000000000007327e-01 2.111727688296544114e-01
5.000000000000000000e-01 2.203284871884457763e-01
5.499999999999992673e-01 2.463719177311889386e-01
5.999999999999985345e-01 2.249994975594430402e-01
6.500000000000014655e-01 2.193811749166531544e-01
7.000000000000007327e-01 2.203439932737676354e-01
7.500000000000000000e-01 2.136792602974777744e-01
7.999999999999992673e-01 2.247965681833141716e-01
8.499999999999985345e-01 2.321176120976226331e-01
9.000000000000014655e-01 2.241916768293252815e-01
9.500000000000007327e-01 2.277206331366271319e-01
1.000000000000000000e+00 2.022165777271490716e-01
1.049999999999999378e+00 1.971348413840130209e-01
1.099999999999998535e+00 2.186873869569251339e-01
1.150000000000001465e+00 2.288569658745494284e-01
1.200000000000000622e+00 2.533732908258632399e-01
1.250000000000000000e+00 2.747757671513108013e-01
1.299999999999999378e+00 2.941635437422728261e-01
1.349999999999998535e+00 3.303502482631448522e-01
1.400000000000001465e+00 3.284486509278665700e-01
1.450000000000000622e+00 3.362558188476041376e-01
1.500000000000000000e+00 3.658360920821112083e-01
1.549999999999999378e+00 3.793599673728684785e-01
1.599999999999998535e+00 3.999441207289405886e-01
1.650000000000001465e+00 4.303491656194309845e-01
1.700000000000000622e+00 4.132015356192611510e-01
1.750000000000000000e+00 4.186088345116651399e-01
1.799999999999999378e+00 4.344678822428688636e-01
1.849999999999998535e+00 4.297641133524964241e-01
1.900000000000001465e+00 4.428922561205881903e-01
1.950000000000000622e+00 4.477985381090952011e-01
2.000000000000000000e+00 4.600574307530874152e-01
2.049999999999999378e+00 4.966634865999749460e-01
2.099999999999998757e+00 5.049358348871354485e-01
2.150000000000001243e+00 5.086319808957072697e-01
2.200000000000000622e+00 4.975430277974941529e-01
2.250000000000000000e+00 4.854531439997040732e-01
2.299999999999999378e+00 4.803507500039466138e-01
2.349999999999998757e+00 4.511953989822232725e-01
2.400000000000001243e+00 3.962830421258255464e-01
2.450000000000000622e+00 3.593359973638005078e-01
2.500000000000000000e+00 3.039058630809433614e-01
2.549999999999999378e+00 2.701705854801517703e-01
2.599999999999998757e+00 2.696516275271161334e-01
2.650000000000001243e+00 2.421736812017631357e-01
2.700000000000000622e+00 2.237701789584621570e-01
2.750000000000000000e+00 2.052467220276336657e-01
2.799999999999999378e+00 1.818054252322543474e-01
2.849999999999998757e+00 1.861724896888777292e-01
2.900000000000001243e+00 1.881673801342701458e-01
2.950000000000000622e+00 1.842482416152798896e-01
3.000000000000000000e+00 2.021622052194027297e-01
3.049999999999999378e+00 2.139475630440828557e-01
3.099999999999998757e+00 2.205243167785465586e-01
3.150000000000001243e+00 2.365449820919626189e-01
3.200000000000000622e+00 2.314495861381381525e-01
3.250000000000000000e+00 2.323175182260342475e-01
3.299999999999999378e+00 2.361300172585732438e-01
3.349999999999998757e+00 2.182157775758199469e-01
3.400000000000001243e+00 2.191834378449159515e-01
3.450000000000000622e+00 2.194948294280978929e-01
3.500000000000000000e+00 2.061985600125346985e-01
3.549999999999999378e+00 2.117896338647259902e-01
3.599999999999998757e+00 1.994914537355352846e-01
3.650000000000001243e+00 2.023112881387688355e-01
3.700000000000000622e+00 2.203424819519891886e-01
3.750000000000000000e+00 2.051305147923220829e-01
3.799999999999999378e+00 2.112638138403782617e-01
3.849999999999998757e+00 2.209505360132323626e-01
3.900000000000001243e+00 2.159948598298679356e-01
3.950000000000000622e+00 2.292277290004604007e-01
4.000000000000000000e+00 2.335514406020775258e-01
