# Y/D U V W
-4.000000000000000000e+00 5.793874058333327248e+00 4.233485310933337020e-01 5.640200007166670110e-02
-3.950000000000000622e+00 5.810438951666661467e+00 4.272171702283332206e-01 6.078948515866666041e-02
-3.900000000000001243e+00 5.812508899999999201e+00 4.408773281633335817e-01 2.705731478985002811e-02
-3.849999999999998757e+00 5.836994931666672493e+00 4.626591320350000869e-01 -5.869650875333318543e-03
-3.799999999999999378e+00 5.899156206666665625e+00 4.822899805495002301e-01 -1.828738228666667784e-02
-3.750000000000000000e+00 5.931108603333336227e+00 4.915669272283338387e-01 -1.620173205583331708e-02
-3.700000000000000622e+00 5.913649313333337432e+00 4.868692142168334902e-01 -1.524257792666665508e-02
-3.650000000000001243e+00 5.913340810000002001e+00 4.810953878750001689e-01 -9.806712365999998085e-03
-3.599999999999998757e+00 5.917324376666657670e+00 4.728600047038333809e-01 -3.517731053333352995e-03
-3.549999999999999378e+00 5.919512006666671766e+00 4.684829981949997779e-01 -1.344006110999997842e-03
-3.500000000000000000e+00 5.907913540000004460e+00 4.656614503066670019e-01 1.156579899850002091e-02
-3.450000000000000622e+00 5.913091606666665001e+00 4.672650218183328485e-01 8.156247707000000360e-03
-3.400000000000001243e+00 5.924219848333335037e+00 4.658645183518330124e-01 2.871303299999997463e-03
-3.349999999999998757e+00 5.920954904999998547e+00 4.678544094747664195e-01 3.476410028333361789e-03
-3.299999999999999378e+00 5.923322666666667402e+00 4.655996020849998418e-01 1.763697891799998266e-02
-3.250000000000000000e+00 5.906764778333335464e+00 4.704522950083335764e-01 2.684112085346669618e-02
-3.200000000000000622e+00 5.898539749999994974e+00 4.831740435999996586e-01 4.173786789800005420e-02
-3.150000000000001243e+00 5.938251933333334343e+00 4.905147087278331486e-01 5.423758549466671519e-02
-3.099999999999998757e+00 5.994356153333339599e+00 4.963191825233335130e-01 4.407321372033332074e-02
-3.049999999999999378e+00 6.076748458333334213e+00 5.146496129616670023e-01 1.953158986700003624e-02
-3.000000000000000000e+00 6.156447591666672103e+00 5.283482885350004876e-01 -4.219042533166664222e-02
-2.950000000000000622e+00 6.254026356666674502e+00 5.426256359333345713e-01 -9.291214110166667872e-02
-2.900000000000001243e+00 6.319118518333332268e+00 5.409485559781667119e-01 -1.045433311666666698e-01
-2.849999999999998757e+00 6.362104745000001671e+00 5.331399017849995925e-01 -1.144759790479999567e-01
-2.799999999999999378e+00 6.390326361666666344e+00 5.342880933566660495e-01 -1.272603840506667527e-01
-2.750000000000000000e+00 6.422002785000001879e+00 5.380626177883337524e-01 -1.443813100036666075e-01
-2.700000000000000622e+00 6.462513453333337488e+00 5.453481524333331221e-01 -1.599694300141666359e-01
-2.650000000000001243e+00 6.462960638333331786e+00 5.564725819900001591e-01 -1.791704562788334343e-01
-2.599999999999998757e+00 6.431788658333336350e+00 5.752791317583335617e-01 -1.789093975533334047e-01
-2.549999999999999378e+00 6.410884433333327692e+00 5.988841967250003728e-01 -1.480496831966666149e-01
-2.500000000000000000e+00 6.384101511666665729e+00 6.078997877950004236e-01 -1.098851228721666878e-01
-2.450000000000000622e+00 6.369801743333325383e+00 6.070934071983333791e-01 -8.646604008916657091e-02
-2.400000000000001243e+00 6.406406171666666260e+00 5.988161059216664528e-01 -1.097793193673332057e-01
-2.349999999999998757e+00 6.440285963333332475e+00 5.821438508714171789e-01 -1.299849389533333233e-01
-2.299999999999999378e+00 6.444417188333331659e+00 5.822486736699997723e-01 -1.285635211845000403e-01
-2.250000000000000000e+00 6.476142528333331150e+00 5.870991420583338005e-01 -1.067391095317999777e-01
-2.200000000000000622e+00 6.507020826666660263e+00 5.906258111283338996e-01 -9.396724876616671662e-02
-2.150000000000001243e+00 6.490097221666665916e+00 5.823706153878336345e-01 -8.325779959833334853e-02
-2.099999999999998757e+00 6.469421808333340351e+00 5.683021720833330015e-01 -4.981862156850000445e-02
-2.049999999999999378e+00 6.448985458333329035e+00 5.545132558416671076e-01 -2.787630254372507055e-02
-2.000000000000000000e+00 6.419098855000004988e+00 5.358210181283330487e-01 -2.685980757066660715e-02
