# Y/D U V W
-4.000000000000000000e+00 5.926880551666669383e+00 4.534387961336668327e-01 1.026154889149999590e-02
-3.950000000000000622e+00 5.943548696666669962e+00 4.332353341953324999e-01 2.916036186565003005e-02
-3.900000000000001243e+00 5.945302076666664881e+00 4.191028221549999433e-01 4.527712894399994054e-02
-3.849999999999998757e+00 5.931139798333322055e+00 3.946020982448331105e-01 5.390634039150006551e-02
-3.799999999999999378e+00 5.931486484999996200e+00 3.793160860699998360e-01 5.139762345050002262e-02
-3.750000000000000000e+00 5.921223078333332168e+00 3.849432920650000534e-01 3.679504027466670713e-02
-3.700000000000000622e+00 5.864701946666671439e+00 3.918090176606667252e-01 4.836216845113332219e-02
-3.650000000000001243e+00 5.834212639999998729e+00 3.887202287688329982e-01 4.502703715699995363e-02
-3.599999999999998757e+00 5.855091626666665938e+00 3.966880538700001679e-01 3.806558647716665189e-02
-3.549999999999999378e+00 5.868576589999996429e+00 3.826404999933333273e-01 3.040424755000002005e-02
-3.500000000000000000e+00 5.890784810000002203e+00 3.822978434616672860e-01 1.923981817783333020e-02
-3.450000000000000622e+00 5.907294891666674097e+00 3.838239141190001869e-01 5.903918169833348092e-03
-3.400000000000001243e+00 5.912120228333337835e+00 3.939956902623332757e-01 -8.857266550333295352e-03
-3.349999999999998757e+00 5.913356911666667770e+00 4.105163682199998720e-01 1.672676931666660163e-03
-3.299999999999999378e+00 5.926103054999997788e+00 4.150338864299997765e-01 -2.761415423333361558e-03
-3.250000000000000000e+00 5.930639181666665927e+00 4.221574025083336124e-01 7.456287812666658604e-03
-3.200000000000000622e+00 5.913042985000001472e+00 4.101704256755004940e-01 2.910296043166662669e-02
-3.150000000000001243e+00 5.885604596666664357e+00 4.040703959758329411e-01 5.599645697999997701e-02
-3.099999999999998757e+00 5.899366813333333681e+00 4.031007805883333739e-01 3.837317889968332174e-02
-3.049999999999999378e+00 5.966335976666666596e+00 3.972177647599999251e-01 7.623257550000014319e-04
-3.000000000000000000e+00 6.022560533333335187e+00 4.097928112321668204e-01 1.359146236499978551e-03
-2.950000000000000622e+00 6.034370523333334901e+00 4.095705685550000696e-01 1.231318421166663173e-02
-2.900000000000001243e+00 6.015043645000004879e+00 4.192085091926666118e-01 3.253366018533330323e-02
-2.849999999999998757e+00 6.010230114999999707e+00 4.331912529616664398e-01 4.183352305316662828e-02
-2.799999999999999378e+00 6.050119936666660259e+00 4.540505431003331593e-01 3.130353521750006002e-02
-2.750000000000000000e+00 6.081230196666666643e+00 4.569573234606661982e-01 5.131177288333333558e-03
-2.700000000000000622e+00 6.091407188333335831e+00 4.715767167233329560e-01 -4.572153864195038254e-03
-2.650000000000001243e+00 6.096710051666664576e+00 4.701031171534998387e-01 -1.232995616499995423e-02
-2.599999999999998757e+00 6.110240120000006492e+00 4.802315020216668673e-01 -3.861807211249999872e-02
-2.549999999999999378e+00 6.116737599999998665e+00 4.758323846816667202e-01 -4.247454287999999356e-02
-2.500000000000000000e+00 6.138067319999998439e+00 4.773762485499997710e-01 -3.081133652252667984e-02
-2.450000000000000622e+00 6.173965298333335738e+00 4.891897874176665550e-01 -5.059559411633331866e-02
-2.400000000000001243e+00 6.192827071666661354e+00 4.881365690566663029e-01 -7.524390800016667047e-02
-2.349999999999998757e+00 6.233077723333328102e+00 4.836397709416666024e-01 -9.270624242116663749e-02
-2.299999999999999378e+00 6.248960185000003165e+00 4.782584428283335187e-01 -9.132802304966670948e-02
