# z WS WD Th TKE TI
0.000000000000000000e+00 1.846775115921607480e+00 2.655612689020782682e+02 3.050022021076597980e+02 2.834622450289195350e-01 3.922257154407369772e-01
6.363636399999999860e+00 3.723271433606266889e+00 2.655632256963005489e+02 3.050022123830219698e+02 3.350987538072358607e-01 2.138815966465548724e-01
1.272727300000000028e+01 4.487122958754933499e+00 2.655668310424046581e+02 3.050022311407856819e+02 3.790332769677946523e-01 1.852264809677680868e-01
1.909090899999999991e+01 4.879365844702065580e+00 2.655707579492371906e+02 3.050022526345745746e+02 3.868053113437269208e-01 1.691069143705355438e-01
2.545454499999999953e+01 5.120450515660531110e+00 2.655716568533385953e+02 3.050022755217381132e+02 3.720959057002883874e-01 1.557519442953031186e-01
3.181818200000000019e+01 5.284146711927199647e+00 2.655714625080980227e+02 3.050022985320899807e+02 3.434553645959532164e-01 1.439662638905546133e-01
3.818181799999999981e+01 5.429270481268785531e+00 2.655727864242704186e+02 3.050023205434771398e+02 3.294642072848695813e-01 1.361630474851753536e-01
4.454545499999999691e+01 5.558223373185477101e+00 2.655757720197598246e+02 3.050023413219450958e+02 3.240410696165093585e-01 1.311926248804288209e-01
5.090909099999999654e+01 5.666460410350370402e+00 2.655792161031133105e+02 3.050023615714274570e+02 3.030796353130336684e-01 1.238301460894058459e-01
5.727272700000000327e+01 5.765224224944490494e+00 2.655814052842599153e+02 3.050023838478250582e+02 2.844046041739882180e-01 1.175575220167668633e-01
6.363636400000000037e+01 5.856043454474837873e+00 2.655834545606998063e+02 3.050024084834358860e+02 2.764931918321710258e-01 1.139827994696111652e-01
7.000000000000000000e+01 5.937201209959265924e+00 2.655859610693008790e+02 3.050024348136636263e+02 2.755177328985409790e-01 1.120317614276050283e-01
7.636363599999999963e+01 6.020068726018945604e+00 2.655884858918646501e+02 3.050024631262931507e+02 2.621568742304430932e-01 1.075317679344144350e-01
8.272727299999999673e+01 6.097478188709299474e+00 2.655909929927059920e+02 3.050024923136638222e+02 2.569566913274877740e-01 1.049767138630979119e-01
8.909090899999999635e+01 6.164642208736951012e+00 2.655938678012874448e+02 3.050025214730841299e+02 2.548080433834375436e-01 1.031456082784747014e-01
9.545454499999999598e+01 6.222813742207248033e+00 2.655968611093394429e+02 3.050025506677011435e+02 2.541079071066202344e-01 1.019155540450555480e-01
1.018181799999999981e+02 6.275373403563206942e+00 2.655994807377667826e+02 3.050025803064176557e+02 2.470859130739359311e-01 9.938174061819729510e-02
1.081818200000000019e+02 6.325443346916839182e+00 2.656016030453699841e+02 3.050026115300201468e+02 2.475204249802545886e-01 9.864246401730064617e-02
1.145454500000000024e+02 6.376458233872625669e+00 2.656033672532220180e+02 3.050026432422355356e+02 2.516653675572415594e-01 9.882258457979779809e-02
1.209090900000000062e+02 6.424203036844342130e+00 2.656054233923188121e+02 3.050026730217387012e+02 2.480007275276469303e-01 9.741408002328871829e-02
1.272727299999999957e+02 6.471942106102896552e+00 2.656077068169146855e+02 3.050027017960657645e+02 2.471310134582983542e-01 9.664378659242656155e-02
1.336363599999999963e+02 6.517933887972223950e+00 2.656095285187666377e+02 3.050027306118008141e+02 2.465788366231018158e-01 9.577278770588916468e-02
1.400000000000000000e+02 6.560071225513746107e+00 2.656112819012290061e+02 3.050027619244302741e+02 2.447164355651307022e-01 9.454390192504855128e-02
1.463636400000000037e+02 6.604510303707926688e+00 2.656134747993604037e+02 3.050027968074531373e+02 2.352983546326030684e-01 9.179429298032802664e-02
1.527272700000000043e+02 6.648497202820954577e+00 2.656149405760230593e+02 3.050028322184262493e+02 2.302763012022077393e-01 9.005671267091316934e-02
1.590909100000000080e+02 6.689763578292453161e+00 2.656155662530595123e+02 3.050028674886126510e+02 2.279834394581584656e-01 8.889893430185104306e-02
1.654545500000000118e+02 6.730430550776133281e+00 2.656156700658301020e+02 3.050029046821945258e+02 2.261162725976504917e-01 8.791159409203419539e-02
1.718181800000000123e+02 6.770549214509032687e+00 2.656164488007503905e+02 3.050029439710143606e+02 2.191862685242761122e-01 8.587656440571134198e-02
1.781818199999999877e+02 6.806604270760243658e+00 2.656176880898099739e+02 3.050029850900620545e+02 2.153939118227963523e-01 8.467886777575844848e-02
1.845454499999999882e+02 6.840561392090454440e+00 2.656191781506748271e+02 3.050030283053829407e+02 2.150264270894348961e-01 8.430518058171512785e-02
1.909090899999999920e+02 6.874712229009008801e+00 2.656207353724511222e+02 3.050030722153209126e+02 2.098205946354503026e-01 8.287342608142488076e-02
1.972727299999999957e+02 6.907763982859900231e+00 2.656224911835868738e+02 3.050031156811593860e+02 2.035533452902753559e-01 8.112535406618569256e-02
2.036363599999999963e+02 6.933458185912872551e+00 2.656245725032601968e+02 3.050031596376812217e+02 2.001366396974696982e-01 8.009230251751632557e-02
2.100000000000000000e+02 6.955362482835200311e+00 2.656271873466701550e+02 3.050032058250517935e+02 1.991846329393093806e-01 7.964091414466152596e-02
2.163636400000000037e+02 6.978444582061595014e+00 2.656302252992682043e+02 3.050032530786750158e+02 1.946639711291562880e-01 7.833990401604425113e-02
2.227272700000000043e+02 7.001774565126319239e+00 2.656329739347900158e+02 3.050033005693582027e+02 1.920155887297302078e-01 7.743426647965220844e-02
2.290909100000000080e+02 7.024783212791060549e+00 2.656354112586869292e+02 3.050033482795031432e+02 1.917265502167631863e-01 7.703685358937632788e-02
2.354545500000000118e+02 7.050637940351065502e+00 2.656375397940969378e+02 3.050033976066252990e+02 1.894875181615270354e-01 7.614585204536215846e-02
2.418181800000000123e+02 7.076050712152740729e+00 2.656394084368683366e+02 3.050034512650104830e+02 1.825391504380423635e-01 7.420720509446093738e-02
2.481818199999999877e+02 7.100305086622845430e+00 2.656409346042077573e+02 3.050035087577641661e+02 1.781236896152554594e-01 7.286575919630845777e-02
2.545454499999999882e+02 7.124547611628055499e+00 2.656422128304839703e+02 3.050035702494824932e+02 1.767315946689276829e-01 7.225990367087971322e-02
2.609090899999999920e+02 7.148991025769380947e+00 2.656433406023542716e+02 3.050036353975156089e+02 1.751596961350377069e-01 7.172885374740639586e-02
2.672727300000000241e+02 7.174850444329048393e+00 2.656446164615392149e+02 3.050037033913044411e+02 1.733307862199486016e-01 7.114696968957250067e-02
2.736363600000000247e+02 7.202385121770404020e+00 2.656462288224882400e+02 3.050037742712216300e+02 1.721550184900068059e-01 7.071051404718377287e-02
2.800000000000000000e+02 7.231123806936702536e+00 2.656479556370808837e+02 3.050038474492754972e+02 1.714720976675949693e-01 7.030928752531974413e-02
