# z WS WD Th TKE TI
0.000000000000000000e+00 1.607064491460316269e+00 2.634862321571324060e+02 3.050021932774304219e+02 2.453008036775134182e-01 4.268279098173785036e-01
6.363636399999999860e+00 3.979079039873333112e+00 2.635664476164778875e+02 3.050022113509295991e+02 3.029884379745052536e-01 1.860939958637503611e-01
1.272727300000000028e+01 4.579731571011346425e+00 2.637335930452136381e+02 3.050022333830207231e+02 3.117512559561731456e-01 1.600956254005926060e-01
1.909090899999999991e+01 4.897520494068017705e+00 2.638938289263509773e+02 3.050022556573479164e+02 2.873026665014931647e-01 1.418329555816346121e-01
2.545454499999999953e+01 5.120482586292263605e+00 2.640997059568035183e+02 3.050022780766028063e+02 2.871057705493071377e-01 1.342768823983544468e-01
3.181818200000000019e+01 5.289382613050990223e+00 2.642961079653356933e+02 3.050023013146982862e+02 2.780052707850573235e-01 1.273065534402706978e-01
3.818181799999999981e+01 5.428326857829948615e+00 2.644318369737014791e+02 3.050023251873691947e+02 2.768036970756158621e-01 1.234690923031501325e-01
4.454545499999999691e+01 5.551423324283104144e+00 2.646361646070552069e+02 3.050023496469966631e+02 2.773525419052295660e-01 1.205210949322742114e-01
5.090909099999999654e+01 5.656724999909722662e+00 2.648303098309394841e+02 3.050023725424419467e+02 2.677757825241620093e-01 1.156088776906913362e-01
5.727272700000000327e+01 5.754810981153593019e+00 2.650360373605703330e+02 3.050023949358167670e+02 2.661829791640225040e-01 1.128942232075701990e-01
6.363636400000000037e+01 5.841287507837013671e+00 2.652354464710770685e+02 3.050024171511378768e+02 2.629475337183668771e-01 1.103742724667475944e-01
7.000000000000000000e+01 5.920446159944882325e+00 2.654037055280386994e+02 3.050024420082809229e+02 2.712324620540703668e-01 1.105247811854260104e-01
7.636363599999999963e+01 5.997978338283784794e+00 2.655424451050716357e+02 3.050024679461691903e+02 2.566163262709966197e-01 1.058122684741217290e-01
8.272727299999999673e+01 6.070056749812824393e+00 2.656532506862695300e+02 3.050024939440988874e+02 2.544219686765513133e-01 1.040635302762995124e-01
8.909090899999999635e+01 6.138897895697910556e+00 2.657582171842817615e+02 3.050025195879912872e+02 2.461805732875953223e-01 1.008569015022556942e-01
9.545454499999999598e+01 6.205298071771323087e+00 2.658743349432730838e+02 3.050025463757760349e+02 2.458385134030610097e-01 9.966772466082481075e-02
1.018181799999999981e+02 6.270037628414734776e+00 2.659718141207804933e+02 3.050025753012420182e+02 2.394102873409744148e-01 9.724759502819083079e-02
1.081818200000000019e+02 6.332861973938916478e+00 2.660938751124231771e+02 3.050026062132503171e+02 2.366529698616437194e-01 9.564200933545666250e-02
1.145454500000000024e+02 6.391751976487352493e+00 2.662152103155977443e+02 3.050026390693581106e+02 2.398330758682973296e-01 9.548272053647423319e-02
1.209090900000000062e+02 6.448252740462250721e+00 2.662711034991127121e+02 3.050026739182194433e+02 2.352357426210821556e-01 9.367165767758953154e-02
1.272727299999999957e+02 6.496401253850241808e+00 2.663559410197813122e+02 3.050027043944100456e+02 2.318414832321540331e-01 9.220570191335802912e-02
1.336363599999999963e+02 6.542391866966014824e+00 2.664614507161151096e+02 3.050027342277434741e+02 2.296206798269151417e-01 9.116734455892049060e-02
1.400000000000000000e+02 6.584951225281043818e+00 2.665521946609848669e+02 3.050027680610768925e+02 2.314008516034883056e-01 9.073098356033872103e-02
1.463636400000000037e+02 6.623203532593444187e+00 2.666762625049360622e+02 3.050028016987580486e+02 2.222732493720105396e-01 8.785571712182112247e-02
1.527272700000000043e+02 6.659165084473062990e+00 2.667954418508639947e+02 3.050028373602486909e+02 2.207611475295898351e-01 8.691966767337845623e-02
1.590909100000000080e+02 6.695114285348895855e+00 2.669298580860460106e+02 3.050028766532093414e+02 2.173107166466370366e-01 8.553723113731599714e-02
