# Y/D TKEres
-4.000000000000000000e+00 2.124709991809714538e-01
-3.950000000000000622e+00 2.260691649981546036e-01
-3.900000000000001243e+00 2.281571651350276231e-01
-3.849999999999998757e+00 2.046692936066655810e-01
-3.799999999999999378e+00 1.995027920004217858e-01
-3.750000000000000000e+00 2.119465255319507579e-01
-3.700000000000000622e+00 2.158705692964838219e-01
-3.650000000000001243e+00 2.208329564584503024e-01
-3.599999999999998757e+00 2.314217806915778719e-01
-3.549999999999999378e+00 2.307210889891268546e-01
-3.500000000000000000e+00 2.152063102558491314e-01
-3.450000000000000622e+00 1.961474739760480923e-01
-3.400000000000001243e+00 1.773088242306822826e-01
-3.349999999999998757e+00 1.814995463756154670e-01
-3.299999999999999378e+00 1.813543360561760964e-01
-3.250000000000000000e+00 1.826163048035195080e-01
-3.200000000000000622e+00 1.838993974776005624e-01
-3.150000000000001243e+00 2.086777356779045411e-01
-3.099999999999998757e+00 2.223065384926496413e-01
-3.049999999999999378e+00 2.546566695752078280e-01
-3.000000000000000000e+00 2.778169850884421033e-01
-2.950000000000000622e+00 2.879755694155795576e-01
-2.900000000000001243e+00 3.068677101327945689e-01
-2.849999999999998757e+00 3.171095496541866399e-01
-2.799999999999999378e+00 3.271326436089511125e-01
-2.750000000000000000e+00 3.181292464476357940e-01
-2.700000000000000622e+00 3.014216892482862731e-01
-2.650000000000001243e+00 2.871029436255927436e-01
-2.599999999999998757e+00 2.904132561702534865e-01
-2.549999999999999378e+00 2.975458614159236514e-01
-2.500000000000000000e+00 2.930060383349000208e-01
-2.450000000000000622e+00 2.793372907089100021e-01
-2.400000000000001243e+00 2.572779126816417961e-01
-2.349999999999998757e+00 2.230299892688768493e-01
-2.299999999999999378e+00 2.186308732346641526e-01
-2.250000000000000000e+00 2.139784568777079732e-01
-2.200000000000000622e+00 2.077885416043292466e-01
-2.150000000000001243e+00 2.044314000434666045e-01
-2.099999999999998757e+00 2.078573404820514003e-01
-2.049999999999999378e+00 2.074706594322000552e-01
-2.000000000000000000e+00 2.019013789013292259e-01
-1.950000000000000622e+00 1.960522358093392536e-01
-1.900000000000001465e+00 1.972757607471124774e-01
-1.849999999999998535e+00 2.080357236845579438e-01
-1.799999999999999378e+00 2.018028260860971757e-01
-1.750000000000000000e+00 2.025667826118860704e-01
-1.700000000000000622e+00 2.256510583631788358e-01
-1.650000000000001465e+00 2.454853702885492206e-01
-1.599999999999998535e+00 2.459490594906959537e-01
-1.549999999999999378e+00 2.466162971997306053e-01
-1.500000000000000000e+00 2.492738023182090867e-01
-1.450000000000000622e+00 2.445857139955364690e-01
-1.400000000000001465e+00 2.274618129337695471e-01
-1.349999999999998535e+00 2.137510749885720984e-01
-1.299999999999999378e+00 2.158810189115066280e-01
-1.250000000000000000e+00 2.145883336713934608e-01
-1.200000000000000622e+00 2.075245732658945741e-01
-1.150000000000001465e+00 2.155297967281322447e-01
-1.099999999999998535e+00 2.151441248182353327e-01
-1.049999999999999378e+00 2.204728433888227535e-01
-1.000000000000000000e+00 2.238839446351668094e-01
-9.500000000000007327e-01 2.216866324819343204e-01
-9.000000000000014655e-01 2.072116620465064563e-01
-8.499999999999985345e-01 1.972937845472153007e-01
-7.999999999999992673e-01 1.904927021922561692e-01
-7.500000000000000000e-01 1.722410382580633059e-01
-7.000000000000007327e-01 1.682282675165985564e-01
-6.500000000000014655e-01 1.664004900815649890e-01
-5.999999999999985345e-01 1.738367720056004095e-01
-5.499999999999992673e-01 1.796382360258283739e-01
-5.000000000000000000e-01 1.686431781507951588e-01
-4.500000000000007327e-01 1.613893023749231048e-01
-4.000000000000014100e-01 1.800926228931555850e-01
-3.499999999999985900e-01 2.071540590525566827e-01
-2.999999999999992673e-01 2.342997023228884368e-01
-2.500000000000000000e-01 2.655035590219928521e-01
-2.000000000000007050e-01 2.867753037680020878e-01
-1.500000000000014377e-01 3.005583499755010157e-01
-9.999999999999856226e-02 2.725963341655486261e-01
-4.999999999999928113e-02 2.535992687940956114e-01
0.000000000000000000e+00 2.487883455934501720e-01
4.999999999999928113e-02 2.225558569837778056e-01
9.999999999999856226e-02 2.046951479415202169e-01
1.500000000000014377e-01 2.169553769195256554e-01
2.000000000000007050e-01 2.357480749362920736e-01
2.500000000000000000e-01 2.137020024776345450e-01
2.999999999999992673e-01 2.085444307092161609e-01
3.499999999999985900e-01 2.149356748418768670e-01
4.000000000000014100e-01 2.333349941475161560e-01
4.500000000000007327e-01 2.567580914700769990e-01
5.000000000000000000e-01 2.735265767214598021e-01
5.499999999999992673e-01 2.952337761849492259e-01
5.999999999999985345e-01 3.068747160108686867e-01
6.500000000000014655e-01 3.142165980761147392e-01
7.000000000000007327e-01 3.027320886522044674e-01
7.500000000000000000e-01 3.126064426740098878e-01
7.999999999999992673e-01 3.118795216194631958e-01
8.499999999999985345e-01 2.923364932989288567e-01
9.000000000000014655e-01 2.876476932246422868e-01
9.500000000000007327e-01 2.678148048169775586e-01
1.000000000000000000e+00 2.447441297913950098e-01
1.049999999999999378e+00 2.325544213616666522e-01
1.099999999999998535e+00 2.177804021557162573e-01
1.150000000000001465e+00 2.270569140734801927e-01
1.200000000000000622e+00 2.450547848561584197e-01
1.250000000000000000e+00 2.438933616950609007e-01
1.299999999999999378e+00 2.443024650520852492e-01
1.349999999999998535e+00 2.365157252706453772e-01
1.400000000000001465e+00 2.360075778380182343e-01
1.450000000000000622e+00 2.412176967438419140e-01
1.500000000000000000e+00 2.564604019839279436e-01
1.549999999999999378e+00 2.562821996957377335e-01
1.599999999999998535e+00 2.509831019125786655e-01
1.650000000000001465e+00 2.670067006283202149e-01
1.700000000000000622e+00 2.828319844079880685e-01
1.750000000000000000e+00 2.825594907215023266e-01
1.799999999999999378e+00 2.836231320105895848e-01
1.849999999999998535e+00 2.987883990167429782e-01
1.900000000000001465e+00 3.084557779997204041e-01
1.950000000000000622e+00 3.270898967438379823e-01
2.000000000000000000e+00 3.568776918408155252e-01
2.049999999999999378e+00 3.784799117074618691e-01
2.099999999999998757e+00 3.773126230211267251e-01
2.150000000000001243e+00 3.748513347490051717e-01
2.200000000000000622e+00 3.885215219190338853e-01
2.250000000000000000e+00 3.959308273247351684e-01
2.299999999999999378e+00 3.696236555625809217e-01
2.349999999999998757e+00 3.497621652025822425e-01
2.400000000000001243e+00 3.635347558360512710e-01
2.450000000000000622e+00 3.720777069243114132e-01
2.500000000000000000e+00 3.485860067220172276e-01
2.549999999999999378e+00 3.361441525492870896e-01
2.599999999999998757e+00 3.332335256594876616e-01
2.650000000000001243e+00 3.250385429115288383e-01
2.700000000000000622e+00 3.048116868805386681e-01
2.750000000000000000e+00 2.950023112056913144e-01
2.799999999999999378e+00 2.908982437718677372e-01
2.849999999999998757e+00 2.917146569694127889e-01
2.900000000000001243e+00 3.087459008500935131e-01
2.950000000000000622e+00 3.332839817134077287e-01
3.000000000000000000e+00 3.382050054856796661e-01
3.049999999999999378e+00 3.159372444098953459e-01
3.099999999999998757e+00 3.039733008331703679e-01
3.150000000000001243e+00 3.093828098602461329e-01
3.200000000000000622e+00 2.678568807034666377e-01
3.250000000000000000e+00 2.576305464187805816e-01
3.299999999999999378e+00 2.676607701461921063e-01
3.349999999999998757e+00 2.699958738722906260e-01
3.400000000000001243e+00 2.613642239451729465e-01
3.450000000000000622e+00 2.710380396721847607e-01
3.500000000000000000e+00 2.761337066176189348e-01
3.549999999999999378e+00 2.684494298248767397e-01
3.599999999999998757e+00 2.588708727548862942e-01
3.650000000000001243e+00 2.669759252137542394e-01
3.700000000000000622e+00 2.965154878089952262e-01
3.750000000000000000e+00 3.137179600761123566e-01
3.799999999999999378e+00 3.132996858400644014e-01
3.849999999999998757e+00 3.170291477502154565e-01
3.900000000000001243e+00 3.326565528579868980e-01
3.950000000000000622e+00 3.613647302572103315e-01
4.000000000000000000e+00 3.930876178840246316e-01
