# Y/D TKEres
-4.000000000000000000e+00 1.760218284782770759e-01
-3.950000000000000622e+00 1.767739372036216394e-01
-3.900000000000001243e+00 1.815087012642213893e-01
-3.849999999999998757e+00 1.836155297165773803e-01
-3.799999999999999378e+00 1.971763409484378893e-01
-3.750000000000000000e+00 2.195820367428378272e-01
-3.700000000000000622e+00 2.322885142440381245e-01
-3.650000000000001243e+00 2.381428648012005045e-01
-3.599999999999998757e+00 2.249489715103211718e-01
-3.549999999999999378e+00 2.516046877821042638e-01
-3.500000000000000000e+00 2.755377688507331668e-01
-3.450000000000000622e+00 2.721642294496445791e-01
-3.400000000000001243e+00 2.673987938133337017e-01
-3.349999999999998757e+00 2.898702383374733849e-01
-3.299999999999999378e+00 2.767773895887172264e-01
-3.250000000000000000e+00 2.486374381739722417e-01
-3.200000000000000622e+00 2.393338082532340816e-01
-3.150000000000001243e+00 2.434583605857156552e-01
-3.099999999999998757e+00 2.466088104908967793e-01
-3.049999999999999378e+00 2.425533483386664579e-01
-3.000000000000000000e+00 2.404194612704089740e-01
-2.950000000000000622e+00 2.344666240979700611e-01
-2.900000000000001243e+00 2.337369484544398468e-01
-2.849999999999998757e+00 2.430875403959467107e-01
-2.799999999999999378e+00 2.486839476993011333e-01
-2.750000000000000000e+00 2.382851776243704311e-01
-2.700000000000000622e+00 2.395489214583231274e-01
-2.650000000000001243e+00 2.573035403982442682e-01
-2.599999999999998757e+00 2.837337495461175196e-01
-2.549999999999999378e+00 3.067346045769170360e-01
-2.500000000000000000e+00 3.234655533893267543e-01
-2.450000000000000622e+00 3.048922311444227651e-01
-2.400000000000001243e+00 2.938309504122501026e-01
-2.349999999999998757e+00 2.995481152633016619e-01
-2.299999999999999378e+00 2.786803609090585110e-01
-2.250000000000000000e+00 2.817255160971680050e-01
-2.200000000000000622e+00 2.764353047440225031e-01
-2.150000000000001243e+00 2.525827915710482929e-01
-2.099999999999998757e+00 2.332094018734918173e-01
-2.049999999999999378e+00 2.373043311465179439e-01
-2.000000000000000000e+00 2.380449405973075749e-01
-1.950000000000000622e+00 2.310307904039283211e-01
-1.900000000000001465e+00 2.234359369109736038e-01
-1.849999999999998535e+00 2.262662247093756018e-01
-1.799999999999999378e+00 2.301982944053106439e-01
-1.750000000000000000e+00 2.364041898358954785e-01
-1.700000000000000622e+00 2.495805093202929648e-01
-1.650000000000001465e+00 2.427567725609665883e-01
-1.599999999999998535e+00 2.361268072875162549e-01
-1.549999999999999378e+00 2.580455368464621424e-01
-1.500000000000000000e+00 2.622636184935309145e-01
-1.450000000000000622e+00 2.679082939696124654e-01
-1.400000000000001465e+00 2.806004259676307955e-01
