# Y/D U V W
-4.000000000000000000e+00 5.799558668333332001e+00 4.302735321525000267e-01 5.619199151083332372e-02
-3.950000000000000622e+00 5.814162216666667327e+00 4.327229686883333759e-01 6.429964172616663143e-02
-3.900000000000001243e+00 5.816002270000001140e+00 4.468108494349996573e-01 3.046442014850000643e-02
-3.849999999999998757e+00 5.837698200000008164e+00 4.684790509894999899e-01 -5.453306605333324043e-03
-3.799999999999999378e+00 5.899999408333334472e+00 4.884828081183337778e-01 -1.913923343199996907e-02
-3.750000000000000000e+00 5.935516088333334217e+00 4.982100073783335414e-01 -1.696428744333336805e-02
-3.700000000000000622e+00 5.918795281666666241e+00 4.934709649658327590e-01 -1.590699159216668254e-02
-3.650000000000001243e+00 5.918848573333341356e+00 4.877361589416668863e-01 -1.058744521200002432e-02
-3.599999999999998757e+00 5.923090504999999339e+00 4.796349052866663576e-01 -4.281331680000023503e-03
-3.549999999999999378e+00 5.925979573333334471e+00 4.751236524260663008e-01 -2.752127145333320944e-03
-3.500000000000000000e+00 5.914085184999995803e+00 4.721570957199995866e-01 9.960255820666697249e-03
-3.450000000000000622e+00 5.917752598333335889e+00 4.734311698650003342e-01 7.973015492000029222e-03
-3.400000000000001243e+00 5.929385710000000920e+00 4.720757267199998664e-01 2.460302343333338037e-03
-3.349999999999998757e+00 5.926704965000002545e+00 4.740615832038334587e-01 2.812880931333343153e-03
-3.299999999999999378e+00 5.928133894999998432e+00 4.717623758416673030e-01 1.641532137883332937e-02
-3.250000000000000000e+00 5.913277018333338297e+00 4.757462758238168998e-01 2.533658508666664436e-02
-3.200000000000000622e+00 5.902249656666662680e+00 4.882560545920002215e-01 4.002567672371668689e-02
-3.150000000000001243e+00 5.939008508333330383e+00 4.959796276880005239e-01 5.433579175348334650e-02
-3.099999999999998757e+00 5.994307208333336412e+00 5.027100201416672132e-01 4.473866211933340969e-02
-3.049999999999999378e+00 6.075893931666673353e+00 5.211294286133335563e-01 2.209401716166669444e-02
-3.000000000000000000e+00 6.155431258333334377e+00 5.347362813071669940e-01 -3.856043144899998915e-02
-2.950000000000000622e+00 6.253017345000006166e+00 5.486363509133335148e-01 -9.186782354583339361e-02
-2.900000000000001243e+00 6.320805199999992574e+00 5.480478170866663890e-01 -1.047025818158334454e-01
-2.849999999999998757e+00 6.364352581666663511e+00 5.397986289233333013e-01 -1.144113709809998214e-01
-2.799999999999999378e+00 6.393731399999997400e+00 5.401383699066664157e-01 -1.272288701766666197e-01
-2.750000000000000000e+00 6.424169668333333583e+00 5.438295887533330930e-01 -1.439842866859666615e-01
-2.700000000000000622e+00 6.465939261666668436e+00 5.507746709133336527e-01 -1.593730070818332178e-01
-2.650000000000001243e+00 6.468770708333333452e+00 5.618247168383334600e-01 -1.792577270944998857e-01
-2.599999999999998757e+00 6.437491204999992611e+00 5.802714415016670957e-01 -1.800918590269999786e-01
-2.549999999999999378e+00 6.416961666666662900e+00 6.038504983950001570e-01 -1.498746377663335017e-01
-2.500000000000000000e+00 6.389441519999998320e+00 6.130750486916658470e-01 -1.117604419573332564e-01
-2.450000000000000622e+00 6.372869871666660302e+00 6.127443232866663925e-01 -8.685745275166668888e-02
-2.400000000000001243e+00 6.407531424999999281e+00 6.049828372716671288e-01 -1.085631791033333654e-01
-2.349999999999998757e+00 6.444740738333332608e+00 5.883253627283333564e-01 -1.291915497671665414e-01
-2.299999999999999378e+00 6.449366433333326043e+00 5.873740690906995576e-01 -1.288591342655000804e-01
-2.250000000000000000e+00 6.477760715000001390e+00 5.919564157700002438e-01 -1.071604145936667363e-01
-2.200000000000000622e+00 6.509022993333330120e+00 5.957855838933336923e-01 -9.341211773666663332e-02
-2.150000000000001243e+00 6.493443173333330876e+00 5.877114929391660247e-01 -8.379621138516671341e-02
-2.099999999999998757e+00 6.475196905000000669e+00 5.747701196016669067e-01 -5.154322066308329731e-02
-2.049999999999999378e+00 6.458884200000000853e+00 5.623432882666665744e-01 -2.926606911183329829e-02
-2.000000000000000000e+00 6.432673710000000433e+00 5.437541494666668918e-01 -2.748956084050001650e-02
-1.950000000000000622e+00 6.398480048333337500e+00 5.354055714166666702e-01 -2.695082076766671178e-02
-1.900000000000001465e+00 6.360958718333334261e+00 5.279804589783331226e-01 -1.516318224366667786e-02
-1.849999999999998535e+00 6.334847658333333520e+00 5.227000874233326266e-01 9.415765726666679505e-03
-1.799999999999999378e+00 6.318174240000002051e+00 5.258953572633331408e-01 2.025124251366667086e-02
-1.750000000000000000e+00 6.299638406666669965e+00 5.373833106050001085e-01 2.079604244966666918e-02
-1.700000000000000622e+00 6.289860173333338800e+00 5.543602803383336219e-01 2.773721054550000106e-02
-1.650000000000001465e+00 6.309279018333334932e+00 5.617020700316668336e-01 2.585634196383333749e-02
-1.599999999999998535e+00 6.340231790000004253e+00 5.693000047583332002e-01 1.981536224533327409e-02
-1.549999999999999378e+00 6.330402266666667721e+00 5.841199739065003893e-01 7.428382235833318886e-03
-1.500000000000000000e+00 6.301089513333329784e+00 5.974864486866670044e-01 -3.391355187999979710e-03
-1.450000000000000622e+00 6.291762674999994864e+00 6.040308754333332253e-01 6.259893570616637155e-03
-1.400000000000001465e+00 6.278997838333325809e+00 6.082562534249996711e-01 5.689871417666671205e-03
