# Y/D U V W
-4.000000000000000000e+00 5.954002238333339747e+00 4.813743500960006583e-01 7.365846543500000065e-02
-3.950000000000000622e+00 5.948334739999999066e+00 4.737141533033336627e-01 6.008262191333340468e-02
-3.900000000000001243e+00 5.961448101666659838e+00 4.702292591776663921e-01 4.215066023833331094e-02
-3.849999999999998757e+00 5.984609079999999359e+00 4.879655338435003320e-01 2.626345648000008668e-03
-3.799999999999999378e+00 6.006726226666674329e+00 4.807387148836663737e-01 1.450195469333333265e-02
-3.750000000000000000e+00 6.010035976666667779e+00 4.663605515183332773e-01 3.597951700066666370e-02
-3.700000000000000622e+00 5.973904826666666779e+00 4.653645215641498134e-01 4.316818224166672074e-02
-3.650000000000001243e+00 5.951787998333333718e+00 4.671076863603335072e-01 3.530871112926665945e-02
-3.599999999999998757e+00 5.936842234999998524e+00 4.620230050166664881e-01 3.845915919999998850e-02
-3.549999999999999378e+00 5.932858808333334899e+00 4.540915023063335498e-01 5.367026310349998219e-02
-3.500000000000000000e+00 5.930510925000002764e+00 4.529640321558328631e-01 7.439905026999993343e-02
-3.450000000000000622e+00 5.918448489999998507e+00 4.325251583641663844e-01 5.660865675316665430e-02
-3.400000000000001243e+00 5.909961755000005645e+00 4.229432516766665207e-01 2.872986023856665891e-02
-3.349999999999998757e+00 5.906846216666666649e+00 4.240688372138334827e-01 -6.168881961500014346e-03
-3.299999999999999378e+00 5.939920721666661407e+00 4.279098331750005313e-01 -1.597149440083333108e-02
-3.250000000000000000e+00 5.930880856666666645e+00 4.221130443716669123e-01 -2.211475388333339950e-03
-3.200000000000000622e+00 5.971009790000002759e+00 4.269226515431663871e-01 7.798572828333309205e-03
-3.150000000000001243e+00 6.010874488333329602e+00 4.362174988826669209e-01 -1.423655083133333263e-02
-3.099999999999998757e+00 6.007265943333334413e+00 4.420828981083333997e-01 -2.661051358433332015e-02
-3.049999999999999378e+00 6.022322876666666325e+00 4.441674657811667815e-01 -4.499466328830000611e-02
-3.000000000000000000e+00 6.044956723333327453e+00 4.374124802075000096e-01 -3.881108554538342803e-02
-2.950000000000000622e+00 6.030290973333332971e+00 4.472008779344998630e-01 -2.857590059666666876e-02
-2.900000000000001243e+00 6.021229266666661140e+00 4.536394178246669906e-01 -3.189298991666666278e-02
-2.849999999999998757e+00 6.031768396666671528e+00 4.455272487894995082e-01 -3.820294095700003945e-02
-2.799999999999999378e+00 6.034599543333333038e+00 4.458701869230004555e-01 -2.077943117833325540e-02
-2.750000000000000000e+00 6.058360003333340238e+00 4.500800244566662833e-01 -2.171053350733332180e-02
-2.700000000000000622e+00 6.057616864999996409e+00 4.504503825783336968e-01 -3.164652786566667791e-02
-2.650000000000001243e+00 6.058658201666660581e+00 4.453737523666661535e-01 -4.421017007251661773e-02
-2.599999999999998757e+00 6.063815643333330563e+00 4.572718695550002099e-01 -4.414095437733325800e-02
-2.549999999999999378e+00 6.091992643333334456e+00 4.613848325423336449e-01 -5.788082571666675058e-02
-2.500000000000000000e+00 6.117485961666671912e+00 4.698899955508329396e-01 -5.760808583083334988e-02
