# Y/D U V W
-4.0000 6.0838 -0.0957 0.0706
-3.9213 6.0572 -0.0653 0.0687
-3.8425 6.0971 -0.0348 0.0476
-3.7638 6.1645 -0.0144 0.0139
-3.6850 6.2233 -0.0048 -0.0144
-3.6063 6.2430 0.0043 -0.0314
-3.5276 6.2566 0.0180 -0.0475
-3.4488 6.2840 0.0288 -0.0624
-3.3701 6.3054 0.0399 -0.0670
-3.2913 6.3250 0.0494 -0.0615
-3.2126 6.3435 0.0532 -0.0611
-3.1339 6.3614 0.0557 -0.0668
-3.0551 6.3794 0.0587 -0.0788
-2.9764 6.3815 0.0674 -0.0869
-2.8976 6.3810 0.0826 -0.0943
-2.8189 6.3797 0.0910 -0.1113
-2.7402 6.3722 0.0928 -0.1255
-2.6614 6.3697 0.0993 -0.1275
-2.5827 6.3785 0.1086 -0.1200
-2.5039 6.3992 0.1120 -0.1337
-2.4252 6.4214 0.1108 -0.1543
-2.3465 6.4336 0.1128 -0.1688
-2.2677 6.4388 0.1203 -0.1622
-2.1890 6.4302 0.1322 -0.1288
-2.1102 6.4023 0.1482 -0.1076
-2.0315 6.3839 0.1640 -0.1103
-1.9528 6.3791 0.1731 -0.1117
-1.8740 6.3698 0.1751 -0.1008
-1.7953 6.3451 0.1769 -0.1034
-1.7165 6.3269 0.1868 -0.1029
-1.6378 6.3081 0.2024 -0.0861
-1.5591 6.2853 0.2179 -0.0794
-1.4803 6.2794 0.2315 -0.0974
-1.4016 6.2840 0.2359 -0.1114
-1.3228 6.2855 0.2295 -0.1178
-1.2441 6.2767 0.2261 -0.1137
-1.1654 6.2655 0.2329 -0.0993
-1.0866 6.2540 0.2418 -0.0873
-1.0079 6.2458 0.2469 -0.0803
-0.9291 6.2390 0.2502 -0.0772
-0.8504 6.2231 0.2534 -0.0760
-0.7717 6.1960 0.2613 -0.0690
-0.6929 6.1583 0.2753 -0.0755
-0.6142 6.1212 0.2879 -0.0765
-0.5354 6.1016 0.2964 -0.0644
-0.4567 6.1006 0.3081 -0.0569
-0.3780 6.1076 0.3312 -0.0561
-0.2992 6.1078 0.3631 -0.0602
-0.2205 6.1050 0.3892 -0.0655
-0.1417 6.0844 0.4064 -0.0620
-0.0630 6.0396 0.4294 -0.0510
0.0157 5.9909 0.4617 -0.0435
0.0945 5.9692 0.4954 -0.0441
0.1732 5.9671 0.5263 -0.0513
0.2520 5.9732 0.5558 -0.0391
0.3307 5.9711 0.5843 -0.0330
0.4094 5.9567 0.6019 -0.0467
0.4882 5.9346 0.6033 -0.0562
0.5669 5.9192 0.5984 -0.0620
0.6457 5.8971 0.5983 -0.0593
0.7244 5.8849 0.6076 -0.0374
0.8031 5.8726 0.6227 -0.0091
0.8819 5.8573 0.6400 0.0015
0.9606 5.8477 0.6533 0.0049
1.0394 5.8428 0.6521 0.0073
1.1181 5.8448 0.6422 0.0088
1.1969 5.8566 0.6389 0.0152
1.2756 5.8501 0.6449 0.0270
1.3543 5.8252 0.6552 0.0297
1.4331 5.7990 0.6675 0.0188
1.5118 5.7957 0.6813 0.0086
1.5906 5.7905 0.6845 -0.0055
1.6693 5.7673 0.6709 -0.0010
1.7480 5.7675 0.6539 0.0158
1.8268 5.7855 0.6476 0.0239
1.9055 5.7872 0.6547 0.0246
1.9843 5.7977 0.6710 0.0191
2.0630 5.8350 0.6913 0.0037
2.1417 5.8696 0.7065 -0.0051
2.2205 5.8899 0.7166 -0.0253
2.2992 5.9098 0.7216 -0.0626
2.3780 5.9269 0.7131 -0.0916
2.4567 5.9278 0.6920 -0.0985
2.5354 5.9235 0.6745 -0.0944
2.6142 5.9228 0.6738 -0.0834
2.6929 5.9089 0.6767 -0.0842
2.7717 5.8776 0.6650 -0.0959
2.8504 5.8429 0.6453 -0.0861
2.9291 5.8209 0.6378 -0.0578
3.0079 5.8150 0.6524 -0.0385
3.0866 5.7959 0.6716 -0.0243
3.1654 5.7781 0.6737 -0.0144
3.2441 5.7709 0.6656 -0.0111
3.3228 5.7516 0.6635 -0.0013
3.4016 5.7185 0.6669 0.0076
3.4803 5.6892 0.6658 0.0234
3.5591 5.6783 0.6626 0.0594
3.6378 5.6905 0.6668 0.0908
3.7165 5.6941 0.6731 0.1179
3.7953 5.6709 0.6746 0.1421
3.8740 5.6356 0.6683 0.1547
3.9528 5.5872 0.6560 0.1530
