# Y/D U V W
-4.0000 6.0911 -0.0616 0.0307
-3.9213 6.0670 -0.0433 0.0375
-3.8425 6.0668 -0.0302 0.0323
-3.7638 6.0888 -0.0185 0.0163
-3.6850 6.1150 -0.0050 0.0091
-3.6063 6.1407 0.0136 -0.0014
-3.5276 6.1770 0.0280 -0.0255
-3.4488 6.2212 0.0284 -0.0532
-3.3701 6.2664 0.0236 -0.0795
-3.2913 6.3192 0.0198 -0.0977
-3.2126 6.3448 0.0200 -0.1170
-3.1339 6.3369 0.0311 -0.1127
-3.0551 6.3345 0.0512 -0.1029
-2.9764 6.3502 0.0677 -0.0982
-2.8976 6.3693 0.0816 -0.0900
-2.8189 6.3914 0.0987 -0.0943
-2.7402 6.4050 0.1170 -0.1077
-2.6614 6.4097 0.1339 -0.1103
-2.5827 6.4204 0.1443 -0.1184
-2.5039 6.4332 0.1524 -0.1264
-2.4252 6.4331 0.1671 -0.1217
-2.3465 6.4275 0.1858 -0.1232
-2.2677 6.4284 0.2013 -0.1342
-2.1890 6.4297 0.2138 -0.1589
-2.1102 6.4325 0.2257 -0.1784
-2.0315 6.4398 0.2368 -0.1695
-1.9528 6.4386 0.2472 -0.1566
-1.8740 6.4200 0.2548 -0.1565
-1.7953 6.3969 0.2585 -0.1567
-1.7165 6.3845 0.2629 -0.1508
-1.6378 6.3798 0.2705 -0.1391
-1.5591 6.3748 0.2848 -0.1390
-1.4803 6.3741 0.3022 -0.1469
-1.4016 6.3657 0.3083 -0.1508
-1.3228 6.3433 0.3087 -0.1458
-1.2441 6.3167 0.3163 -0.1276
-1.1654 6.2890 0.3358 -0.1220
-1.0866 6.2720 0.3635 -0.1330
-1.0079 6.2680 0.3877 -0.1511
-0.9291 6.2715 0.4064 -0.1525
-0.8504 6.2821 0.4253 -0.1464
-0.7717 6.3011 0.4458 -0.1491
-0.6929 6.3133 0.4648 -0.1516
-0.6142 6.3210 0.4795 -0.1506
-0.5354 6.3162 0.4825 -0.1470
-0.4567 6.2829 0.4728 -0.1411
-0.3780 6.2214 0.4635 -0.1356
-0.2992 6.1390 0.4603 -0.1403
-0.2205 6.0718 0.4642 -0.1300
-0.1417 5.9846 0.4702 -0.1190
-0.0630 5.8951 0.4772 -0.1099
0.0157 5.8098 0.4888 -0.0883
0.0945 5.7345 0.4996 -0.0604
0.1732 5.6770 0.5092 -0.0431
0.2520 5.6048 0.5194 -0.0321
0.3307 5.4924 0.5288 -0.0225
0.4094 5.3631 0.5433 0.0074
0.4882 5.2571 0.5629 0.0273
0.5669 5.1962 0.5733 0.0116
0.6457 5.1590 0.5671 -0.0298
0.7244 5.1232 0.5531 -0.0652
0.8031 5.0946 0.5461 -0.0570
0.8819 5.0833 0.5481 -0.0238
0.9606 5.0720 0.5507 -0.0223
1.0394 5.0650 0.5535 -0.0430
1.1181 5.0813 0.5660 -0.0489
1.1969 5.1106 0.5837 -0.0543
1.2756 5.1278 0.5919 -0.0718
1.3543 5.1465 0.5913 -0.0765
1.4331 5.2068 0.5933 -0.0773
1.5118 5.2709 0.5949 -0.0915
1.5906 5.3211 0.5865 -0.1017
1.6693 5.3706 0.5728 -0.0917
1.7480 5.4482 0.5596 -0.0824
1.8268 5.5368 0.5482 -0.0827
1.9055 5.6088 0.5487 -0.0870
1.9843 5.6556 0.5639 -0.0778
2.0630 5.6735 0.5804 -0.0519
2.1417 5.6925 0.5886 -0.0215
2.2205 5.7211 0.5885 -0.0028
2.2992 5.7400 0.5895 -0.0015
2.3780 5.7471 0.5988 0.0002
2.4567 5.7322 0.6134 0.0241
2.5354 5.7152 0.6282 0.0462
2.6142 5.6926 0.6362 0.0419
2.6929 5.6795 0.6375 0.0324
2.7717 5.6815 0.6450 0.0401
2.8504 5.6905 0.6586 0.0574
2.9291 5.6811 0.6589 0.0705
3.0079 5.6560 0.6430 0.0784
3.0866 5.6307 0.6369 0.0908
3.1654 5.6409 0.6562 0.0981
3.2441 5.7042 0.6868 0.0817
3.3228 5.7753 0.7149 0.0430
3.4016 5.8248 0.7335 0.0035
3.4803 5.8537 0.7314 -0.0239
3.5591 5.8653 0.7094 -0.0435
3.6378 5.8651 0.6816 -0.0539
3.7165 5.8555 0.6580 -0.0606
3.7953 5.8399 0.6409 -0.0603
3.8740 5.8185 0.6250 -0.0577
3.9528 5.7973 0.6074 -0.0442
