# Y/D TKE
-4.0000 0.3172
-3.9213 0.3145
-3.8425 0.3035
-3.7638 0.3090
-3.6850 0.3287
-3.6063 0.3491
-3.5276 0.3379
-3.4488 0.3091
-3.3701 0.2841
-3.2913 0.2636
-3.2126 0.2691
-3.1339 0.2775
-3.0551 0.2802
-2.9764 0.2860
-2.8976 0.2928
-2.8189 0.3013
-2.7402 0.3221
-2.6614 0.3343
-2.5827 0.3160
-2.5039 0.2794
-2.4252 0.2386
-2.3465 0.2157
-2.2677 0.2014
-2.1890 0.1974
-2.1102 0.1915
-2.0315 0.1770
-1.9528 0.1751
-1.8740 0.1754
-1.7953 0.1736
-1.7165 0.1677
-1.6378 0.1699
-1.5591 0.1782
-1.4803 0.1778
-1.4016 0.1842
-1.3228 0.2115
-1.2441 0.2308
-1.1654 0.2676
-1.0866 0.2781
-1.0079 0.2854
-0.9291 0.2895
-0.8504 0.2711
-0.7717 0.2527
-0.6929 0.2329
-0.6142 0.2011
-0.5354 0.1774
-0.4567 0.1644
-0.3780 0.1561
-0.2992 0.1486
-0.2205 0.1453
-0.1417 0.1476
-0.0630 0.1477
0.0157 0.1461
0.0945 0.1459
0.1732 0.1558
0.2520 0.1656
0.3307 0.1698
0.4094 0.1769
0.4882 0.1834
0.5669 0.1784
0.6457 0.1718
0.7244 0.1730
0.8031 0.2001
0.8819 0.2365
0.9606 0.2621
1.0394 0.2559
1.1181 0.2295
1.1969 0.1925
1.2756 0.1669
1.3543 0.1449
1.4331 0.1140
1.5118 0.0958
1.5906 0.0964
1.6693 0.1021
1.7480 0.1085
1.8268 0.1138
1.9055 0.1222
1.9843 0.1427
2.0630 0.1633
2.1417 0.1801
2.2205 0.2004
2.2992 0.2156
2.3780 0.2293
2.4567 0.2550
2.5354 0.2723
2.6142 0.2575
2.6929 0.2351
2.7717 0.2220
2.8504 0.2185
2.9291 0.2278
3.0079 0.2420
3.0866 0.2512
3.1654 0.2633
3.2441 0.2822
3.3228 0.2970
3.4016 0.2968
3.4803 0.2752
3.5591 0.2589
3.6378 0.2598
3.7165 0.2801
3.7953 0.2810
3.8740 0.2545
3.9528 0.2249
