# Y/D U V W
-4.0000 5.9459 -0.1610 0.1633
-3.9213 5.9357 -0.1396 0.1874
-3.8425 5.9233 -0.1201 0.1839
-3.7638 5.9541 -0.1155 0.1443
-3.6850 5.9959 -0.1289 0.0934
-3.6063 6.0363 -0.1437 0.0680
-3.5276 6.0789 -0.1380 0.0729
-3.4488 6.1256 -0.1125 0.0521
-3.3701 6.1705 -0.0842 -0.0081
-3.2913 6.2184 -0.0662 -0.0512
-3.2126 6.2488 -0.0554 -0.0657
-3.1339 6.2849 -0.0455 -0.0745
-3.0551 6.3314 -0.0402 -0.0640
-2.9764 6.3565 -0.0377 -0.0442
-2.8976 6.3408 -0.0293 -0.0231
-2.8189 6.3032 -0.0148 -0.0108
-2.7402 6.2879 0.0037 -0.0176
-2.6614 6.3191 0.0272 -0.0482
-2.5827 6.3511 0.0503 -0.1027
-2.5039 6.3723 0.0584 -0.1347
-2.4252 6.3997 0.0515 -0.1540
-2.3465 6.4328 0.0473 -0.1646
-2.2677 6.4461 0.0550 -0.1619
-2.1890 6.4402 0.0669 -0.1610
-2.1102 6.4367 0.0750 -0.1642
-2.0315 6.4237 0.0829 -0.1510
-1.9528 6.3976 0.0953 -0.1508
-1.8740 6.3741 0.1070 -0.1422
-1.7953 6.3539 0.1093 -0.1179
-1.7165 6.3163 0.1094 -0.0807
-1.6378 6.2657 0.1202 -0.0557
-1.5591 6.2343 0.1396 -0.0720
-1.4803 6.2170 0.1549 -0.1058
-1.4016 6.1772 0.1598 -0.1115
-1.3228 6.1226 0.1564 -0.1072
-1.2441 6.0969 0.1535 -0.0938
-1.1654 6.1016 0.1557 -0.0634
-1.0866 6.1131 0.1535 -0.0335
-1.0079 6.1399 0.1474 0.0044
-0.9291 6.1733 0.1495 0.0275
-0.8504 6.1831 0.1652 0.0101
-0.7717 6.1674 0.1906 -0.0262
-0.6929 6.1456 0.2254 -0.0512
-0.6142 6.1563 0.2693 -0.0591
-0.5354 6.1784 0.3067 -0.0668
-0.4567 6.1957 0.3259 -0.0927
-0.3780 6.2238 0.3293 -0.1259
-0.2992 6.2515 0.3225 -0.1322
-0.2205 6.2613 0.3158 -0.1229
-0.1417 6.2647 0.3176 -0.1147
-0.0630 6.2681 0.3227 -0.1186
0.0157 6.2575 0.3209 -0.1215
0.0945 6.2370 0.3188 -0.1026
0.1732 6.2358 0.3324 -0.0828
0.2520 6.2474 0.3577 -0.0931
0.3307 6.2412 0.3796 -0.1103
0.4094 6.2235 0.3967 -0.1163
0.4882 6.2147 0.4124 -0.1123
0.5669 6.2206 0.4268 -0.1054
0.6457 6.2201 0.4407 -0.0989
0.7244 6.2060 0.4554 -0.1024
0.8031 6.2049 0.4697 -0.1149
0.8819 6.2286 0.4826 -0.1186
0.9606 6.2595 0.4973 -0.1083
1.0394 6.2875 0.5169 -0.0960
1.1181 6.3037 0.5412 -0.0981
1.1969 6.2959 0.5622 -0.1162
1.2756 6.2792 0.5713 -0.1350
1.3543 6.2621 0.5694 -0.1441
1.4331 6.2254 0.5612 -0.1399
1.5118 6.1901 0.5508 -0.1179
1.5906 6.1712 0.5426 -0.0931
1.6693 6.1525 0.5416 -0.0728
1.7480 6.1383 0.5497 -0.0609
1.8268 6.1137 0.5615 -0.0542
1.9055 6.1053 0.5707 -0.0567
1.9843 6.1082 0.5774 -0.0622
2.0630 6.0931 0.5773 -0.0612
2.1417 6.0708 0.5676 -0.0616
2.2205 6.0490 0.5620 -0.0657
2.2992 6.0413 0.5644 -0.0751
2.3780 6.0289 0.5662 -0.0830
2.4567 6.0069 0.5654 -0.0800
2.5354 5.9765 0.5642 -0.0639
2.6142 5.9344 0.5645 -0.0452
2.6929 5.8868 0.5669 -0.0237
2.7717 5.8332 0.5715 -0.0073
2.8504 5.7794 0.5816 -0.0013
2.9291 5.7477 0.6000 0.0013
3.0079 5.7437 0.6208 0.0015
3.0866 5.7441 0.6364 -0.0057
3.1654 5.7474 0.6468 0.0000
3.2441 5.7628 0.6553 0.0361
3.3228 5.7917 0.6560 0.0756
3.4016 5.8086 0.6489 0.0902
3.4803 5.7878 0.6397 0.0858
3.5591 5.7219 0.6176 0.1021
3.6378 5.6147 0.5771 0.1603
3.7165 5.4900 0.5336 0.2226
3.7953 5.4097 0.5065 0.2679
3.8740 5.3583 0.4980 0.3065
3.9528 5.3673 0.4934 0.3209
