# Y/D U V W
-4.0000 5.7350 -0.1450 0.0805
-3.9213 5.7035 -0.1200 0.1226
-3.8425 5.6647 -0.0730 0.1870
-3.7638 5.6972 -0.0153 0.1805
-3.6850 5.7910 0.0376 0.1262
-3.6063 5.8959 0.0681 0.0881
-3.5276 5.9717 0.0792 0.0682
-3.4488 6.0232 0.0799 0.0300
-3.3701 6.0362 0.0648 -0.0419
-3.2913 6.0630 0.0467 -0.0921
-3.2126 6.1289 0.0410 -0.1013
-3.1339 6.2038 0.0380 -0.1028
-3.0551 6.2577 0.0275 -0.1025
-2.9764 6.2886 0.0182 -0.1018
-2.8976 6.2911 0.0188 -0.0845
-2.8189 6.2788 0.0315 -0.0599
-2.7402 6.2722 0.0501 -0.0450
-2.6614 6.2744 0.0635 -0.0574
-2.5827 6.2986 0.0707 -0.0739
-2.5039 6.3429 0.0858 -0.0857
-2.4252 6.3682 0.1125 -0.1024
-2.3465 6.3720 0.1319 -0.1212
-2.2677 6.3800 0.1432 -0.1422
-2.1890 6.3894 0.1609 -0.1591
-2.1102 6.3885 0.1812 -0.1665
-2.0315 6.3802 0.1984 -0.1726
-1.9528 6.3439 0.2130 -0.1626
-1.8740 6.3073 0.2193 -0.1328
-1.7953 6.2946 0.2174 -0.1133
-1.7165 6.2810 0.2164 -0.1162
-1.6378 6.2539 0.2184 -0.1180
-1.5591 6.2212 0.2200 -0.1165
-1.4803 6.1988 0.2315 -0.0901
-1.4016 6.1769 0.2575 -0.0484
-1.3228 6.1590 0.2845 -0.0295
-1.2441 6.1487 0.3116 -0.0396
-1.1654 6.1606 0.3383 -0.0713
-1.0866 6.1806 0.3539 -0.1051
-1.0079 6.1767 0.3557 -0.1326
-0.9291 6.1702 0.3492 -0.1307
-0.8504 6.1731 0.3452 -0.1068
-0.7717 6.1891 0.3484 -0.0823
-0.6929 6.2053 0.3499 -0.0833
-0.6142 6.2124 0.3442 -0.1155
-0.5354 6.2101 0.3390 -0.1226
-0.4567 6.2207 0.3394 -0.0943
-0.3780 6.2300 0.3429 -0.0739
-0.2992 6.2146 0.3515 -0.0799
-0.2205 6.1825 0.3641 -0.0809
-0.1417 6.1532 0.3681 -0.0737
-0.0630 6.1199 0.3628 -0.0865
0.0157 6.1044 0.3607 -0.0949
0.0945 6.1009 0.3665 -0.0643
0.1732 6.1012 0.3809 -0.0385
0.2520 6.0992 0.4008 -0.0515
0.3307 6.0856 0.4215 -0.0802
0.4094 6.0845 0.4403 -0.1075
0.4882 6.1084 0.4576 -0.1337
0.5669 6.1227 0.4752 -0.1564
0.6457 6.1128 0.4881 -0.1650
0.7244 6.1058 0.4947 -0.1489
0.8031 6.1205 0.4986 -0.1351
0.8819 6.1504 0.5010 -0.1327
0.9606 6.1687 0.5038 -0.1233
1.0394 6.1625 0.5076 -0.0993
1.1181 6.1628 0.5117 -0.0741
1.1969 6.1585 0.5156 -0.0590
1.2756 6.1217 0.5182 -0.0477
1.3543 6.0808 0.5229 -0.0364
1.4331 6.0530 0.5424 -0.0367
1.5118 6.0437 0.5773 -0.0485
1.5906 6.0280 0.6067 -0.0725
1.6693 6.0134 0.6207 -0.1002
1.7480 6.0142 0.6278 -0.1162
1.8268 6.0092 0.6356 -0.1096
1.9055 5.9974 0.6449 -0.0932
1.9843 5.9791 0.6521 -0.0805
2.0630 5.9619 0.6523 -0.0603
2.1417 5.9641 0.6455 -0.0464
2.2205 5.9605 0.6436 -0.0494
2.2992 5.9548 0.6595 -0.0586
2.3780 5.9706 0.6862 -0.0673
2.4567 5.9949 0.7114 -0.0674
2.5354 6.0085 0.7298 -0.0545
2.6142 6.0119 0.7376 -0.0378
2.6929 6.0219 0.7379 -0.0283
2.7717 6.0331 0.7361 -0.0297
2.8504 6.0169 0.7325 -0.0381
2.9291 6.0014 0.7292 -0.0530
3.0079 6.0128 0.7256 -0.0665
3.0866 6.0050 0.7162 -0.0657
3.1654 5.9580 0.7041 -0.0450
3.2441 5.9058 0.6999 -0.0222
3.3228 5.8865 0.7060 -0.0162
3.4016 5.8887 0.7093 -0.0178
3.4803 5.8822 0.6976 -0.0193
3.5591 5.8774 0.6696 -0.0283
3.6378 5.8726 0.6357 -0.0298
3.7165 5.8471 0.6107 -0.0149
3.7953 5.8158 0.5993 -0.0023
3.8740 5.7845 0.5972 0.0028
3.9528 5.7669 0.5963 0.0232
