# Y/D TKE
-4.0000 0.4049
-3.9213 0.3767
-3.8425 0.3278
-3.7638 0.3032
-3.6850 0.3124
-3.6063 0.3211
-3.5276 0.3289
-3.4488 0.3434
-3.3701 0.3138
-3.2913 0.2854
-3.2126 0.2814
-3.1339 0.3000
-3.0551 0.3079
-2.9764 0.3281
-2.8976 0.3694
-2.8189 0.3914
-2.7402 0.4057
-2.6614 0.3706
-2.5827 0.3056
-2.5039 0.2432
-2.4252 0.2031
-2.3465 0.1757
-2.2677 0.1481
-2.1890 0.1260
-2.1102 0.1189
-2.0315 0.1224
-1.9528 0.1253
-1.8740 0.1266
-1.7953 0.1229
-1.7165 0.1257
-1.6378 0.1464
-1.5591 0.1634
-1.4803 0.1740
-1.4016 0.1904
-1.3228 0.1721
-1.2441 0.1521
-1.1654 0.1499
-1.0866 0.1578
-1.0079 0.1710
-0.9291 0.1904
-0.8504 0.1948
-0.7717 0.1871
-0.6929 0.1925
-0.6142 0.2095
-0.5354 0.2221
-0.4567 0.2253
-0.3780 0.2137
-0.2992 0.1832
-0.2205 0.1527
-0.1417 0.1265
-0.0630 0.1089
0.0157 0.0950
0.0945 0.0870
0.1732 0.0924
0.2520 0.1021
0.3307 0.1124
0.4094 0.1190
0.4882 0.1234
0.5669 0.1275
0.6457 0.1445
0.7244 0.1634
0.8031 0.1647
0.8819 0.1610
0.9606 0.1598
1.0394 0.1593
1.1181 0.1437
1.1969 0.1238
1.2756 0.1206
1.3543 0.1285
1.4331 0.1309
1.5118 0.1255
1.5906 0.1217
1.6693 0.1231
1.7480 0.1317
1.8268 0.1509
1.9055 0.1592
1.9843 0.1587
2.0630 0.1510
2.1417 0.1465
2.2205 0.1394
2.2992 0.1369
2.3780 0.1477
2.4567 0.1566
2.5354 0.1592
2.6142 0.1680
2.6929 0.1674
2.7717 0.1705
2.8504 0.1834
2.9291 0.1968
3.0079 0.2105
3.0866 0.2236
3.1654 0.2489
3.2441 0.2632
3.3228 0.2626
3.4016 0.2501
3.4803 0.2371
3.5591 0.2509
3.6378 0.2712
3.7165 0.2751
3.7953 0.2884
3.8740 0.3212
3.9528 0.3386
