# Y/D U V W
-4.0000 5.6508 -0.1063 0.1095
-3.9213 5.6077 -0.0602 0.1730
-3.8425 5.5824 -0.0216 0.1882
-3.7638 5.6054 0.0110 0.1617
-3.6850 5.6780 0.0496 0.0998
-3.6063 5.7966 0.0860 0.0291
-3.5276 5.8854 0.0961 -0.0203
-3.4488 5.9403 0.0647 -0.0295
-3.3701 6.0375 0.0136 -0.0246
-3.2913 6.1265 -0.0218 -0.0598
-3.2126 6.1789 -0.0327 -0.1107
-3.1339 6.1845 -0.0250 -0.1136
-3.0551 6.1740 -0.0092 -0.0870
-2.9764 6.1828 0.0058 -0.0549
-2.8976 6.2120 0.0153 -0.0548
-2.8189 6.2464 0.0179 -0.0810
-2.7402 6.2705 0.0244 -0.0870
-2.6614 6.2842 0.0359 -0.0868
-2.5827 6.3017 0.0416 -0.0927
-2.5039 6.3243 0.0498 -0.0987
-2.4252 6.3319 0.0720 -0.0952
-2.3465 6.3305 0.1022 -0.1147
-2.2677 6.3327 0.1299 -0.1491
-2.1890 6.3574 0.1527 -0.1848
-2.1102 6.3817 0.1707 -0.1839
-2.0315 6.3838 0.1821 -0.1629
-1.9528 6.3571 0.1906 -0.1339
-1.8740 6.3178 0.2010 -0.1243
-1.7953 6.2871 0.2115 -0.1231
-1.7165 6.2602 0.2152 -0.1148
-1.6378 6.2607 0.2145 -0.1205
-1.5591 6.2784 0.2139 -0.1283
-1.4803 6.2744 0.2133 -0.1258
-1.4016 6.2460 0.2138 -0.1219
-1.3228 6.2122 0.2140 -0.1103
-1.2441 6.1873 0.2236 -0.0759
-1.1654 6.1709 0.2554 -0.0524
-1.0866 6.1810 0.2977 -0.0640
-1.0079 6.1965 0.3287 -0.0961
-0.9291 6.2088 0.3457 -0.1319
-0.8504 6.2177 0.3593 -0.1476
-0.7717 6.2384 0.3696 -0.1491
-0.6929 6.2694 0.3736 -0.1466
-0.6142 6.2931 0.3730 -0.1417
-0.5354 6.3013 0.3694 -0.1284
-0.4567 6.2996 0.3672 -0.1195
-0.3780 6.2934 0.3712 -0.1196
-0.2992 6.2923 0.3807 -0.1313
-0.2205 6.2869 0.3892 -0.1424
-0.1417 6.2800 0.3947 -0.1361
-0.0630 6.2554 0.4011 -0.1324
0.0157 6.2091 0.4096 -0.1130
0.0945 6.1735 0.4165 -0.0827
0.1732 6.1607 0.4227 -0.0703
0.2520 6.1458 0.4283 -0.0603
0.3307 6.1218 0.4321 -0.0457
0.4094 6.0950 0.4460 -0.0338
0.4882 6.0721 0.4740 -0.0371
0.5669 6.0645 0.5038 -0.0600
0.6457 6.0836 0.5273 -0.0970
0.7244 6.1092 0.5438 -0.1462
0.8031 6.1196 0.5525 -0.1826
0.8819 6.1283 0.5522 -0.1813
0.9606 6.1474 0.5463 -0.1718
1.0394 6.1668 0.5390 -0.1802
1.1181 6.1822 0.5348 -0.1847
1.1969 6.1814 0.5373 -0.1697
1.2756 6.1607 0.5469 -0.1470
1.3543 6.1453 0.5604 -0.1231
1.4331 6.1198 0.5726 -0.0967
1.5118 6.0813 0.5798 -0.0766
1.5906 6.0543 0.5816 -0.0680
1.6693 6.0377 0.5814 -0.0639
1.7480 6.0235 0.5879 -0.0564
1.8268 5.9922 0.6022 -0.0482
1.9055 5.9835 0.6204 -0.0454
1.9843 6.0119 0.6383 -0.0673
2.0630 6.0517 0.6427 -0.1029
2.1417 6.0736 0.6336 -0.1183
2.2205 6.0375 0.6292 -0.0922
2.2992 5.9975 0.6332 -0.0425
2.3780 5.9795 0.6371 -0.0162
2.4567 5.9407 0.6358 -0.0255
2.5354 5.8939 0.6237 -0.0393
2.6142 5.8587 0.6117 -0.0261
2.6929 5.8418 0.6202 0.0122
2.7717 5.8416 0.6439 0.0414
2.8504 5.8557 0.6664 0.0519
2.9291 5.8698 0.6876 0.0509
3.0079 5.8842 0.7126 0.0349
3.0866 5.9177 0.7378 0.0118
3.1654 5.9484 0.7578 -0.0156
3.2441 5.9506 0.7709 -0.0370
3.3228 5.9354 0.7770 -0.0356
3.4016 5.9154 0.7679 -0.0296
3.4803 5.8951 0.7389 -0.0268
3.5591 5.8778 0.7072 -0.0146
3.6378 5.8755 0.6913 -0.0119
3.7165 5.8943 0.6870 -0.0214
3.7953 5.9100 0.6816 -0.0205
3.8740 5.9147 0.6745 -0.0149
3.9528 5.9058 0.6718 -0.0164
