# Y/D TKE
-4.0000 0.4029
-3.9213 0.3730
-3.8425 0.3250
-3.7638 0.3027
-3.6850 0.3127
-3.6063 0.3208
-3.5276 0.3298
-3.4488 0.3415
-3.3701 0.3105
-3.2913 0.2845
-3.2126 0.2820
-3.1339 0.3021
-3.0551 0.3102
-2.9764 0.3317
-2.8976 0.3738
-2.8189 0.3930
-2.7402 0.4036
-2.6614 0.3638
-2.5827 0.2970
-2.5039 0.2357
-2.4252 0.1985
-2.3465 0.1716
-2.2677 0.1441
-2.1890 0.1240
-2.1102 0.1191
-2.0315 0.1231
-1.9528 0.1263
-1.8740 0.1270
-1.7953 0.1234
-1.7165 0.1291
-1.6378 0.1511
-1.5591 0.1658
-1.4803 0.1785
-1.4016 0.1920
-1.3228 0.1679
-1.2441 0.1513
-1.1654 0.1512
-1.0866 0.1596
-1.0079 0.1748
-0.9291 0.1944
-0.8504 0.1966
-0.7717 0.1924
-0.6929 0.2045
-0.6142 0.2242
-0.5354 0.2358
-0.4567 0.2346
-0.3780 0.2194
-0.2992 0.1858
-0.2205 0.1521
-0.1417 0.1241
-0.0630 0.1066
0.0157 0.0934
0.0945 0.0855
0.1732 0.0903
0.2520 0.0996
0.3307 0.1100
0.4094 0.1178
0.4882 0.1229
0.5669 0.1266
0.6457 0.1412
0.7244 0.1631
0.8031 0.1662
0.8819 0.1630
0.9606 0.1625
1.0394 0.1632
1.1181 0.1516
1.1969 0.1299
1.2756 0.1229
1.3543 0.1306
1.4331 0.1331
1.5118 0.1276
1.5906 0.1218
1.6693 0.1219
1.7480 0.1282
1.8268 0.1475
1.9055 0.1580
1.9843 0.1597
2.0630 0.1525
2.1417 0.1477
2.2205 0.1401
2.2992 0.1363
2.3780 0.1454
2.4567 0.1563
2.5354 0.1582
2.6142 0.1673
2.6929 0.1680
2.7717 0.1698
2.8504 0.1820
2.9291 0.1956
3.0079 0.2096
3.0866 0.2210
3.1654 0.2464
3.2441 0.2625
3.3228 0.2624
3.4016 0.2517
3.4803 0.2376
3.5591 0.2498
3.6378 0.2706
3.7165 0.2745
3.7953 0.2853
3.8740 0.3186
3.9528 0.3363
