# Y/D TKE
-4.0000 0.4456
-3.9213 0.4152
-3.8425 0.3585
-3.7638 0.2980
-3.6850 0.2753
-3.6063 0.2743
-3.5276 0.2709
-3.4488 0.2712
-3.3701 0.2609
-3.2913 0.2571
-3.2126 0.2601
-3.1339 0.2671
-3.0551 0.2915
-2.9764 0.3033
-2.8976 0.2844
-2.8189 0.2708
-2.7402 0.2711
-2.6614 0.2689
-2.5827 0.2659
-2.5039 0.2626
-2.4252 0.2462
-2.3465 0.2154
-2.2677 0.1776
-2.1890 0.1563
-2.1102 0.1592
-2.0315 0.1555
-1.9528 0.1448
-1.8740 0.1483
-1.7953 0.1597
-1.7165 0.1763
-1.6378 0.1853
-1.5591 0.1917
-1.4803 0.1895
-1.4016 0.1784
-1.3228 0.1727
-1.2441 0.1652
-1.1654 0.1505
-1.0866 0.1373
-1.0079 0.1379
-0.9291 0.1515
-0.8504 0.1497
-0.7717 0.1647
-0.6929 0.2201
-0.6142 0.2978
-0.5354 0.3924
-0.4567 0.5601
-0.3780 0.7558
-0.2992 0.8315
-0.2205 0.7494
-0.1417 0.6364
-0.0630 0.5397
0.0157 0.4453
0.0945 0.4088
0.1732 0.4443
0.2520 0.4613
0.3307 0.4556
0.4094 0.4230
0.4882 0.3955
0.5669 0.4224
0.6457 0.5334
0.7244 0.7100
0.8031 0.8353
0.8819 0.7630
0.9606 0.5432
1.0394 0.3285
1.1181 0.2152
1.1969 0.1657
1.2756 0.1502
1.3543 0.1490
1.4331 0.1475
1.5118 0.1629
1.5906 0.1893
1.6693 0.2146
1.7480 0.2235
1.8268 0.2039
1.9055 0.1746
1.9843 0.1617
2.0630 0.1530
2.1417 0.1414
2.2205 0.1228
2.2992 0.1067
2.3780 0.0991
2.4567 0.0993
2.5354 0.1026
2.6142 0.1074
2.6929 0.1153
2.7717 0.1229
2.8504 0.1230
2.9291 0.1228
3.0079 0.1283
3.0866 0.1377
3.1654 0.1518
3.2441 0.1679
3.3228 0.1824
3.4016 0.1970
3.4803 0.2162
3.5591 0.2326
3.6378 0.2304
3.7165 0.2313
3.7953 0.2426
3.8740 0.2581
3.9528 0.2627
