# Y/D U V W
-4.0000 5.9417 -0.1666 0.1643
-3.9213 5.9314 -0.1454 0.1883
-3.8425 5.9189 -0.1262 0.1847
-3.7638 5.9498 -0.1219 0.1450
-3.6850 5.9914 -0.1357 0.0941
-3.6063 6.0316 -0.1507 0.0689
-3.5276 6.0741 -0.1451 0.0738
-3.4488 6.1207 -0.1199 0.0527
-3.3701 6.1653 -0.0920 -0.0074
-3.2913 6.2130 -0.0743 -0.0504
-3.2126 6.2431 -0.0639 -0.0646
-3.1339 6.2791 -0.0543 -0.0733
-3.0551 6.3252 -0.0494 -0.0625
-2.9764 6.3497 -0.0472 -0.0426
-2.8976 6.3333 -0.0390 -0.0214
-2.8189 6.2954 -0.0246 -0.0091
-2.7402 6.2802 -0.0064 -0.0160
-2.6614 6.3113 0.0169 -0.0466
-2.5827 6.3429 0.0396 -0.1010
-2.5039 6.3639 0.0473 -0.1326
-2.4252 6.3910 0.0401 -0.1518
-2.3465 6.4236 0.0357 -0.1621
-2.2677 6.4363 0.0433 -0.1591
-2.1890 6.4300 0.0551 -0.1581
-2.1102 6.4261 0.0630 -0.1610
-2.0315 6.4125 0.0709 -0.1476
-1.9528 6.3858 0.0833 -0.1472
-1.8740 6.3618 0.0949 -0.1383
-1.7953 6.3411 0.0972 -0.1137
-1.7165 6.3027 0.0974 -0.0762
-1.6378 6.2516 0.1085 -0.0512
-1.5591 6.2200 0.1280 -0.0677
-1.4803 6.2022 0.1435 -0.1014
-1.4016 6.1616 0.1484 -0.1068
-1.3228 6.1066 0.1452 -0.1023
-1.2441 6.0808 0.1424 -0.0886
-1.1654 6.0851 0.1449 -0.0577
-1.0866 6.0960 0.1429 -0.0276
-1.0079 6.1223 0.1371 0.0106
-0.9291 6.1552 0.1396 0.0338
-0.8504 6.1643 0.1559 0.0165
-0.7717 6.1480 0.1822 -0.0197
-0.6929 6.1259 0.2179 -0.0443
-0.6142 6.1366 0.2626 -0.0522
-0.5354 6.1586 0.3006 -0.0600
-0.4567 6.1756 0.3204 -0.0860
-0.3780 6.2035 0.3245 -0.1193
-0.2992 6.2310 0.3184 -0.1256
-0.2205 6.2407 0.3124 -0.1161
-0.1417 6.2440 0.3149 -0.1079
-0.0630 6.2473 0.3207 -0.1119
0.0157 6.2366 0.3196 -0.1149
0.0945 6.2159 0.3182 -0.0960
0.1732 6.2147 0.3326 -0.0760
0.2520 6.2264 0.3586 -0.0863
0.3307 6.2203 0.3813 -0.1035
0.4094 6.2027 0.3991 -0.1096
0.4882 6.1940 0.4155 -0.1056
0.5669 6.2001 0.4305 -0.0988
0.6457 6.2000 0.4451 -0.0923
0.7244 6.1862 0.4604 -0.0958
0.8031 6.1851 0.4755 -0.1083
0.8819 6.2091 0.4891 -0.1123
0.9606 6.2405 0.5045 -0.1022
1.0394 6.2689 0.5246 -0.0901
1.1181 6.2857 0.5494 -0.0922
1.1969 6.2784 0.5709 -0.1105
1.2756 6.2621 0.5805 -0.1297
1.3543 6.2456 0.5789 -0.1393
1.4331 6.2094 0.5710 -0.1356
1.5118 6.1744 0.5608 -0.1140
1.5906 6.1557 0.5526 -0.0894
1.6693 6.1375 0.5515 -0.0693
1.7480 6.1237 0.5595 -0.0574
1.8268 6.0994 0.5714 -0.0508
1.9055 6.0912 0.5807 -0.0533
1.9843 6.0947 0.5875 -0.0590
2.0630 6.0801 0.5876 -0.0582
2.1417 6.0582 0.5778 -0.0588
2.2205 6.0368 0.5721 -0.0630
2.2992 6.0295 0.5744 -0.0724
2.3780 6.0175 0.5762 -0.0806
2.4567 5.9959 0.5752 -0.0779
2.5354 5.9659 0.5738 -0.0619
2.6142 5.9242 0.5739 -0.0434
2.6929 5.8770 0.5760 -0.0220
2.7717 5.8237 0.5804 -0.0055
2.8504 5.7700 0.5902 0.0005
2.9291 5.7383 0.6083 0.0031
3.0079 5.7344 0.6290 0.0034
3.0866 5.7350 0.6446 -0.0039
3.1654 5.7384 0.6550 0.0016
3.2441 5.7539 0.6634 0.0373
3.3228 5.7830 0.6640 0.0769
3.4016 5.8004 0.6568 0.0916
3.4803 5.7803 0.6475 0.0872
3.5591 5.7149 0.6253 0.1030
3.6378 5.6082 0.5845 0.1608
3.7165 5.4836 0.5406 0.2231
3.7953 5.4030 0.5130 0.2684
3.8740 5.3513 0.5041 0.3071
3.9528 5.3600 0.4994 0.3216
