# Y/D U V W
-4.0000 6.0799 -0.0428 -0.1058
-3.9213 6.1174 -0.0558 -0.1324
-3.8425 6.1500 -0.0693 -0.1423
-3.7638 6.1715 -0.0830 -0.1380
-3.6850 6.1677 -0.0960 -0.1207
-3.6063 6.1714 -0.0992 -0.0952
-3.5276 6.1853 -0.0917 -0.0760
-3.4488 6.1819 -0.0776 -0.0598
-3.3701 6.1735 -0.0610 -0.0400
-3.2913 6.1767 -0.0419 -0.0131
-3.2126 6.1981 -0.0101 -0.0056
-3.1339 6.2084 0.0319 -0.0152
-3.0551 6.2093 0.0637 -0.0234
-2.9764 6.2289 0.0784 -0.0351
-2.8976 6.2532 0.0837 -0.0473
-2.8189 6.2336 0.0833 -0.0632
-2.7402 6.2107 0.0826 -0.0835
-2.6614 6.2217 0.0881 -0.0866
-2.5827 6.2455 0.1041 -0.0680
-2.5039 6.2589 0.1252 -0.0638
-2.4252 6.2799 0.1429 -0.0929
-2.3465 6.3293 0.1544 -0.1269
-2.2677 6.3800 0.1610 -0.1364
-2.1890 6.3910 0.1651 -0.1374
-2.1102 6.3901 0.1673 -0.1428
-2.0315 6.3955 0.1678 -0.1686
-1.9528 6.4055 0.1667 -0.1804
-1.8740 6.4078 0.1621 -0.1620
-1.7953 6.3924 0.1587 -0.1389
-1.7165 6.3712 0.1696 -0.1178
-1.6378 6.3649 0.1892 -0.1056
-1.5591 6.3646 0.2059 -0.1240
-1.4803 6.3390 0.2209 -0.1519
-1.4016 6.3085 0.2339 -0.1633
-1.3228 6.2979 0.2477 -0.1557
-1.2441 6.2869 0.2610 -0.1363
-1.1654 6.2312 0.2688 -0.1134
-1.0866 6.1705 0.2730 -0.0865
-1.0079 6.1525 0.2751 -0.0663
-0.9291 6.1757 0.2865 -0.0520
-0.8504 6.2266 0.3198 -0.0706
-0.7717 6.2755 0.3591 -0.1109
-0.6929 6.3038 0.3842 -0.1426
-0.6142 6.3151 0.3989 -0.1664
-0.5354 6.3198 0.4086 -0.1677
-0.4567 6.3078 0.4084 -0.1439
-0.3780 6.2665 0.4015 -0.1423
-0.2992 6.2232 0.3966 -0.1515
-0.2205 6.1886 0.3942 -0.1491
-0.1417 6.1446 0.3994 -0.1509
-0.0630 6.1073 0.4168 -0.1553
0.0157 6.1001 0.4291 -0.1597
0.0945 6.0721 0.4248 -0.1505
0.1732 5.9665 0.4145 -0.1265
0.2520 5.8517 0.4064 -0.0970
0.3307 5.7387 0.3975 -0.0758
0.4094 5.6382 0.3803 -0.0590
0.4882 5.5627 0.3617 -0.0625
0.5669 5.4719 0.3630 -0.0350
0.6457 5.3560 0.3897 0.0281
0.7244 5.2587 0.4279 0.0844
0.8031 5.2354 0.4652 0.0957
0.8819 5.2528 0.5068 0.0467
0.9606 5.2631 0.5529 -0.0437
1.0394 5.2862 0.5895 -0.1207
1.1181 5.3138 0.6079 -0.1538
1.1969 5.3288 0.6123 -0.1636
1.2756 5.3148 0.6157 -0.1685
1.3543 5.2951 0.6258 -0.1402
1.4331 5.2973 0.6422 -0.1090
1.5118 5.3147 0.6578 -0.0964
1.5906 5.3381 0.6693 -0.0952
1.6693 5.3680 0.6720 -0.1348
1.7480 5.3778 0.6583 -0.1759
1.8268 5.4025 0.6368 -0.1730
1.9055 5.4636 0.6251 -0.1499
1.9843 5.5365 0.6272 -0.1363
2.0630 5.5991 0.6353 -0.1431
2.1417 5.6442 0.6422 -0.1565
2.2205 5.6900 0.6468 -0.1547
2.2992 5.7649 0.6506 -0.1430
2.3780 5.8341 0.6473 -0.1390
2.4567 5.8773 0.6350 -0.1463
2.5354 5.9245 0.6218 -0.1581
2.6142 5.9637 0.6097 -0.1557
2.6929 5.9844 0.5979 -0.1148
2.7717 6.0028 0.5972 -0.0485
2.8504 6.0147 0.6125 0.0047
2.9291 6.0079 0.6344 0.0269
3.0079 5.9917 0.6579 0.0288
3.0866 5.9967 0.6789 0.0375
3.1654 6.0092 0.6882 0.0509
3.2441 5.9915 0.6867 0.0693
3.3228 5.9540 0.6859 0.0892
3.4016 5.9139 0.6917 0.1058
3.4803 5.8595 0.7029 0.1347
3.5591 5.7861 0.7150 0.1864
3.6378 5.7132 0.7247 0.2226
3.7165 5.6685 0.7346 0.2095
3.7953 5.6665 0.7492 0.1714
3.8740 5.6821 0.7684 0.1424
3.9528 5.6928 0.7850 0.1242
