# Y/D TKE
-4.0000 0.3099
-3.9213 0.2951
-3.8425 0.2907
-3.7638 0.2809
-3.6850 0.2619
-3.6063 0.2437
-3.5276 0.2345
-3.4488 0.2362
-3.3701 0.2401
-3.2913 0.2413
-3.2126 0.2410
-3.1339 0.2419
-3.0551 0.2437
-2.9764 0.2477
-2.8976 0.2579
-2.8189 0.2767
-2.7402 0.2894
-2.6614 0.2891
-2.5827 0.2794
-2.5039 0.2846
-2.4252 0.3105
-2.3465 0.3278
-2.2677 0.3505
-2.1890 0.3568
-2.1102 0.3429
-2.0315 0.3204
-1.9528 0.3029
-1.8740 0.2912
-1.7953 0.2545
-1.7165 0.2308
-1.6378 0.2359
-1.5591 0.2570
-1.4803 0.2704
-1.4016 0.2771
-1.3228 0.2804
-1.2441 0.2979
-1.1654 0.3138
-1.0866 0.2972
-1.0079 0.2703
-0.9291 0.2651
-0.8504 0.2493
-0.7717 0.2211
-0.6929 0.2210
-0.6142 0.2246
-0.5354 0.2169
-0.4567 0.2058
-0.3780 0.1928
-0.2992 0.1980
-0.2205 0.2034
-0.1417 0.2009
-0.0630 0.2028
0.0157 0.2060
0.0945 0.2249
0.1732 0.2414
0.2520 0.2442
0.3307 0.2654
0.4094 0.2939
0.4882 0.3050
0.5669 0.3008
0.6457 0.3021
0.7244 0.3039
0.8031 0.2959
0.8819 0.2843
0.9606 0.2480
1.0394 0.2208
1.1181 0.2170
1.1969 0.2212
1.2756 0.2132
1.3543 0.2035
1.4331 0.2079
1.5118 0.2305
1.5906 0.2434
1.6693 0.2568
1.7480 0.2636
1.8268 0.2644
1.9055 0.2537
1.9843 0.2544
2.0630 0.2709
2.1417 0.2668
2.2205 0.2299
2.2992 0.2010
2.3780 0.1971
2.4567 0.2088
2.5354 0.2270
2.6142 0.2326
2.6929 0.2236
2.7717 0.2090
2.8504 0.2121
2.9291 0.2541
3.0079 0.3080
3.0866 0.3170
3.1654 0.2951
3.2441 0.2713
3.3228 0.2430
3.4016 0.2132
3.4803 0.1950
3.5591 0.1928
3.6378 0.1964
3.7165 0.1800
3.7953 0.1630
3.8740 0.1649
3.9528 0.1702
