# Y/D TKE
-4.0000 0.3240
-3.9213 0.3422
-3.8425 0.3572
-3.7638 0.3755
-3.6850 0.3768
-3.6063 0.3603
-3.5276 0.3480
-3.4488 0.3379
-3.3701 0.3087
-3.2913 0.2839
-3.2126 0.2833
-3.1339 0.3004
-3.0551 0.3001
-2.9764 0.2906
-2.8976 0.2711
-2.8189 0.2638
-2.7402 0.2581
-2.6614 0.2350
-2.5827 0.2195
-2.5039 0.2316
-2.4252 0.2672
-2.3465 0.3135
-2.2677 0.3648
-2.1890 0.3832
-2.1102 0.3640
-2.0315 0.3408
-1.9528 0.3049
-1.8740 0.2847
-1.7953 0.3045
-1.7165 0.3275
-1.6378 0.3151
-1.5591 0.3102
-1.4803 0.3482
-1.4016 0.3815
-1.3228 0.3880
-1.2441 0.3770
-1.1654 0.3326
-1.0866 0.2793
-1.0079 0.2521
-0.9291 0.2508
-0.8504 0.2696
-0.7717 0.2702
-0.6929 0.2513
-0.6142 0.2297
-0.5354 0.2260
-0.4567 0.2448
-0.3780 0.2668
-0.2992 0.2693
-0.2205 0.2736
-0.1417 0.2746
-0.0630 0.2631
0.0157 0.2522
0.0945 0.2392
0.1732 0.2334
0.2520 0.2414
0.3307 0.2487
0.4094 0.2680
0.4882 0.2919
0.5669 0.3037
0.6457 0.3087
0.7244 0.2963
0.8031 0.2672
0.8819 0.2388
0.9606 0.2155
1.0394 0.2117
1.1181 0.2092
1.1969 0.1969
1.2756 0.1918
1.3543 0.1870
1.4331 0.1737
1.5118 0.1866
1.5906 0.2009
1.6693 0.1761
1.7480 0.1664
1.8268 0.1723
1.9055 0.1794
1.9843 0.1899
2.0630 0.1954
2.1417 0.2020
2.2205 0.2093
2.2992 0.2092
2.3780 0.2120
2.4567 0.2270
2.5354 0.2115
2.6142 0.1879
2.6929 0.1894
2.7717 0.2000
2.8504 0.2253
2.9291 0.2370
3.0079 0.2240
3.0866 0.2214
3.1654 0.2413
3.2441 0.2629
3.3228 0.2557
3.4016 0.2439
3.4803 0.2332
3.5591 0.2307
3.6378 0.2369
3.7165 0.2385
3.7953 0.2328
3.8740 0.2232
3.9528 0.2301
