# Y/D U V W
-4.0000 6.6234 0.3693 -0.0932
-3.9213 6.7170 0.3651 -0.1027
-3.8425 6.8008 0.3748 -0.1032
-3.7638 6.8749 0.3974 -0.1000
-3.6850 6.9283 0.4180 -0.1034
-3.6063 6.9623 0.4313 -0.0881
-3.5276 6.9815 0.4388 -0.0532
-3.4488 6.9692 0.4425 -0.0270
-3.3701 6.9271 0.4455 -0.0274
-3.2913 6.8720 0.4507 -0.0480
-3.2126 6.8266 0.4552 -0.0588
-3.1339 6.7869 0.4546 -0.0566
-3.0551 6.7590 0.4516 -0.0536
-2.9764 6.7574 0.4495 -0.0563
-2.8976 6.7681 0.4502 -0.0600
-2.8189 6.7611 0.4609 -0.0556
-2.7402 6.7591 0.4820 -0.0503
-2.6614 6.7663 0.5023 -0.0477
-2.5827 6.7611 0.5152 -0.0432
-2.5039 6.7557 0.5174 -0.0402
-2.4252 6.7448 0.5111 -0.0250
-2.3465 6.7213 0.5014 -0.0068
-2.2677 6.6971 0.4925 -0.0062
-2.1890 6.6745 0.4884 -0.0034
-2.1102 6.6429 0.4878 0.0175
-2.0315 6.6206 0.4917 0.0316
-1.9528 6.5968 0.4993 0.0278
-1.8740 6.5632 0.5027 -0.0032
-1.7953 6.5373 0.5047 -0.0464
-1.7165 6.5409 0.5095 -0.0570
-1.6378 6.5339 0.5064 -0.0433
-1.5591 6.5215 0.4969 -0.0155
-1.4803 6.5091 0.4975 0.0310
-1.4016 6.5000 0.5107 0.0676
-1.3228 6.4929 0.5263 0.0749
-1.2441 6.5026 0.5404 0.0559
-1.1654 6.5249 0.5564 0.0179
-1.0866 6.5592 0.5713 -0.0164
-1.0079 6.5889 0.5781 -0.0338
-0.9291 6.5730 0.5676 -0.0331
-0.8504 6.5423 0.5386 -0.0174
-0.7717 6.4984 0.5108 -0.0041
-0.6929 6.4900 0.5008 -0.0045
-0.6142 6.5198 0.5057 -0.0079
-0.5354 6.5187 0.5165 0.0060
-0.4567 6.5036 0.5307 0.0332
-0.3780 6.4626 0.5570 0.0392
-0.2992 6.4119 0.5916 0.0138
-0.2205 6.3810 0.6075 -0.0127
-0.1417 6.3401 0.5978 -0.0164
-0.0630 6.3029 0.5806 -0.0074
0.0157 6.2970 0.5702 0.0121
0.0945 6.3226 0.5639 0.0276
0.1732 6.3385 0.5480 0.0386
0.2520 6.3322 0.5206 0.0352
0.3307 6.3120 0.4918 0.0284
0.4094 6.2681 0.4753 0.0329
0.4882 6.2334 0.4801 0.0436
0.5669 6.2317 0.4952 0.0542
0.6457 6.2268 0.5031 0.0413
0.7244 6.1867 0.4987 0.0118
0.8031 6.1620 0.4890 -0.0028
0.8819 6.1655 0.4891 -0.0115
0.9606 6.1911 0.5014 -0.0271
1.0394 6.2240 0.5177 -0.0461
1.1181 6.2558 0.5361 -0.0596
1.1969 6.2824 0.5521 -0.0745
1.2756 6.2886 0.5636 -0.0852
1.3543 6.2668 0.5634 -0.0757
1.4331 6.2243 0.5481 -0.0529
1.5118 6.1745 0.5275 -0.0172
1.5906 6.0927 0.5041 0.0262
1.6693 5.9599 0.4825 0.0667
1.7480 5.8442 0.4680 0.1027
1.8268 5.7589 0.4618 0.1500
1.9055 5.7112 0.4632 0.1759
1.9843 5.6874 0.4674 0.1420
2.0630 5.7000 0.4730 0.0986
2.1417 5.7284 0.4786 0.0726
2.2205 5.7362 0.4776 0.0617
2.2992 5.7144 0.4644 0.0435
2.3780 5.6872 0.4473 0.0165
2.4567 5.6689 0.4372 0.0010
2.5354 5.6445 0.4308 0.0038
2.6142 5.6224 0.4270 0.0205
2.6929 5.6126 0.4337 0.0512
2.7717 5.5848 0.4499 0.0708
2.8504 5.5519 0.4642 0.0704
2.9291 5.4834 0.4700 0.0758
3.0079 5.3783 0.4701 0.1126
3.0866 5.2978 0.4709 0.1463
3.1654 5.2801 0.4687 0.1300
3.2441 5.3106 0.4559 0.0902
3.3228 5.3507 0.4396 0.0567
3.4016 5.3823 0.4264 0.0218
3.4803 5.3855 0.4158 -0.0011
3.5591 5.4043 0.4094 0.0184
3.6378 5.4504 0.4097 0.0487
3.7165 5.4675 0.4158 0.0579
3.7953 5.4668 0.4281 0.0551
3.8740 5.4772 0.4370 0.0351
3.9528 5.4850 0.4270 -0.0008
