# Y/D U V W
-4.0000 6.2919 0.0838 -0.0839
-3.9213 6.3312 0.0783 -0.0728
-3.8425 6.3447 0.0636 -0.0926
-3.7638 6.3466 0.0551 -0.1050
-3.6850 6.3437 0.0641 -0.0940
-3.6063 6.3335 0.0863 -0.0893
-3.5276 6.3274 0.1036 -0.0952
-3.4488 6.3199 0.1096 -0.1049
-3.3701 6.3269 0.1141 -0.1336
-3.2913 6.3543 0.1262 -0.1531
-3.2126 6.3817 0.1468 -0.1558
-3.1339 6.4247 0.1685 -0.1669
-3.0551 6.4627 0.1823 -0.1846
-2.9764 6.4813 0.1930 -0.1893
-2.8976 6.5009 0.2089 -0.1897
-2.8189 6.5161 0.2193 -0.1866
-2.7402 6.5203 0.2158 -0.1833
-2.6614 6.5138 0.2116 -0.1824
-2.5827 6.4962 0.2191 -0.1815
-2.5039 6.4835 0.2359 -0.1741
-2.4252 6.4935 0.2528 -0.1502
-2.3465 6.5056 0.2600 -0.1345
-2.2677 6.5173 0.2628 -0.1133
-2.1890 6.5123 0.2690 -0.0768
-2.1102 6.4939 0.2791 -0.0550
-2.0315 6.4924 0.2925 -0.0331
-1.9528 6.4728 0.3063 -0.0315
-1.8740 6.4550 0.3241 -0.0505
-1.7953 6.4645 0.3457 -0.0596
-1.7165 6.4606 0.3671 -0.0665
-1.6378 6.4391 0.3946 -0.0851
-1.5591 6.4152 0.4225 -0.1017
-1.4803 6.3880 0.4422 -0.1062
-1.4016 6.3446 0.4574 -0.0978
-1.3228 6.3260 0.4679 -0.0719
-1.2441 6.3430 0.4706 -0.0461
-1.1654 6.3322 0.4636 -0.0312
-1.0866 6.2682 0.4521 0.0205
-1.0079 6.1733 0.4387 0.1180
-0.9291 6.0815 0.4115 0.2019
-0.8504 6.0093 0.3735 0.2445
-0.7717 5.9911 0.3514 0.2232
-0.6929 6.0493 0.3571 0.1746
-0.6142 6.1086 0.3715 0.1234
-0.5354 6.1473 0.3748 0.0759
-0.4567 6.1825 0.3633 0.0698
-0.3780 6.1900 0.3422 0.0609
-0.2992 6.1837 0.3249 0.0330
-0.2205 6.1815 0.3191 0.0092
-0.1417 6.1881 0.3210 0.0116
-0.0630 6.2043 0.3232 0.0374
0.0157 6.2093 0.3248 0.0837
0.0945 6.2077 0.3281 0.1266
0.1732 6.2174 0.3383 0.1415
0.2520 6.2624 0.3599 0.1422
0.3307 6.3228 0.3835 0.0959
0.4094 6.3836 0.3996 0.0426
0.4882 6.4407 0.4089 0.0194
0.5669 6.4998 0.4156 -0.0164
0.6457 6.5657 0.4138 -0.0668
0.7244 6.6108 0.4043 -0.0883
0.8031 6.6331 0.3966 -0.0994
0.8819 6.6506 0.3911 -0.1315
0.9606 6.6694 0.3961 -0.1461
1.0394 6.6749 0.4213 -0.1354
1.1181 6.6497 0.4547 -0.1313
1.1969 6.6162 0.4769 -0.1301
1.2756 6.6055 0.4847 -0.1186
1.3543 6.6132 0.4890 -0.1138
1.4331 6.6201 0.4992 -0.1156
1.5118 6.6171 0.5106 -0.1268
1.5906 6.6005 0.5179 -0.1415
1.6693 6.5663 0.5282 -0.1503
1.7480 6.5365 0.5471 -0.1533
1.8268 6.5438 0.5722 -0.1464
1.9055 6.5787 0.5993 -0.1370
1.9843 6.6037 0.6194 -0.1332
2.0630 6.6101 0.6258 -0.1318
2.1417 6.6081 0.6224 -0.1326
2.2205 6.5786 0.6160 -0.1452
2.2992 6.5425 0.6146 -0.1654
2.3780 6.5222 0.6185 -0.1677
2.4567 6.4829 0.6209 -0.1547
2.5354 6.4260 0.6252 -0.1402
2.6142 6.3631 0.6335 -0.1261
2.6929 6.3174 0.6381 -0.1144
2.7717 6.3097 0.6411 -0.1085
2.8504 6.3396 0.6502 -0.1085
2.9291 6.3585 0.6731 -0.0990
3.0079 6.3479 0.7135 -0.0743
3.0866 6.3516 0.7573 -0.0559
3.1654 6.3786 0.7907 -0.0660
3.2441 6.4019 0.8176 -0.0959
3.3228 6.4233 0.8461 -0.1218
3.4016 6.4553 0.8778 -0.1356
3.4803 6.4982 0.9086 -0.1430
3.5591 6.5401 0.9318 -0.1522
3.6378 6.5665 0.9439 -0.1678
3.7165 6.5736 0.9487 -0.1841
3.7953 6.5588 0.9515 -0.1874
3.8740 6.5283 0.9551 -0.1776
3.9528 6.5040 0.9622 -0.1653
