# Y/D TKE
-4.0000 0.2104
-3.9213 0.1937
-3.8425 0.1926
-3.7638 0.1960
-3.6850 0.2061
-3.6063 0.2169
-3.5276 0.2102
-3.4488 0.1913
-3.3701 0.1800
-3.2913 0.1714
-3.2126 0.1661
-3.1339 0.1615
-3.0551 0.1593
-2.9764 0.1596
-2.8976 0.1555
-2.8189 0.1587
-2.7402 0.1613
-2.6614 0.1610
-2.5827 0.1632
-2.5039 0.1572
-2.4252 0.1548
-2.3465 0.1687
-2.2677 0.1756
-2.1890 0.1734
-2.1102 0.1942
-2.0315 0.2450
-1.9528 0.2911
-1.8740 0.3158
-1.7953 0.3401
-1.7165 0.3652
-1.6378 0.4089
-1.5591 0.4468
-1.4803 0.4253
-1.4016 0.3800
-1.3228 0.3997
-1.2441 0.4269
-1.1654 0.4065
-1.0866 0.3620
-1.0079 0.3189
-0.9291 0.2912
-0.8504 0.2907
-0.7717 0.3072
-0.6929 0.3269
-0.6142 0.3478
-0.5354 0.3623
-0.4567 0.3590
-0.3780 0.3714
-0.2992 0.3651
-0.2205 0.3665
-0.1417 0.3786
-0.0630 0.3560
0.0157 0.2891
0.0945 0.2505
0.1732 0.2367
0.2520 0.2237
0.3307 0.2113
0.4094 0.2116
0.4882 0.2040
0.5669 0.1923
0.6457 0.1961
0.7244 0.2162
0.8031 0.2356
0.8819 0.2514
0.9606 0.2649
1.0394 0.3229
1.1181 0.3561
1.1969 0.3518
1.2756 0.3290
1.3543 0.2993
1.4331 0.2632
1.5118 0.2650
1.5906 0.2969
1.6693 0.3065
1.7480 0.3002
1.8268 0.2902
1.9055 0.2592
1.9843 0.2226
2.0630 0.2010
2.1417 0.1939
2.2205 0.1984
2.2992 0.2127
2.3780 0.2235
2.4567 0.2141
2.5354 0.1995
2.6142 0.1846
2.6929 0.1597
2.7717 0.1428
2.8504 0.1363
2.9291 0.1366
3.0079 0.1425
3.0866 0.1424
3.1654 0.1476
3.2441 0.1616
3.3228 0.1741
3.4016 0.1760
3.4803 0.1689
3.5591 0.1686
3.6378 0.1672
3.7165 0.1639
3.7953 0.1732
3.8740 0.1915
3.9528 0.1906
