# Y/D TKE
-4.0000 0.3637
-3.9213 0.3462
-3.8425 0.3547
-3.7638 0.3464
-3.6850 0.3497
-3.6063 0.3542
-3.5276 0.3419
-3.4488 0.3283
-3.3701 0.3185
-3.2913 0.3091
-3.2126 0.3011
-3.1339 0.2895
-3.0551 0.2820
-2.9764 0.2866
-2.8976 0.2990
-2.8189 0.3164
-2.7402 0.3260
-2.6614 0.3047
-2.5827 0.2790
-2.5039 0.2620
-2.4252 0.2560
-2.3465 0.2564
-2.2677 0.2534
-2.1890 0.2612
-2.1102 0.2799
-2.0315 0.2844
-1.9528 0.2852
-1.8740 0.3103
-1.7953 0.3320
-1.7165 0.3286
-1.6378 0.3006
-1.5591 0.2859
-1.4803 0.2837
-1.4016 0.2900
-1.3228 0.2985
-1.2441 0.2972
-1.1654 0.2889
-1.0866 0.2825
-1.0079 0.2792
-0.9291 0.2749
-0.8504 0.2691
-0.7717 0.2553
-0.6929 0.2463
-0.6142 0.2677
-0.5354 0.3224
-0.4567 0.3652
-0.3780 0.3794
-0.2992 0.3903
-0.2205 0.3997
-0.1417 0.4263
-0.0630 0.4646
0.0157 0.4961
0.0945 0.5044
0.1732 0.5279
0.2520 0.5372
0.3307 0.5601
0.4094 0.5571
0.4882 0.5372
0.5669 0.5281
0.6457 0.5249
0.7244 0.5108
0.8031 0.5116
0.8819 0.5079
0.9606 0.4735
1.0394 0.4580
1.1181 0.4541
1.1969 0.4678
1.2756 0.4881
1.3543 0.4997
1.4331 0.5244
1.5118 0.5150
1.5906 0.4952
1.6693 0.4631
1.7480 0.4235
1.8268 0.3802
1.9055 0.3450
1.9843 0.3357
2.0630 0.3241
2.1417 0.2799
2.2205 0.2390
2.2992 0.2212
2.3780 0.2187
2.4567 0.2184
2.5354 0.2126
2.6142 0.2288
2.6929 0.2544
2.7717 0.2703
2.8504 0.2720
2.9291 0.2634
3.0079 0.2528
3.0866 0.2342
3.1654 0.2172
3.2441 0.2038
3.3228 0.2067
3.4016 0.2280
3.4803 0.2528
3.5591 0.2684
3.6378 0.2664
3.7165 0.2544
3.7953 0.2528
3.8740 0.2618
3.9528 0.2741
