# Y/D U V W
-4.0000 6.3924 0.1073 -0.0991
-3.9213 6.3939 0.1056 -0.0780
-3.8425 6.3920 0.1082 -0.0596
-3.7638 6.4032 0.1118 -0.0690
-3.6850 6.4279 0.1176 -0.1031
-3.6063 6.4713 0.1321 -0.1341
-3.5276 6.5157 0.1536 -0.1427
-3.4488 6.5441 0.1725 -0.1311
-3.3701 6.5652 0.1829 -0.1296
-3.2913 6.5724 0.1879 -0.1337
-3.2126 6.5867 0.1943 -0.1173
-3.1339 6.6099 0.2018 -0.0943
-3.0551 6.6151 0.2040 -0.0940
-2.9764 6.6122 0.2020 -0.1076
-2.8976 6.6141 0.2019 -0.1225
-2.8189 6.6370 0.2048 -0.1533
-2.7402 6.6715 0.2104 -0.1820
-2.6614 6.6927 0.2173 -0.1850
-2.5827 6.6814 0.2194 -0.1667
-2.5039 6.6612 0.2202 -0.1489
-2.4252 6.6564 0.2299 -0.1347
-2.3465 6.6494 0.2483 -0.1253
-2.2677 6.6252 0.2648 -0.1352
-2.1890 6.6023 0.2640 -0.1476
-2.1102 6.5734 0.2510 -0.1496
-2.0315 6.5560 0.2430 -0.1494
-1.9528 6.5218 0.2463 -0.1400
-1.8740 6.4559 0.2617 -0.1425
-1.7953 6.3942 0.2838 -0.1226
-1.7165 6.3604 0.3047 -0.0831
-1.6378 6.3648 0.3199 -0.0210
-1.5591 6.3493 0.3336 0.0456
-1.4803 6.3187 0.3511 0.0702
-1.4016 6.2946 0.3617 0.0599
-1.3228 6.2817 0.3700 0.0592
-1.2441 6.3029 0.3930 0.0377
-1.1654 6.3420 0.4294 -0.0169
-1.0866 6.3758 0.4642 -0.0855
-1.0079 6.3907 0.4796 -0.1196
-0.9291 6.3926 0.4760 -0.1234
-0.8504 6.3915 0.4687 -0.1087
-0.7717 6.3722 0.4667 -0.0647
-0.6929 6.3406 0.4673 -0.0335
-0.6142 6.3033 0.4645 -0.0112
-0.5354 6.2741 0.4541 0.0126
-0.4567 6.2925 0.4476 0.0272
-0.3780 6.3451 0.4568 0.0126
-0.2992 6.4244 0.4739 -0.0046
-0.2205 6.5274 0.4841 -0.0126
-0.1417 6.5967 0.4861 -0.0208
-0.0630 6.6321 0.4858 -0.0391
0.0157 6.6513 0.4821 -0.0655
0.0945 6.6532 0.4796 -0.0871
0.1732 6.6534 0.4796 -0.0942
0.2520 6.6675 0.4771 -0.0882
0.3307 6.6818 0.4739 -0.0733
0.4094 6.6884 0.4709 -0.0647
0.4882 6.6796 0.4627 -0.0643
0.5669 6.6664 0.4532 -0.0661
0.6457 6.6530 0.4538 -0.0638
0.7244 6.6309 0.4642 -0.0476
0.8031 6.6200 0.4737 -0.0492
0.8819 6.5874 0.4719 -0.0509
0.9606 6.5374 0.4554 -0.0377
1.0394 6.4838 0.4366 -0.0291
1.1181 6.4270 0.4342 -0.0097
1.1969 6.4238 0.4559 0.0223
1.2756 6.4696 0.4931 0.0269
1.3543 6.4922 0.5274 0.0044
1.4331 6.4575 0.5520 0.0070
1.5118 6.4132 0.5779 -0.0021
1.5906 6.4120 0.6033 -0.0679
1.6693 6.4405 0.6108 -0.1316
1.7480 6.4723 0.6058 -0.1507
1.8268 6.5042 0.6043 -0.1529
1.9055 6.5310 0.6049 -0.1638
1.9843 6.5432 0.6055 -0.1603
2.0630 6.5382 0.6134 -0.1404
2.1417 6.5219 0.6316 -0.1189
2.2205 6.5152 0.6563 -0.1097
2.2992 6.5242 0.6810 -0.1235
2.3780 6.5349 0.7029 -0.1502
2.4567 6.5433 0.7203 -0.1787
2.5354 6.5436 0.7299 -0.1945
2.6142 6.5382 0.7318 -0.1930
2.6929 6.5372 0.7315 -0.1842
2.7717 6.5445 0.7344 -0.1776
2.8504 6.5427 0.7421 -0.1761
2.9291 6.5156 0.7550 -0.1704
3.0079 6.4897 0.7727 -0.1531
3.0866 6.4796 0.7876 -0.1274
3.1654 6.4713 0.7938 -0.1048
3.2441 6.4733 0.7975 -0.0912
3.3228 6.4775 0.8038 -0.0839
3.4016 6.4605 0.8132 -0.0833
3.4803 6.4334 0.8266 -0.0862
3.5591 6.4213 0.8402 -0.0935
3.6378 6.4060 0.8471 -0.0985
3.7165 6.3598 0.8512 -0.0893
3.7953 6.3209 0.8685 -0.0840
3.8740 6.3142 0.8980 -0.0961
3.9528 6.3078 0.9191 -0.1142
