# Y/D U V W
-4.0000 6.2859 0.1715 -0.0158
-3.9213 6.3253 0.1659 -0.0526
-3.8425 6.3516 0.1654 -0.0804
-3.7638 6.3492 0.1715 -0.0938
-3.6850 6.3421 0.1834 -0.0855
-3.6063 6.3387 0.1954 -0.0772
-3.5276 6.3603 0.2086 -0.0905
-3.4488 6.4023 0.2262 -0.1351
-3.3701 6.4392 0.2426 -0.1641
-3.2913 6.4681 0.2543 -0.1646
-3.2126 6.5111 0.2642 -0.1614
-3.1339 6.5561 0.2766 -0.1532
-3.0551 6.5750 0.2910 -0.1495
-2.9764 6.5766 0.2979 -0.1532
-2.8976 6.5703 0.2978 -0.1518
-2.8189 6.5692 0.3008 -0.1462
-2.7402 6.5838 0.3020 -0.1446
-2.6614 6.6053 0.3009 -0.1557
-2.5827 6.6111 0.3007 -0.1833
-2.5039 6.5999 0.3007 -0.2073
-2.4252 6.5815 0.3011 -0.2224
-2.3465 6.5472 0.2946 -0.2296
-2.2677 6.5153 0.2845 -0.2279
-2.1890 6.5002 0.2831 -0.2283
-2.1102 6.4683 0.2895 -0.2411
-2.0315 6.4137 0.2971 -0.2322
-1.9528 6.3574 0.3069 -0.1946
-1.8740 6.3312 0.3156 -0.1472
-1.7953 6.3256 0.3261 -0.1041
-1.7165 6.2987 0.3476 -0.0769
-1.6378 6.2861 0.3748 -0.0609
-1.5591 6.2857 0.3978 -0.0515
-1.4803 6.3010 0.4182 -0.0611
-1.4016 6.3212 0.4443 -0.0566
-1.3228 6.3229 0.4702 -0.0237
-1.2441 6.3116 0.4790 0.0254
-1.1654 6.2915 0.4719 0.0702
-1.0866 6.2773 0.4630 0.0856
-1.0079 6.2896 0.4589 0.0864
-0.9291 6.2838 0.4566 0.0876
-0.8504 6.2524 0.4592 0.1026
-0.7717 6.2114 0.4714 0.1338
-0.6929 6.1741 0.4854 0.1524
-0.6142 6.1564 0.4978 0.1633
-0.5354 6.1582 0.5170 0.1847
-0.4567 6.1226 0.5363 0.1982
-0.3780 6.1060 0.5376 0.1798
-0.2992 6.1194 0.5270 0.1600
-0.2205 6.0969 0.5240 0.1459
-0.1417 6.0326 0.5256 0.1176
-0.0630 5.9390 0.5118 0.0868
0.0157 5.8374 0.4816 0.0649
0.0945 5.7934 0.4555 0.0412
0.1732 5.8180 0.4532 0.0295
0.2520 5.8432 0.4639 0.0474
0.3307 5.8309 0.4658 0.0759
0.4094 5.8141 0.4589 0.0983
0.4882 5.7923 0.4507 0.1092
0.5669 5.7599 0.4408 0.0726
0.6457 5.7525 0.4311 -0.0174
0.7244 5.8121 0.4227 -0.1210
0.8031 5.8639 0.4111 -0.1734
0.8819 5.8825 0.3944 -0.1729
0.9606 5.9166 0.3761 -0.1567
1.0394 5.9376 0.3611 -0.1514
1.1181 5.9357 0.3465 -0.1298
1.1969 5.9409 0.3332 -0.1097
1.2756 5.9646 0.3277 -0.1249
1.3543 5.9971 0.3388 -0.1564
1.4331 6.0315 0.3703 -0.1874
1.5118 6.0549 0.4174 -0.2104
1.5906 6.0498 0.4659 -0.2179
1.6693 6.0355 0.5002 -0.2250
1.7480 6.0574 0.5201 -0.2420
1.8268 6.0944 0.5254 -0.2558
1.9055 6.0977 0.5151 -0.2350
1.9843 6.0811 0.5018 -0.2118
2.0630 6.0695 0.4931 -0.1950
2.1417 6.0655 0.4872 -0.1657
2.2205 6.0598 0.4944 -0.1408
2.2992 6.0552 0.5168 -0.1300
2.3780 6.0461 0.5383 -0.1229
2.4567 6.0240 0.5532 -0.0950
2.5354 6.0011 0.5633 -0.0576
2.6142 6.0099 0.5747 -0.0379
2.6929 6.0204 0.5916 -0.0293
2.7717 5.9998 0.6095 -0.0303
2.8504 5.9932 0.6284 -0.0429
2.9291 6.0167 0.6477 -0.0436
3.0079 6.0442 0.6694 -0.0366
3.0866 6.0771 0.6974 -0.0468
3.1654 6.1066 0.7195 -0.0711
3.2441 6.1287 0.7270 -0.0968
3.3228 6.1534 0.7293 -0.1091
3.4016 6.2015 0.7339 -0.1216
3.4803 6.2602 0.7338 -0.1448
3.5591 6.2925 0.7220 -0.1615
3.6378 6.2898 0.7062 -0.1573
3.7165 6.2688 0.6990 -0.1255
3.7953 6.2668 0.7047 -0.0948
3.8740 6.2820 0.7241 -0.0856
3.9528 6.3057 0.7556 -0.0954
