# Y/D TKE
-4.0000 0.3642
-3.9213 0.3582
-3.8425 0.3551
-3.7638 0.3315
-3.6850 0.3140
-3.6063 0.3327
-3.5276 0.3581
-3.4488 0.3412
-3.3701 0.3003
-3.2913 0.2765
-3.2126 0.2663
-3.1339 0.2710
-3.0551 0.2897
-2.9764 0.3437
-2.8976 0.3987
-2.8189 0.4176
-2.7402 0.4088
-2.6614 0.3418
-2.5827 0.2707
-2.5039 0.2249
-2.4252 0.1922
-2.3465 0.1600
-2.2677 0.1351
-2.1890 0.1192
-2.1102 0.1128
-2.0315 0.1166
-1.9528 0.1218
-1.8740 0.1226
-1.7953 0.1200
-1.7165 0.1249
-1.6378 0.1416
-1.5591 0.1627
-1.4803 0.1753
-1.4016 0.1819
-1.3228 0.1780
-1.2441 0.1667
-1.1654 0.1673
-1.0866 0.1891
-1.0079 0.2079
-0.9291 0.2125
-0.8504 0.2068
-0.7717 0.1937
-0.6929 0.1871
-0.6142 0.1854
-0.5354 0.1899
-0.4567 0.1822
-0.3780 0.1644
-0.2992 0.1430
-0.2205 0.1227
-0.1417 0.1066
-0.0630 0.0950
0.0157 0.0882
0.0945 0.0899
0.1732 0.1016
0.2520 0.1123
0.3307 0.1154
0.4094 0.1191
0.4882 0.1251
0.5669 0.1411
0.6457 0.1508
0.7244 0.1476
0.8031 0.1474
0.8819 0.1492
0.9606 0.1386
1.0394 0.1263
1.1181 0.1169
1.1969 0.1139
1.2756 0.1151
1.3543 0.1112
1.4331 0.1079
1.5118 0.1101
1.5906 0.1195
1.6693 0.1279
1.7480 0.1418
1.8268 0.1641
1.9055 0.1720
1.9843 0.1586
2.0630 0.1474
2.1417 0.1398
2.2205 0.1390
2.2992 0.1469
2.3780 0.1555
2.4567 0.1660
2.5354 0.1731
2.6142 0.1708
2.6929 0.1711
2.7717 0.1793
2.8504 0.1905
2.9291 0.1987
3.0079 0.2101
3.0866 0.2468
3.1654 0.2725
3.2441 0.2781
3.3228 0.2705
3.4016 0.2458
3.4803 0.2291
3.5591 0.2303
3.6378 0.2423
3.7165 0.2633
3.7953 0.3335
3.8740 0.4266
3.9528 0.5037
