# Y/D TKE
-4.0000 0.4873
-3.9213 0.4246
-3.8425 0.3689
-3.7638 0.3305
-3.6850 0.2953
-3.6063 0.2791
-3.5276 0.2784
-3.4488 0.3036
-3.3701 0.2958
-3.2913 0.2771
-3.2126 0.2772
-3.1339 0.2793
-3.0551 0.2814
-2.9764 0.2759
-2.8976 0.2684
-2.8189 0.2580
-2.7402 0.2528
-2.6614 0.2311
-2.5827 0.2138
-2.5039 0.2163
-2.4252 0.2267
-2.3465 0.2139
-2.2677 0.1894
-2.1890 0.1656
-2.1102 0.1523
-2.0315 0.1450
-1.9528 0.1435
-1.8740 0.1513
-1.7953 0.1627
-1.7165 0.1756
-1.6378 0.1930
-1.5591 0.1902
-1.4803 0.1822
-1.4016 0.1866
-1.3228 0.1894
-1.2441 0.1812
-1.1654 0.1646
-1.0866 0.1541
-1.0079 0.1526
-0.9291 0.1653
-0.8504 0.1747
-0.7717 0.1928
-0.6929 0.2288
-0.6142 0.2720
-0.5354 0.3453
-0.4567 0.4381
-0.3780 0.5189
-0.2992 0.5617
-0.2205 0.6517
-0.1417 0.7157
-0.0630 0.7344
0.0157 0.7114
0.0945 0.7224
0.1732 0.7115
0.2520 0.6435
0.3307 0.5353
0.4094 0.5164
0.4882 0.5640
0.5669 0.5816
0.6457 0.5922
0.7244 0.6771
0.8031 0.7035
0.8819 0.6709
0.9606 0.6481
1.0394 0.6300
1.1181 0.5670
1.1969 0.4715
1.2756 0.3596
1.3543 0.2687
1.4331 0.2062
1.5118 0.1675
1.5906 0.1435
1.6693 0.1381
1.7480 0.1549
1.8268 0.1735
1.9055 0.1869
1.9843 0.1960
2.0630 0.1915
2.1417 0.1825
2.2205 0.1740
2.2992 0.1668
2.3780 0.1472
2.4567 0.1307
2.5354 0.1301
2.6142 0.1274
2.6929 0.1267
2.7717 0.1344
2.8504 0.1328
2.9291 0.1310
3.0079 0.1404
3.0866 0.1492
3.1654 0.1508
3.2441 0.1526
3.3228 0.1522
3.4016 0.1476
3.4803 0.1522
3.5591 0.1767
3.6378 0.1963
3.7165 0.2117
3.7953 0.2178
3.8740 0.2065
3.9528 0.2003
