# Y/D U V W
-4.0000 6.1355 -0.0404 -0.1575
-3.9213 6.1508 -0.0525 -0.1756
-3.8425 6.1531 -0.0739 -0.1747
-3.7638 6.1725 -0.0941 -0.1589
-3.6850 6.1972 -0.1067 -0.1339
-3.6063 6.2008 -0.1058 -0.1050
-3.5276 6.2025 -0.0910 -0.0807
-3.4488 6.2073 -0.0715 -0.0626
-3.3701 6.2157 -0.0552 -0.0437
-3.2913 6.2222 -0.0376 -0.0173
-3.2126 6.2255 -0.0065 -0.0055
-3.1339 6.2163 0.0320 -0.0082
-3.0551 6.2065 0.0574 -0.0171
-2.9764 6.2355 0.0717 -0.0541
-2.8976 6.2751 0.0835 -0.0824
-2.8189 6.2733 0.0865 -0.0866
-2.7402 6.2503 0.0830 -0.0927
-2.6614 6.2448 0.0838 -0.0900
-2.5827 6.2506 0.0976 -0.0562
-2.5039 6.2547 0.1217 -0.0465
-2.4252 6.2695 0.1437 -0.0795
-2.3465 6.2976 0.1585 -0.1189
-2.2677 6.3440 0.1670 -0.1370
-2.1890 6.3814 0.1692 -0.1412
-2.1102 6.3932 0.1676 -0.1452
-2.0315 6.3844 0.1668 -0.1667
-1.9528 6.3914 0.1678 -0.1864
-1.8740 6.4024 0.1696 -0.1807
-1.7953 6.3922 0.1688 -0.1562
-1.7165 6.3690 0.1665 -0.1252
-1.6378 6.3666 0.1738 -0.1009
-1.5591 6.3688 0.1935 -0.1064
-1.4803 6.3274 0.2161 -0.1309
-1.4016 6.2907 0.2328 -0.1528
-1.3228 6.2804 0.2435 -0.1587
-1.2441 6.2921 0.2530 -0.1414
-1.1654 6.2876 0.2592 -0.1274
-1.0866 6.2489 0.2590 -0.1143
-1.0079 6.2121 0.2566 -0.0914
-0.9291 6.1913 0.2625 -0.0687
-0.8504 6.1968 0.2864 -0.0518
-0.7717 6.2291 0.3255 -0.0693
-0.6929 6.2688 0.3653 -0.1023
-0.6142 6.2959 0.3931 -0.1311
-0.5354 6.3130 0.4067 -0.1474
-0.4567 6.3182 0.4090 -0.1423
-0.3780 6.2890 0.4045 -0.1364
-0.2992 6.2388 0.4015 -0.1409
-0.2205 6.1963 0.4012 -0.1421
-0.1417 6.1638 0.4025 -0.1399
-0.0630 6.1303 0.4101 -0.1524
0.0157 6.1047 0.4184 -0.1700
0.0945 6.0877 0.4161 -0.1733
0.1732 6.0206 0.4066 -0.1535
0.2520 5.9138 0.4003 -0.1060
0.3307 5.8144 0.3934 -0.0800
0.4094 5.7155 0.3804 -0.0726
0.4882 5.6278 0.3681 -0.0879
0.5669 5.5772 0.3593 -0.0822
0.6457 5.5110 0.3575 -0.0348
0.7244 5.4199 0.3752 0.0146
0.8031 5.3432 0.4095 0.0279
0.8819 5.3138 0.4429 0.0095
0.9606 5.3174 0.4665 -0.0165
1.0394 5.3317 0.4860 -0.0461
1.1181 5.3639 0.5068 -0.0808
1.1969 5.3946 0.5311 -0.1153
1.2756 5.3883 0.5542 -0.1442
1.3543 5.3677 0.5650 -0.1523
1.4331 5.3398 0.5746 -0.1177
1.5118 5.3088 0.5972 -0.0532
1.5906 5.3075 0.6189 -0.0163
1.6693 5.3424 0.6307 -0.0415
1.7480 5.3741 0.6390 -0.0937
1.8268 5.3789 0.6456 -0.1392
1.9055 5.3983 0.6506 -0.1705
1.9843 5.4502 0.6524 -0.1708
2.0630 5.5146 0.6506 -0.1363
2.1417 5.5654 0.6511 -0.1182
2.2205 5.5969 0.6569 -0.1245
2.2992 5.6436 0.6625 -0.1146
2.3780 5.7162 0.6649 -0.1058
2.4567 5.7877 0.6616 -0.1239
2.5354 5.8524 0.6499 -0.1567
2.6142 5.9146 0.6338 -0.1799
2.6929 5.9561 0.6173 -0.1768
2.7717 5.9779 0.6006 -0.1448
2.8504 5.9970 0.5923 -0.0861
2.9291 5.9948 0.5991 -0.0169
3.0079 5.9679 0.6133 0.0237
3.0866 5.9327 0.6281 0.0336
3.1654 5.9058 0.6425 0.0404
3.2441 5.8883 0.6495 0.0435
3.3228 5.8708 0.6478 0.0517
3.4016 5.8456 0.6460 0.0847
3.4803 5.7977 0.6488 0.1096
3.5591 5.7373 0.6613 0.1320
3.6378 5.6769 0.6823 0.1815
3.7165 5.6180 0.7008 0.2261
3.7953 5.5860 0.7075 0.2278
3.8740 5.5655 0.7069 0.1899
3.9528 5.5767 0.7167 0.1541
