# Y/D TKE
-4.0000 0.3638
-3.9213 0.3585
-3.8425 0.3553
-3.7638 0.3325
-3.6850 0.3137
-3.6063 0.3318
-3.5276 0.3580
-3.4488 0.3427
-3.3701 0.3012
-3.2913 0.2769
-3.2126 0.2661
-3.1339 0.2702
-3.0551 0.2882
-2.9764 0.3376
-2.8976 0.3955
-2.8189 0.4167
-2.7402 0.4112
-2.6614 0.3450
-2.5827 0.2730
-2.5039 0.2267
-2.4252 0.1940
-2.3465 0.1617
-2.2677 0.1363
-2.1890 0.1198
-2.1102 0.1129
-2.0315 0.1162
-1.9528 0.1213
-1.8740 0.1224
-1.7953 0.1197
-1.7165 0.1242
-1.6378 0.1396
-1.5591 0.1612
-1.4803 0.1743
-1.4016 0.1813
-1.3228 0.1781
-1.2441 0.1674
-1.1654 0.1670
-1.0866 0.1880
-1.0079 0.2067
-0.9291 0.2116
-0.8504 0.2059
-0.7717 0.1915
-0.6929 0.1843
-0.6142 0.1824
-0.5354 0.1874
-0.4567 0.1810
-0.3780 0.1637
-0.2992 0.1429
-0.2205 0.1230
-0.1417 0.1071
-0.0630 0.0954
0.0157 0.0884
0.0945 0.0901
0.1732 0.1020
0.2520 0.1127
0.3307 0.1156
0.4094 0.1193
0.4882 0.1251
0.5669 0.1406
0.6457 0.1498
0.7244 0.1467
0.8031 0.1470
0.8819 0.1479
0.9606 0.1368
1.0394 0.1252
1.1181 0.1161
1.1969 0.1137
1.2756 0.1148
1.3543 0.1105
1.4331 0.1084
1.5118 0.1111
1.5906 0.1206
1.6693 0.1289
1.7480 0.1427
1.8268 0.1648
1.9055 0.1714
1.9843 0.1573
2.0630 0.1467
2.1417 0.1395
2.2205 0.1392
2.2992 0.1474
2.3780 0.1561
2.4567 0.1666
2.5354 0.1731
2.6142 0.1705
2.6929 0.1713
2.7717 0.1797
2.8504 0.1909
2.9291 0.1990
3.0079 0.2115
3.0866 0.2485
3.1654 0.2731
3.2441 0.2786
3.3228 0.2702
3.4016 0.2449
3.4803 0.2291
3.5591 0.2307
3.6378 0.2427
3.7165 0.2662
3.7953 0.3382
3.8740 0.4310
3.9528 0.5062
