# Y/D TKE
-4.0000 0.2578
-3.9213 0.2610
-3.8425 0.2732
-3.7638 0.2867
-3.6850 0.3051
-3.6063 0.3206
-3.5276 0.3117
-3.4488 0.2908
-3.3701 0.2644
-3.2913 0.2533
-3.2126 0.2577
-3.1339 0.2585
-3.0551 0.2602
-2.9764 0.2696
-2.8976 0.2846
-2.8189 0.2979
-2.7402 0.3225
-2.6614 0.3441
-2.5827 0.3299
-2.5039 0.2972
-2.4252 0.2627
-2.3465 0.2361
-2.2677 0.2178
-2.1890 0.2127
-2.1102 0.2052
-2.0315 0.1809
-1.9528 0.1672
-1.8740 0.1665
-1.7953 0.1715
-1.7165 0.1718
-1.6378 0.1870
-1.5591 0.2004
-1.4803 0.1996
-1.4016 0.2046
-1.3228 0.2241
-1.2441 0.2635
-1.1654 0.2951
-1.0866 0.3044
-1.0079 0.2907
-0.9291 0.2761
-0.8504 0.2746
-0.7717 0.2599
-0.6929 0.2381
-0.6142 0.2191
-0.5354 0.2025
-0.4567 0.1924
-0.3780 0.1795
-0.2992 0.1633
-0.2205 0.1533
-0.1417 0.1559
-0.0630 0.1622
0.0157 0.1627
0.0945 0.1648
0.1732 0.1679
0.2520 0.1686
0.3307 0.1658
0.4094 0.1641
0.4882 0.1704
0.5669 0.1795
0.6457 0.1727
0.7244 0.1690
0.8031 0.1697
0.8819 0.1878
0.9606 0.2147
1.0394 0.2333
1.1181 0.2283
1.1969 0.2123
1.2756 0.1855
1.3543 0.1511
1.4331 0.1243
1.5118 0.1116
1.5906 0.0994
1.6693 0.0961
1.7480 0.1001
1.8268 0.1061
1.9055 0.1159
1.9843 0.1301
2.0630 0.1504
2.1417 0.1723
2.2205 0.2000
2.2992 0.2151
2.3780 0.2240
2.4567 0.2448
2.5354 0.2536
2.6142 0.2299
2.6929 0.2137
2.7717 0.2076
2.8504 0.2021
2.9291 0.2082
3.0079 0.2298
3.0866 0.2509
3.1654 0.2668
3.2441 0.2879
3.3228 0.3112
3.4016 0.3263
3.4803 0.3209
3.5591 0.3008
3.6378 0.2838
3.7165 0.2732
3.7953 0.2709
3.8740 0.2681
3.9528 0.2599
