# Y/D U V W
-4.0000 5.7469 -0.1408 0.1780
-3.9213 5.7067 -0.1131 0.1822
-3.8425 5.7391 -0.0949 0.1960
-3.7638 5.8309 -0.0784 0.1983
-3.6850 5.8900 -0.0584 0.1657
-3.6063 5.9369 -0.0400 0.1027
-3.5276 5.9845 -0.0279 0.0263
-3.4488 6.0283 -0.0216 -0.0149
-3.3701 6.0652 -0.0164 -0.0301
-3.2913 6.1095 -0.0153 -0.0347
-3.2126 6.1793 -0.0143 -0.0387
-3.1339 6.2345 -0.0131 -0.0328
-3.0551 6.2707 -0.0219 -0.0194
-2.9764 6.2640 -0.0299 -0.0091
-2.8976 6.2547 -0.0226 -0.0329
-2.8189 6.2772 -0.0105 -0.0839
-2.7402 6.2858 -0.0049 -0.1133
-2.6614 6.2674 -0.0043 -0.1035
-2.5827 6.2613 -0.0062 -0.0711
-2.5039 6.2947 -0.0035 -0.0522
-2.4252 6.3411 0.0107 -0.0691
-2.3465 6.3584 0.0310 -0.1081
-2.2677 6.3644 0.0509 -0.1373
-2.1890 6.3872 0.0672 -0.1514
-2.1102 6.4153 0.0824 -0.1710
-2.0315 6.4226 0.1008 -0.1637
-1.9528 6.4096 0.1121 -0.1502
-1.8740 6.3688 0.1106 -0.1418
-1.7953 6.3089 0.1093 -0.1154
-1.7165 6.2636 0.1159 -0.0876
-1.6378 6.2306 0.1267 -0.0609
-1.5591 6.1739 0.1393 -0.0635
-1.4803 6.1226 0.1524 -0.0872
-1.4016 6.1248 0.1618 -0.1050
-1.3228 6.1531 0.1691 -0.1154
-1.2441 6.1894 0.1773 -0.1306
-1.1654 6.2108 0.1843 -0.1313
-1.0866 6.2100 0.1892 -0.1037
-1.0079 6.2004 0.1928 -0.0843
-0.9291 6.1901 0.1941 -0.0551
-0.8504 6.1989 0.1969 -0.0428
-0.7717 6.2055 0.2050 -0.0420
-0.6929 6.1703 0.2174 -0.0471
-0.6142 6.1154 0.2333 -0.0609
-0.5354 6.0550 0.2536 -0.0611
-0.4567 6.0324 0.2824 -0.0374
-0.3780 6.0562 0.3164 -0.0304
-0.2992 6.0900 0.3462 -0.0574
-0.2205 6.1347 0.3665 -0.0936
-0.1417 6.1857 0.3746 -0.1277
-0.0630 6.2228 0.3724 -0.1467
0.0157 6.2398 0.3684 -0.1459
0.0945 6.2404 0.3736 -0.1354
0.1732 6.2424 0.3904 -0.1327
0.2520 6.2488 0.4098 -0.1232
0.3307 6.2550 0.4276 -0.1105
0.4094 6.2507 0.4483 -0.1025
0.4882 6.2399 0.4700 -0.1002
0.5669 6.2275 0.4865 -0.0994
0.6457 6.1982 0.4964 -0.0944
0.7244 6.1581 0.4967 -0.0791
0.8031 6.1116 0.4889 -0.0690
0.8819 6.0858 0.4860 -0.0754
0.9606 6.0944 0.4958 -0.0799
1.0394 6.1108 0.5143 -0.0730
1.1181 6.1281 0.5368 -0.0796
1.1969 6.1408 0.5569 -0.1081
1.2756 6.1583 0.5714 -0.1233
1.3543 6.1912 0.5861 -0.1113
1.4331 6.2021 0.6018 -0.0865
1.5118 6.1898 0.6143 -0.0722
1.5906 6.1717 0.6241 -0.0950
1.6693 6.1583 0.6270 -0.1187
1.7480 6.1402 0.6222 -0.1077
1.8268 6.1104 0.6157 -0.0818
1.9055 6.0789 0.6119 -0.0635
1.9843 6.0592 0.6157 -0.0522
2.0630 6.0551 0.6307 -0.0483
2.1417 6.0714 0.6505 -0.0549
2.2205 6.0930 0.6651 -0.0569
2.2992 6.0861 0.6729 -0.0663
2.3780 6.0696 0.6661 -0.0824
2.4567 6.0584 0.6429 -0.0881
2.5354 6.0375 0.6215 -0.0906
2.6142 6.0221 0.6106 -0.0905
2.6929 6.0068 0.6011 -0.0999
2.7717 5.9754 0.5884 -0.1015
2.8504 5.9393 0.5732 -0.0912
2.9291 5.9046 0.5579 -0.0631
3.0079 5.8654 0.5512 -0.0269
3.0866 5.8238 0.5564 0.0022
3.1654 5.7880 0.5715 0.0279
3.2441 5.7708 0.5800 0.0455
3.3228 5.7455 0.5722 0.0515
3.4016 5.7141 0.5693 0.0676
3.4803 5.6678 0.5819 0.0899
3.5591 5.6189 0.5977 0.1048
3.6378 5.5888 0.6026 0.1340
3.7165 5.5782 0.5953 0.1624
3.7953 5.5620 0.5792 0.1616
3.8740 5.5531 0.5610 0.1770
3.9528 5.5639 0.5550 0.2372
