# Y/D TKE
-4.0000 0.3367
-3.9213 0.3469
-3.8425 0.3608
-3.7638 0.3429
-3.6850 0.2987
-3.6063 0.2997
-3.5276 0.3127
-3.4488 0.3177
-3.3701 0.2889
-3.2913 0.2482
-3.2126 0.2425
-3.1339 0.2530
-3.0551 0.2706
-2.9764 0.2966
-2.8976 0.3361
-2.8189 0.3658
-2.7402 0.3500
-2.6614 0.2894
-2.5827 0.2384
-2.5039 0.2041
-2.4252 0.1744
-2.3465 0.1405
-2.2677 0.1186
-2.1890 0.1114
-2.1102 0.1106
-2.0315 0.1166
-1.9528 0.1182
-1.8740 0.1145
-1.7953 0.1156
-1.7165 0.1266
-1.6378 0.1437
-1.5591 0.1642
-1.4803 0.1752
-1.4016 0.1789
-1.3228 0.1972
-1.2441 0.1988
-1.1654 0.2005
-1.0866 0.2128
-1.0079 0.2112
-0.9291 0.2050
-0.8504 0.1901
-0.7717 0.1871
-0.6929 0.1847
-0.6142 0.1734
-0.5354 0.1630
-0.4567 0.1485
-0.3780 0.1321
-0.2992 0.1160
-0.2205 0.1040
-0.1417 0.0973
-0.0630 0.0898
0.0157 0.0884
0.0945 0.0953
0.1732 0.1051
0.2520 0.1097
0.3307 0.1113
0.4094 0.1138
0.4882 0.1276
0.5669 0.1412
0.6457 0.1411
0.7244 0.1327
0.8031 0.1245
0.8819 0.1190
0.9606 0.1150
1.0394 0.1110
1.1181 0.1061
1.1969 0.1031
1.2756 0.1010
1.3543 0.0983
1.4331 0.1027
1.5118 0.1112
1.5906 0.1237
1.6693 0.1392
1.7480 0.1523
1.8268 0.1610
1.9055 0.1549
1.9843 0.1466
2.0630 0.1413
2.1417 0.1416
2.2205 0.1471
2.2992 0.1599
2.3780 0.1705
2.4567 0.1678
2.5354 0.1672
2.6142 0.1693
2.6929 0.1739
2.7717 0.1849
2.8504 0.1920
2.9291 0.2078
3.0079 0.2365
3.0866 0.2499
3.1654 0.2387
3.2441 0.2162
3.3228 0.2011
3.4016 0.2035
3.4803 0.1901
3.5591 0.1877
3.6378 0.2625
3.7165 0.3972
3.7953 0.5208
3.8740 0.5932
3.9528 0.5563
