# Y/D TKE
-4.0000 0.4230
-3.9213 0.3978
-3.8425 0.3664
-3.7638 0.3337
-3.6850 0.2973
-3.6063 0.2863
-3.5276 0.2715
-3.4488 0.2759
-3.3701 0.2709
-3.2913 0.2631
-3.2126 0.2580
-3.1339 0.2733
-3.0551 0.3060
-2.9764 0.3243
-2.8976 0.3174
-2.8189 0.3071
-2.7402 0.3039
-2.6614 0.2968
-2.5827 0.2762
-2.5039 0.2572
-2.4252 0.2268
-2.3465 0.2061
-2.2677 0.1780
-2.1890 0.1599
-2.1102 0.1589
-2.0315 0.1502
-1.9528 0.1423
-1.8740 0.1487
-1.7953 0.1501
-1.7165 0.1735
-1.6378 0.1977
-1.5591 0.1979
-1.4803 0.1780
-1.4016 0.1674
-1.3228 0.1650
-1.2441 0.1545
-1.1654 0.1419
-1.0866 0.1323
-1.0079 0.1398
-0.9291 0.1441
-0.8504 0.1472
-0.7717 0.1716
-0.6929 0.2252
-0.6142 0.2836
-0.5354 0.4984
-0.4567 0.7007
-0.3780 0.7414
-0.2992 0.5882
-0.2205 0.3873
-0.1417 0.2630
-0.0630 0.2953
0.0157 0.4307
0.0945 0.4892
0.1732 0.4319
0.2520 0.3536
0.3307 0.3120
0.4094 0.2851
0.4882 0.2474
0.5669 0.3026
0.6457 0.4912
0.7244 0.6652
0.8031 0.5554
0.8819 0.3070
0.9606 0.1879
1.0394 0.1663
1.1181 0.1578
1.1969 0.1578
1.2756 0.1549
1.3543 0.1567
1.4331 0.1717
1.5118 0.1931
1.5906 0.2126
1.6693 0.2096
1.7480 0.1814
1.8268 0.1623
1.9055 0.1564
1.9843 0.1486
2.0630 0.1370
2.1417 0.1248
2.2205 0.1166
2.2992 0.1124
2.3780 0.1103
2.4567 0.1142
2.5354 0.1219
2.6142 0.1215
2.6929 0.1175
2.7717 0.1175
2.8504 0.1190
2.9291 0.1307
3.0079 0.1439
3.0866 0.1617
3.1654 0.1839
3.2441 0.2104
3.3228 0.2284
3.4016 0.2399
3.4803 0.2494
3.5591 0.2400
3.6378 0.2340
3.7165 0.2485
3.7953 0.2717
3.8740 0.2864
3.9528 0.2816
