# Y/D U V W
-4.0000 5.8314 -0.1595 0.1713
-3.9213 5.8300 -0.1273 0.1942
-3.8425 5.8343 -0.1047 0.1949
-3.7638 5.8962 -0.1009 0.1507
-3.6850 5.9653 -0.1094 0.0908
-3.6063 6.0041 -0.1191 0.0675
-3.5276 6.0306 -0.1231 0.0615
-3.4488 6.0904 -0.1122 0.0334
-3.3701 6.1477 -0.0898 -0.0114
-3.2913 6.1936 -0.0718 -0.0344
-3.2126 6.2316 -0.0595 -0.0371
-3.1339 6.2738 -0.0484 -0.0484
-3.0551 6.2964 -0.0461 -0.0552
-2.9764 6.2797 -0.0489 -0.0370
-2.8976 6.2702 -0.0463 -0.0229
-2.8189 6.2518 -0.0390 -0.0269
-2.7402 6.2299 -0.0233 -0.0335
-2.6614 6.2564 -0.0022 -0.0375
-2.5827 6.2971 0.0151 -0.0579
-2.5039 6.3328 0.0234 -0.0914
-2.4252 6.3757 0.0222 -0.1231
-2.3465 6.4019 0.0250 -0.1471
-2.2677 6.4123 0.0376 -0.1507
-2.1890 6.4211 0.0510 -0.1453
-2.1102 6.4273 0.0581 -0.1518
-2.0315 6.4135 0.0636 -0.1435
-1.9528 6.3806 0.0713 -0.1405
-1.8740 6.3498 0.0764 -0.1280
-1.7953 6.3261 0.0758 -0.1046
-1.7165 6.2845 0.0785 -0.0700
-1.6378 6.2306 0.0938 -0.0423
-1.5591 6.1906 0.1142 -0.0553
-1.4803 6.1652 0.1310 -0.0796
-1.4016 6.1426 0.1400 -0.0964
-1.3228 6.1129 0.1426 -0.1168
-1.2441 6.0989 0.1412 -0.1050
-1.1654 6.1026 0.1393 -0.0712
-1.0866 6.1071 0.1340 -0.0548
-1.0079 6.1111 0.1179 -0.0328
-0.9291 6.1277 0.0997 -0.0048
-0.8504 6.1467 0.0982 0.0034
-0.7717 6.1330 0.1161 -0.0198
-0.6929 6.1002 0.1475 -0.0413
-0.6142 6.0805 0.1952 -0.0442
-0.5354 6.0930 0.2489 -0.0336
-0.4567 6.1183 0.2920 -0.0385
-0.3780 6.1484 0.3210 -0.0738
-0.2992 6.1851 0.3342 -0.1079
-0.2205 6.2106 0.3311 -0.1180
-0.1417 6.2131 0.3230 -0.1099
-0.0630 6.2190 0.3239 -0.1046
0.0157 6.2301 0.3331 -0.1107
0.0945 6.2227 0.3397 -0.1063
0.1732 6.2005 0.3478 -0.0843
0.2520 6.1944 0.3700 -0.0704
0.3307 6.2007 0.4034 -0.0790
0.4094 6.1974 0.4326 -0.0922
0.4882 6.1766 0.4486 -0.0938
0.5669 6.1601 0.4547 -0.0894
0.6457 6.1668 0.4628 -0.0804
0.7244 6.1657 0.4807 -0.0691
0.8031 6.1495 0.5020 -0.0717
0.8819 6.1500 0.5179 -0.0850
0.9606 6.1722 0.5299 -0.0963
1.0394 6.2028 0.5449 -0.0932
1.1181 6.2398 0.5676 -0.0842
1.1969 6.2652 0.5956 -0.0818
1.2756 6.2654 0.6212 -0.0842
1.3543 6.2549 0.6369 -0.0930
1.4331 6.2281 0.6385 -0.1062
1.5118 6.1936 0.6289 -0.1131
1.5906 6.1600 0.6126 -0.1031
1.6693 6.1348 0.5993 -0.0811
1.7480 6.1098 0.6005 -0.0669
1.8268 6.0813 0.6133 -0.0448
1.9055 6.0676 0.6252 -0.0316
1.9843 6.0825 0.6321 -0.0436
2.0630 6.0981 0.6372 -0.0490
2.1417 6.0741 0.6385 -0.0527
2.2205 6.0349 0.6271 -0.0653
2.2992 6.0188 0.6075 -0.0718
2.3780 6.0302 0.5969 -0.0675
2.4567 6.0262 0.5965 -0.0700
2.5354 5.9955 0.5949 -0.0701
2.6142 5.9717 0.5930 -0.0654
2.6929 5.9349 0.5926 -0.0682
2.7717 5.8873 0.5916 -0.0547
2.8504 5.8368 0.5927 -0.0364
2.9291 5.7700 0.6004 -0.0171
3.0079 5.7110 0.6166 0.0069
3.0866 5.6880 0.6341 0.0237
3.1654 5.6845 0.6473 0.0287
3.2441 5.6849 0.6536 0.0463
3.3228 5.6772 0.6516 0.0769
3.4016 5.6710 0.6468 0.0920
3.4803 5.6737 0.6420 0.1051
3.5591 5.6727 0.6341 0.1177
3.6378 5.6501 0.6184 0.1305
3.7165 5.5871 0.5942 0.1584
3.7953 5.5083 0.5623 0.2245
3.8740 5.4098 0.5273 0.2988
3.9528 5.3163 0.4997 0.3127
