# Y/D U V W
-4.0000 6.0058 -0.0580 -0.0528
-3.9213 6.0498 -0.0598 -0.1045
-3.8425 6.0855 -0.0619 -0.1272
-3.7638 6.1198 -0.0692 -0.1053
-3.6850 6.1408 -0.0812 -0.0768
-3.6063 6.1564 -0.0913 -0.0464
-3.5276 6.1549 -0.0925 -0.0294
-3.4488 6.1418 -0.0795 -0.0338
-3.3701 6.1471 -0.0598 -0.0438
-3.2913 6.1581 -0.0414 -0.0329
-3.2126 6.1746 -0.0189 -0.0289
-3.1339 6.1989 0.0065 -0.0408
-3.0551 6.2058 0.0270 -0.0518
-2.9764 6.2010 0.0410 -0.0398
-2.8976 6.2031 0.0512 -0.0191
-2.8189 6.1952 0.0605 -0.0422
-2.7402 6.2048 0.0716 -0.0661
-2.6614 6.2383 0.0883 -0.0751
-2.5827 6.2678 0.1108 -0.0672
-2.5039 6.2987 0.1343 -0.0623
-2.4252 6.3346 0.1500 -0.0995
-2.3465 6.3677 0.1553 -0.1354
-2.2677 6.3868 0.1569 -0.1456
-2.1890 6.3942 0.1593 -0.1503
-2.1102 6.4044 0.1635 -0.1572
-2.0315 6.4226 0.1664 -0.1720
-1.9528 6.4357 0.1644 -0.1791
-1.8740 6.4209 0.1613 -0.1573
-1.7953 6.4005 0.1670 -0.1361
-1.7165 6.3822 0.1835 -0.1196
-1.6378 6.3638 0.2034 -0.1102
-1.5591 6.3654 0.2217 -0.1256
-1.4803 6.3571 0.2354 -0.1522
-1.4016 6.3457 0.2454 -0.1582
-1.3228 6.3282 0.2543 -0.1361
-1.2441 6.2863 0.2631 -0.1114
-1.1654 6.2199 0.2734 -0.0863
-1.0866 6.1673 0.2834 -0.0617
-1.0079 6.1657 0.2932 -0.0528
-0.9291 6.2180 0.3094 -0.0688
-0.8504 6.2732 0.3328 -0.0999
-0.7717 6.3003 0.3602 -0.1354
-0.6929 6.3204 0.3876 -0.1634
-0.6142 6.3242 0.4077 -0.1745
-0.5354 6.3094 0.4159 -0.1600
-0.4567 6.2830 0.4122 -0.1352
-0.3780 6.2464 0.4060 -0.1309
-0.2992 6.2210 0.4116 -0.1358
-0.2205 6.1972 0.4228 -0.1471
-0.1417 6.1559 0.4284 -0.1638
-0.0630 6.0956 0.4301 -0.1571
0.0157 6.0453 0.4257 -0.1542
0.0945 5.9855 0.4147 -0.1535
0.1732 5.9068 0.3920 -0.1413
0.2520 5.7979 0.3560 -0.1100
0.3307 5.6623 0.3259 -0.0752
0.4094 5.5527 0.3097 -0.0526
0.4882 5.4515 0.3166 -0.0077
0.5669 5.3334 0.3553 0.0632
0.6457 5.2487 0.4110 0.1259
0.7244 5.2173 0.4797 0.1347
0.8031 5.2096 0.5467 0.0605
0.8819 5.2040 0.5913 -0.0569
0.9606 5.2159 0.6169 -0.1346
1.0394 5.2462 0.6261 -0.1734
1.1181 5.2609 0.6217 -0.2024
1.1969 5.2674 0.6150 -0.2129
1.2756 5.2816 0.6191 -0.1831
1.3543 5.2834 0.6357 -0.1208
1.4331 5.2633 0.6541 -0.0704
1.5118 5.2439 0.6681 -0.0595
1.5906 5.2629 0.6741 -0.1000
1.6693 5.3237 0.6658 -0.1578
1.7480 5.4003 0.6476 -0.1746
1.8268 5.4928 0.6334 -0.1714
1.9055 5.5910 0.6288 -0.1741
1.9843 5.6753 0.6337 -0.2034
2.0630 5.7323 0.6427 -0.2371
2.1417 5.7780 0.6462 -0.2256
2.2205 5.8191 0.6392 -0.1881
2.2992 5.8457 0.6223 -0.1670
2.3780 5.8756 0.6039 -0.1592
2.4567 5.9282 0.5921 -0.1462
2.5354 5.9713 0.5875 -0.1250
2.6142 5.9834 0.5904 -0.0924
2.6929 6.0002 0.6045 -0.0620
2.7717 6.0293 0.6341 -0.0388
2.8504 6.0604 0.6730 -0.0075
2.9291 6.0837 0.7024 0.0326
3.0079 6.0900 0.7109 0.0638
3.0866 6.0883 0.7043 0.0765
3.1654 6.0672 0.7005 0.0823
3.2441 6.0052 0.7072 0.0982
3.3228 5.9337 0.7119 0.1241
3.4016 5.8538 0.7108 0.1619
3.4803 5.7728 0.7190 0.2056
3.5591 5.7369 0.7407 0.2132
3.6378 5.7412 0.7644 0.1852
3.7165 5.7513 0.7844 0.1575
3.7953 5.7556 0.7967 0.1422
3.8740 5.7561 0.7969 0.1256
3.9528 5.7748 0.7893 0.0880
