# Y/D TKE
-4.0000 0.2099
-3.9213 0.1884
-3.8425 0.1782
-3.7638 0.1765
-3.6850 0.1797
-3.6063 0.1845
-3.5276 0.1890
-3.4488 0.1887
-3.3701 0.1768
-3.2913 0.1662
-3.2126 0.1603
-3.1339 0.1567
-3.0551 0.1511
-2.9764 0.1427
-2.8976 0.1351
-2.8189 0.1367
-2.7402 0.1464
-2.6614 0.1570
-2.5827 0.1642
-2.5039 0.1576
-2.4252 0.1539
-2.3465 0.1647
-2.2677 0.1809
-2.1890 0.1835
-2.1102 0.1859
-2.0315 0.2093
-1.9528 0.2458
-1.8740 0.2684
-1.7953 0.2793
-1.7165 0.3122
-1.6378 0.3712
-1.5591 0.4133
-1.4803 0.4103
-1.4016 0.4018
-1.3228 0.4277
-1.2441 0.4720
-1.1654 0.4636
-1.0866 0.4236
-1.0079 0.3817
-0.9291 0.3649
-0.8504 0.3440
-0.7717 0.3326
-0.6929 0.3341
-0.6142 0.3384
-0.5354 0.3573
-0.4567 0.3795
-0.3780 0.3742
-0.2992 0.3519
-0.2205 0.3416
-0.1417 0.3200
-0.0630 0.2979
0.0157 0.2975
0.0945 0.2774
0.1732 0.2458
0.2520 0.2206
0.3307 0.2043
0.4094 0.1963
0.4882 0.1878
0.5669 0.1751
0.6457 0.1676
0.7244 0.1810
0.8031 0.2103
0.8819 0.2421
0.9606 0.2822
1.0394 0.3125
1.1181 0.3453
1.1969 0.3716
1.2756 0.3556
1.3543 0.3105
1.4331 0.2749
1.5118 0.2497
1.5906 0.2489
1.6693 0.2724
1.7480 0.2851
1.8268 0.2790
1.9055 0.2749
1.9843 0.2674
2.0630 0.2439
2.1417 0.2140
2.2205 0.2027
2.2992 0.2026
2.3780 0.1998
2.4567 0.2019
2.5354 0.2066
2.6142 0.2033
2.6929 0.1905
2.7717 0.1731
2.8504 0.1626
2.9291 0.1453
3.0079 0.1315
3.0866 0.1328
3.1654 0.1351
3.2441 0.1362
3.3228 0.1433
3.4016 0.1538
3.4803 0.1627
3.5591 0.1635
3.6378 0.1585
3.7165 0.1638
3.7953 0.1772
3.8740 0.1838
3.9528 0.1866
