# Y/D TKE
-4.0000 0.2232
-3.9213 0.2008
-3.8425 0.1875
-3.7638 0.1865
-3.6850 0.1842
-3.6063 0.1773
-3.5276 0.1796
-3.4488 0.1858
-3.3701 0.1854
-3.2913 0.1821
-3.2126 0.1739
-3.1339 0.1611
-3.0551 0.1437
-2.9764 0.1322
-2.8976 0.1253
-2.8189 0.1208
-2.7402 0.1223
-2.6614 0.1280
-2.5827 0.1431
-2.5039 0.1620
-2.4252 0.1723
-2.3465 0.1747
-2.2677 0.1774
-2.1890 0.1731
-2.1102 0.1727
-2.0315 0.1903
-1.9528 0.2192
-1.8740 0.2636
-1.7953 0.2982
-1.7165 0.3279
-1.6378 0.4310
-1.5591 0.5403
-1.4803 0.5370
-1.4016 0.4627
-1.3228 0.3474
-1.2441 0.2436
-1.1654 0.2093
-1.0866 0.2100
-1.0079 0.2174
-0.9291 0.2379
-0.8504 0.2611
-0.7717 0.3015
-0.6929 0.3710
-0.6142 0.4281
-0.5354 0.4528
-0.4567 0.4333
-0.3780 0.3967
-0.2992 0.3792
-0.2205 0.3673
-0.1417 0.3536
-0.0630 0.3581
0.0157 0.3732
0.0945 0.3710
0.1732 0.3368
0.2520 0.2956
0.3307 0.2748
0.4094 0.2648
0.4882 0.2653
0.5669 0.2861
0.6457 0.3294
0.7244 0.3514
0.8031 0.3274
0.8819 0.2996
0.9606 0.2753
1.0394 0.2788
1.1181 0.2775
1.1969 0.2836
1.2756 0.2854
1.3543 0.2494
1.4331 0.2007
1.5118 0.1723
1.5906 0.1605
1.6693 0.1622
1.7480 0.1665
1.8268 0.1660
1.9055 0.1672
1.9843 0.1718
2.0630 0.1827
2.1417 0.1929
2.2205 0.1948
2.2992 0.1998
2.3780 0.2102
2.4567 0.2292
2.5354 0.2608
2.6142 0.2849
2.6929 0.2760
2.7717 0.2727
2.8504 0.3012
2.9291 0.3402
3.0079 0.3715
3.0866 0.3869
3.1654 0.3827
3.2441 0.3789
3.3228 0.3828
3.4016 0.4225
3.4803 0.4818
3.5591 0.5212
3.6378 0.5248
3.7165 0.4888
3.7953 0.4428
3.8740 0.4065
3.9528 0.3718
