# Y/D U V W
-4.0000 6.4022 0.0902 -0.1034
-3.9213 6.4418 0.0872 -0.0846
-3.8425 6.4568 0.0953 -0.0766
-3.7638 6.4595 0.1050 -0.0845
-3.6850 6.4745 0.1127 -0.0939
-3.6063 6.4998 0.1301 -0.1111
-3.5276 6.5183 0.1598 -0.1299
-3.4488 6.5299 0.1882 -0.1357
-3.3701 6.5504 0.2010 -0.1384
-3.2913 6.5752 0.2037 -0.1395
-3.2126 6.6011 0.2072 -0.1284
-3.1339 6.6252 0.2157 -0.1180
-3.0551 6.6332 0.2240 -0.1147
-2.9764 6.6415 0.2235 -0.1166
-2.8976 6.6441 0.2204 -0.1181
-2.8189 6.6505 0.2201 -0.1307
-2.7402 6.6721 0.2215 -0.1576
-2.6614 6.6984 0.2238 -0.1750
-2.5827 6.7025 0.2240 -0.1679
-2.5039 6.6887 0.2222 -0.1483
-2.4252 6.6699 0.2257 -0.1309
-2.3465 6.6423 0.2381 -0.1217
-2.2677 6.6192 0.2537 -0.1185
-2.1890 6.6212 0.2606 -0.1150
-2.1102 6.6015 0.2592 -0.1210
-2.0315 6.5755 0.2585 -0.1367
-1.9528 6.5549 0.2605 -0.1384
-1.8740 6.5067 0.2683 -0.1507
-1.7953 6.4489 0.2813 -0.1477
-1.7165 6.4236 0.2900 -0.1182
-1.6378 6.3869 0.2942 -0.0579
-1.5591 6.3774 0.3045 0.0185
-1.4803 6.3716 0.3236 0.0790
-1.4016 6.3596 0.3460 0.1044
-1.3228 6.3277 0.3621 0.1319
-1.2441 6.3131 0.3743 0.1387
-1.1654 6.3209 0.3895 0.0961
-1.0866 6.3494 0.4081 0.0297
-1.0079 6.3970 0.4328 -0.0323
-0.9291 6.4354 0.4559 -0.0808
-0.8504 6.4450 0.4632 -0.1193
-0.7717 6.4164 0.4606 -0.1200
-0.6929 6.3750 0.4581 -0.0914
-0.6142 6.3383 0.4552 -0.0604
-0.5354 6.3163 0.4502 -0.0219
-0.4567 6.3216 0.4432 0.0128
-0.3780 6.3211 0.4413 0.0144
-0.2992 6.3556 0.4472 -0.0155
-0.2205 6.4352 0.4578 -0.0508
-0.1417 6.5296 0.4648 -0.0701
-0.0630 6.6190 0.4674 -0.0808
0.0157 6.6838 0.4711 -0.0938
0.0945 6.7214 0.4767 -0.1113
0.1732 6.7483 0.4821 -0.1290
0.2520 6.7596 0.4826 -0.1382
0.3307 6.7658 0.4821 -0.1397
0.4094 6.7836 0.4826 -0.1333
0.4882 6.7848 0.4807 -0.1193
0.5669 6.7514 0.4740 -0.1078
0.6457 6.7103 0.4611 -0.1037
0.7244 6.6709 0.4528 -0.0991
0.8031 6.6473 0.4549 -0.0945
0.8819 6.6311 0.4603 -0.0913
0.9606 6.5841 0.4650 -0.0740
1.0394 6.5101 0.4641 -0.0393
1.1181 6.4446 0.4619 -0.0290
1.1969 6.4118 0.4713 -0.0178
1.2756 6.4406 0.4926 0.0176
1.3543 6.5076 0.5194 0.0279
1.4331 6.5529 0.5458 -0.0102
1.5118 6.5371 0.5639 -0.0270
1.5906 6.4977 0.5857 -0.0149
1.6693 6.4650 0.6184 -0.0499
1.7480 6.4578 0.6421 -0.1144
1.8268 6.4719 0.6450 -0.1464
1.9055 6.5057 0.6370 -0.1449
1.9843 6.5532 0.6349 -0.1514
2.0630 6.5903 0.6405 -0.1657
2.1417 6.5910 0.6470 -0.1651
2.2205 6.5643 0.6551 -0.1485
2.2992 6.5424 0.6715 -0.1244
2.3780 6.5412 0.6974 -0.1128
2.4567 6.5454 0.7222 -0.1287
2.5354 6.5434 0.7370 -0.1605
2.6142 6.5534 0.7431 -0.1801
2.6929 6.5696 0.7447 -0.1795
2.7717 6.5723 0.7431 -0.1707
2.8504 6.5808 0.7425 -0.1647
2.9291 6.5879 0.7497 -0.1675
3.0079 6.5670 0.7670 -0.1669
3.0866 6.5336 0.7870 -0.1498
3.1654 6.5147 0.8025 -0.1284
3.2441 6.5009 0.8134 -0.1139
3.3228 6.4853 0.8196 -0.0996
3.4016 6.4837 0.8219 -0.0828
3.4803 6.4907 0.8271 -0.0712
3.5591 6.4798 0.8417 -0.0730
3.6378 6.4528 0.8627 -0.0851
3.7165 6.4300 0.8785 -0.0947
3.7953 6.3974 0.8821 -0.0908
3.8740 6.3368 0.8844 -0.0799
3.9528 6.2941 0.8979 -0.0775
