# Y/D U V W
-4.0000 6.2751 0.1969 -0.0346
-3.9213 6.2883 0.1918 -0.0887
-3.8425 6.2945 0.1785 -0.1141
-3.7638 6.2957 0.1600 -0.1180
-3.6850 6.2976 0.1509 -0.1093
-3.6063 6.3000 0.1600 -0.0956
-3.5276 6.3210 0.1833 -0.1012
-3.4488 6.3478 0.2111 -0.1282
-3.3701 6.3635 0.2367 -0.1245
-3.2913 6.3792 0.2550 -0.1152
-3.2126 6.4095 0.2644 -0.1247
-3.1339 6.4683 0.2660 -0.1531
-3.0551 6.5287 0.2675 -0.1755
-2.9764 6.5473 0.2769 -0.1802
-2.8976 6.5453 0.2840 -0.1792
-2.8189 6.5460 0.2838 -0.1826
-2.7402 6.5650 0.2895 -0.1800
-2.6614 6.5856 0.3010 -0.1759
-2.5827 6.5867 0.3059 -0.1770
-2.5039 6.5627 0.3012 -0.1766
-2.4252 6.5411 0.3006 -0.1845
-2.3465 6.5362 0.3137 -0.2031
-2.2677 6.5394 0.3292 -0.2253
-2.1890 6.5313 0.3367 -0.2366
-2.1102 6.5076 0.3392 -0.2322
-2.0315 6.4715 0.3386 -0.2344
-1.9528 6.4185 0.3349 -0.2348
-1.8740 6.3586 0.3337 -0.1947
-1.7953 6.3223 0.3437 -0.1295
-1.7165 6.2969 0.3711 -0.0795
-1.6378 6.3031 0.4090 -0.0331
-1.5591 6.3373 0.4449 0.0073
-1.4803 6.3851 0.4732 0.0206
-1.4016 6.4475 0.4900 0.0175
-1.3228 6.4853 0.4921 0.0147
-1.2441 6.4881 0.4857 0.0390
-1.1654 6.4549 0.4784 0.0730
-1.0866 6.3857 0.4718 0.0962
-1.0079 6.3046 0.4765 0.1108
-0.9291 6.2524 0.4999 0.1305
-0.8504 6.2443 0.5311 0.1605
-0.7717 6.2219 0.5590 0.1957
-0.6929 6.1800 0.5774 0.2133
-0.6142 6.1773 0.5804 0.1918
-0.5354 6.1935 0.5687 0.1357
-0.4567 6.2072 0.5462 0.0949
-0.3780 6.2157 0.5213 0.0889
-0.2992 6.2135 0.5125 0.0849
-0.2205 6.2006 0.5175 0.0843
-0.1417 6.1827 0.5113 0.0786
-0.0630 6.1627 0.4827 0.0542
0.0157 6.1593 0.4455 0.0274
0.0945 6.1703 0.4205 0.0315
0.1732 6.1834 0.4176 0.0196
0.2520 6.2082 0.4224 -0.0213
0.3307 6.2438 0.4090 -0.0468
0.4094 6.2901 0.3810 -0.0369
0.4882 6.2961 0.3643 -0.0130
0.5669 6.3036 0.3566 0.0069
0.6457 6.3142 0.3441 0.0208
0.7244 6.3148 0.3394 0.0263
0.8031 6.3141 0.3532 0.0370
0.8819 6.3025 0.3784 0.0525
0.9606 6.3004 0.4059 0.0513
1.0394 6.3187 0.4304 0.0419
1.1181 6.3447 0.4478 0.0314
1.1969 6.4066 0.4564 -0.0162
1.2756 6.4806 0.4634 -0.0860
1.3543 6.5255 0.4709 -0.1199
1.4331 6.5484 0.4687 -0.1257
1.5118 6.5686 0.4638 -0.1335
1.5906 6.5902 0.4738 -0.1495
1.6693 6.6094 0.4965 -0.1706
1.7480 6.6221 0.5215 -0.1816
1.8268 6.6198 0.5453 -0.1832
1.9055 6.6115 0.5658 -0.1791
1.9843 6.6085 0.5821 -0.1671
2.0630 6.6138 0.5960 -0.1549
2.1417 6.6241 0.6068 -0.1542
2.2205 6.6153 0.6129 -0.1643
2.2992 6.5868 0.6181 -0.1688
2.3780 6.5373 0.6319 -0.1706
2.4567 6.4825 0.6537 -0.1756
2.5354 6.4520 0.6693 -0.1764
2.6142 6.4359 0.6689 -0.1748
2.6929 6.4173 0.6576 -0.1721
2.7717 6.3879 0.6451 -0.1602
2.8504 6.3462 0.6430 -0.1364
2.9291 6.3018 0.6538 -0.0946
3.0079 6.2595 0.6706 -0.0455
3.0866 6.2216 0.6893 -0.0004
3.1654 6.1846 0.7085 0.0402
3.2441 6.1482 0.7302 0.0614
3.3228 6.1293 0.7535 0.0523
3.4016 6.1147 0.7718 0.0265
3.4803 6.0960 0.7792 -0.0099
3.5591 6.1122 0.7759 -0.0617
3.6378 6.1740 0.7712 -0.1039
3.7165 6.2384 0.7787 -0.1107
3.7953 6.2746 0.7916 -0.1047
3.8740 6.2672 0.7991 -0.1059
3.9528 6.2630 0.8122 -0.1069
