# Y/D TKE
-4.0000 0.2156
-3.9213 0.2089
-3.8425 0.2215
-3.7638 0.2310
-3.6850 0.2323
-3.6063 0.2264
-3.5276 0.2145
-3.4488 0.2002
-3.3701 0.1908
-3.2913 0.1826
-3.2126 0.1687
-3.1339 0.1555
-3.0551 0.1487
-2.9764 0.1433
-2.8976 0.1374
-2.8189 0.1414
-2.7402 0.1519
-2.6614 0.1495
-2.5827 0.1478
-2.5039 0.1585
-2.4252 0.1837
-2.3465 0.2198
-2.2677 0.2564
-2.1890 0.2704
-2.1102 0.2596
-2.0315 0.2646
-1.9528 0.2884
-1.8740 0.3168
-1.7953 0.3424
-1.7165 0.3726
-1.6378 0.3754
-1.5591 0.3561
-1.4803 0.3513
-1.4016 0.3294
-1.3228 0.2945
-1.2441 0.2817
-1.1654 0.2930
-1.0866 0.3084
-1.0079 0.3279
-0.9291 0.3360
-0.8504 0.3478
-0.7717 0.3700
-0.6929 0.3976
-0.6142 0.4154
-0.5354 0.4175
-0.4567 0.4492
-0.3780 0.5262
-0.2992 0.5871
-0.2205 0.6625
-0.1417 0.7055
-0.0630 0.6660
0.0157 0.6104
0.0945 0.6147
0.1732 0.6291
0.2520 0.6272
0.3307 0.6070
0.4094 0.5881
0.4882 0.5662
0.5669 0.5399
0.6457 0.4985
0.7244 0.4723
0.8031 0.4661
0.8819 0.4406
0.9606 0.4209
1.0394 0.4215
1.1181 0.4275
1.1969 0.4252
1.2756 0.4111
1.3543 0.4031
1.4331 0.3992
1.5118 0.3970
1.5906 0.4022
1.6693 0.4065
1.7480 0.4283
1.8268 0.4545
1.9055 0.4638
1.9843 0.4639
2.0630 0.4887
2.1417 0.5119
2.2205 0.5471
2.2992 0.5924
2.3780 0.6116
2.4567 0.5868
2.5354 0.5393
2.6142 0.5038
2.6929 0.4799
2.7717 0.4601
2.8504 0.4399
2.9291 0.4133
3.0079 0.3660
3.0866 0.3237
3.1654 0.2979
3.2441 0.2650
3.3228 0.2426
3.4016 0.2453
3.4803 0.2561
3.5591 0.2554
3.6378 0.2394
3.7165 0.2179
3.7953 0.2056
3.8740 0.1977
3.9528 0.1996
