# Y/D U V W
-4.0000 6.4005 0.0732 -0.1003
-3.9213 6.4394 0.0699 -0.0810
-3.8425 6.4536 0.0776 -0.0735
-3.7638 6.4564 0.0868 -0.0814
-3.6850 6.4715 0.0940 -0.0907
-3.6063 6.4966 0.1112 -0.1080
-3.5276 6.5144 0.1406 -0.1264
-3.4488 6.5261 0.1677 -0.1319
-3.3701 6.5465 0.1792 -0.1346
-3.2913 6.5711 0.1811 -0.1352
-3.2126 6.5966 0.1840 -0.1237
-3.1339 6.6200 0.1918 -0.1134
-3.0551 6.6277 0.1988 -0.1101
-2.9764 6.6353 0.1969 -0.1116
-2.8976 6.6370 0.1929 -0.1127
-2.8189 6.6433 0.1918 -0.1256
-2.7402 6.6651 0.1923 -0.1524
-2.6614 6.6900 0.1937 -0.1683
-2.5827 6.6926 0.1930 -0.1597
-2.5039 6.6776 0.1904 -0.1394
-2.4252 6.6575 0.1935 -0.1219
-2.3465 6.6287 0.2057 -0.1125
-2.2677 6.6056 0.2205 -0.1088
-2.1890 6.6064 0.2258 -0.1049
-2.1102 6.5843 0.2233 -0.1110
-2.0315 6.5575 0.2220 -0.1255
-1.9528 6.5341 0.2237 -0.1264
-1.8740 6.4824 0.2317 -0.1378
-1.7953 6.4254 0.2446 -0.1324
-1.7165 6.3990 0.2529 -0.1013
-1.6378 6.3596 0.2579 -0.0390
-1.5591 6.3494 0.2698 0.0381
-1.4803 6.3419 0.2901 0.0969
-1.4016 6.3268 0.3128 0.1217
-1.3228 6.2910 0.3297 0.1495
-1.2441 6.2764 0.3428 0.1539
-1.1654 6.2850 0.3579 0.1094
-1.0866 6.3135 0.3766 0.0433
-1.0079 6.3597 0.4020 -0.0173
-0.9291 6.3959 0.4260 -0.0651
-0.8504 6.4020 0.4347 -0.1030
-0.7717 6.3697 0.4343 -0.1026
-0.6929 6.3256 0.4337 -0.0737
-0.6142 6.2864 0.4325 -0.0423
-0.5354 6.2622 0.4293 -0.0036
-0.4567 6.2658 0.4243 0.0311
-0.3780 6.2635 0.4251 0.0323
-0.2992 6.2974 0.4340 0.0025
-0.2205 6.3784 0.4479 -0.0321
-0.1417 6.4735 0.4584 -0.0517
-0.0630 6.5620 0.4641 -0.0623
0.0157 6.6260 0.4707 -0.0752
0.0945 6.6646 0.4799 -0.0922
0.1732 6.6930 0.4888 -0.1099
0.2520 6.7050 0.4922 -0.1197
0.3307 6.7108 0.4944 -0.1217
0.4094 6.7298 0.4980 -0.1158
0.4882 6.7337 0.4993 -0.1022
0.5669 6.7027 0.4954 -0.0912
0.6457 6.6629 0.4846 -0.0874
0.7244 6.6244 0.4780 -0.0829
0.8031 6.6014 0.4816 -0.0788
0.8819 6.5872 0.4882 -0.0763
0.9606 6.5433 0.4938 -0.0602
1.0394 6.4717 0.4935 -0.0256
1.1181 6.4072 0.4913 -0.0143
1.1969 6.3740 0.5007 -0.0040
1.2756 6.4023 0.5226 0.0309
1.3543 6.4712 0.5500 0.0433
1.4331 6.5214 0.5772 0.0063
1.5118 6.5104 0.5961 -0.0134
1.5906 6.4737 0.6177 -0.0006
1.6693 6.4412 0.6502 -0.0329
1.7480 6.4333 0.6750 -0.0981
1.8268 6.4475 0.6791 -0.1332
1.9055 6.4819 0.6714 -0.1326
1.9843 6.5309 0.6690 -0.1382
2.0630 6.5711 0.6747 -0.1532
2.1417 6.5754 0.6812 -0.1546
2.2205 6.5508 0.6883 -0.1395
2.2992 6.5292 0.7030 -0.1162
2.3780 6.5278 0.7276 -0.1042
2.4567 6.5328 0.7520 -0.1194
2.5354 6.5317 0.7668 -0.1517
2.6142 6.5414 0.7726 -0.1731
2.6929 6.5584 0.7737 -0.1738
2.7717 6.5625 0.7716 -0.1657
2.8504 6.5714 0.7700 -0.1597
2.9291 6.5801 0.7760 -0.1625
3.0079 6.5611 0.7921 -0.1630
3.0866 6.5283 0.8112 -0.1470
3.1654 6.5092 0.8259 -0.1261
3.2441 6.4956 0.8359 -0.1117
3.3228 6.4801 0.8414 -0.0979
3.4016 6.4782 0.8429 -0.0814
3.4803 6.4857 0.8470 -0.0697
3.5591 6.4759 0.8602 -0.0712
3.6378 6.4493 0.8803 -0.0831
3.7165 6.4266 0.8957 -0.0930
3.7953 6.3949 0.8989 -0.0893
3.8740 6.3353 0.9005 -0.0783
3.9528 6.2912 0.9130 -0.0755
