# Y/D U V W
-4.0000 6.4557 0.0140 -0.0947
-3.9213 6.4737 0.0210 -0.1109
-3.8425 6.4965 0.0288 -0.1081
-3.7638 6.5342 0.0349 -0.1162
-3.6850 6.5739 0.0392 -0.1222
-3.6063 6.6028 0.0438 -0.1251
-3.5276 6.6224 0.0535 -0.1362
-3.4488 6.6430 0.0692 -0.1390
-3.3701 6.6555 0.0835 -0.1386
-3.2913 6.6688 0.0954 -0.1349
-3.2126 6.6874 0.1077 -0.1291
-3.1339 6.7159 0.1206 -0.1417
-3.0551 6.7340 0.1329 -0.1658
-2.9764 6.7367 0.1438 -0.1691
-2.8976 6.7491 0.1499 -0.1614
-2.8189 6.7620 0.1496 -0.1719
-2.7402 6.7676 0.1542 -0.1938
-2.6614 6.7707 0.1644 -0.1988
-2.5827 6.7838 0.1701 -0.1930
-2.5039 6.7912 0.1742 -0.1726
-2.4252 6.7580 0.1794 -0.1401
-2.3465 6.6982 0.1871 -0.1184
-2.2677 6.6546 0.1979 -0.1097
-2.1890 6.6491 0.2053 -0.1050
-2.1102 6.6472 0.2069 -0.1059
-2.0315 6.6441 0.2111 -0.1241
-1.9528 6.6416 0.2267 -0.1358
-1.8740 6.6190 0.2389 -0.1245
-1.7953 6.5765 0.2340 -0.1158
-1.7165 6.5335 0.2208 -0.1218
-1.6378 6.4830 0.2070 -0.1056
-1.5591 6.4121 0.1872 -0.0597
-1.4803 6.3391 0.1665 0.0075
-1.4016 6.2822 0.1621 0.0835
-1.3228 6.2257 0.1626 0.1255
-1.2441 6.1871 0.1580 0.1748
-1.1654 6.1926 0.1590 0.2309
-1.0866 6.2185 0.1677 0.2514
-1.0079 6.2548 0.1880 0.2281
-0.9291 6.3312 0.2239 0.1752
-0.8504 6.4633 0.2643 0.0797
-0.7717 6.5684 0.2914 -0.0057
-0.6929 6.6213 0.3053 -0.0527
-0.6142 6.4115 0.3215 -0.0668
-0.5354 5.6946 0.3330 0.0289
-0.4567 4.3849 0.2839 0.2292
-0.3780 3.4075 0.1963 0.3949
-0.2992 2.9734 0.1426 0.5516
-0.2205 2.8799 0.1131 0.7234
-0.1417 3.2169 0.1008 0.7966
-0.0630 3.9382 0.1293 0.6270
0.0157 4.5922 0.2028 0.3332
0.0945 4.6116 0.2777 -0.0255
0.1732 4.0701 0.3197 -0.3898
0.2520 3.4032 0.3348 -0.6112
0.3307 3.1654 0.3487 -0.6124
0.4094 3.0510 0.3668 -0.5285
0.4882 3.0641 0.3806 -0.4286
0.5669 3.8139 0.4346 -0.3375
0.6457 5.2297 0.5630 -0.2856
0.7244 6.4378 0.7021 -0.2245
0.8031 6.9668 0.7685 -0.1675
0.8819 7.0390 0.7675 -0.1449
0.9606 6.9901 0.7462 -0.1348
1.0394 6.9303 0.7223 -0.1185
1.1181 6.8664 0.7027 -0.1164
1.1969 6.8074 0.6990 -0.1161
1.2756 6.7511 0.7026 -0.0808
1.3543 6.6975 0.6981 -0.0301
1.4331 6.6479 0.6863 -0.0040
1.5118 6.6197 0.6770 0.0001
1.5906 6.6136 0.6751 -0.0024
1.6693 6.5924 0.6761 0.0037
1.7480 6.5522 0.6785 0.0075
1.8268 6.5170 0.6894 0.0059
1.9055 6.4901 0.7045 0.0093
1.9843 6.4763 0.7173 -0.0155
2.0630 6.4950 0.7346 -0.0713
2.1417 6.5407 0.7560 -0.1155
2.2205 6.5809 0.7790 -0.1239
2.2992 6.6031 0.8024 -0.1034
2.3780 6.6028 0.8202 -0.0888
2.4567 6.5873 0.8342 -0.1110
2.5354 6.5885 0.8470 -0.1514
2.6142 6.6011 0.8526 -0.1744
2.6929 6.5893 0.8502 -0.1727
2.7717 6.5701 0.8491 -0.1586
2.8504 6.5672 0.8519 -0.1507
2.9291 6.5800 0.8540 -0.1476
3.0079 6.6002 0.8552 -0.1368
3.0866 6.6148 0.8618 -0.1263
3.1654 6.6158 0.8741 -0.1296
3.2441 6.6026 0.8857 -0.1449
3.3228 6.5914 0.8948 -0.1600
3.4016 6.5990 0.9054 -0.1617
3.4803 6.6107 0.9184 -0.1510
3.5591 6.5957 0.9292 -0.1442
3.6378 6.5615 0.9338 -0.1423
3.7165 6.5396 0.9295 -0.1370
3.7953 6.5269 0.9195 -0.1226
3.8740 6.5008 0.9146 -0.1045
3.9528 6.4600 0.9206 -0.0946
