# name, x, y, type, yaw, hubheight, options
2019-WTW-4713-KP, 644600.601753, 4027108.285963, Summit_GE2.8-127, , ,
2019-WTW-4655-KP, 642097.122368, 4030694.510509, Summit_GE2.8-127, , ,
2019-WTW-4651-KP, 640524.009474, 4030645.516444, Summit_GE2.8-127, , ,
2019-WTW-4726-KP, 647045.619630, 4026325.291169, Summit_GE2.8-127, , ,
2019-WTW-4671-KP, 643717.500753, 4029868.723641, Summit_GE2.8-127, , ,
2019-WTW-4715-KP, 641404.515835, 4025585.036081, Summit_GE2.8-127, , ,
2019-WTW-4691-KP, 640525.539569, 4027810.309735, Summit_GE2.8-127, , ,
2019-WTW-7913-KP, 638938.794021, 4027387.685619, Summit_GE2.8-127, , ,
2019-WTW-4657-KP, 642927.453405, 4030718.728327, Summit_GE2.8-127, , ,
2019-WTW-4694-KP, 641659.228636, 4028640.259465, Summit_GE2.8-127, , ,
2019-WTW-4718-KP, 642621.397465, 4025659.569623, Summit_GE2.8-127, , ,
2019-WTW-4690-KP, 640175.944241, 4027374.995134, Summit_GE2.8-127, , ,
2019-WTW-4656-KP, 642480.917060, 4030612.715718, Summit_GE2.8-127, , ,
2019-WTW-4697-KP, 642940.656099, 4028713.362363, Summit_GE2.8-127, , ,
2019-WTW-4698-KP, 643348.753181, 4028746.408167, Summit_GE2.8-127, , ,
2019-WTW-4701-KP, 644923.445904, 4028068.654069, Summit_GE2.8-127, , ,
2019-WTW-4723-KP, 644814.999895, 4025506.305084, Summit_GE2.8-127, , ,
2019-WTW-4673-KP, 638413.264818, 4028657.223273, Summit_GE2.8-127, , ,
2019-WTW-4716-KP, 641814.750726, 4025661.091204, Summit_GE2.8-127, , ,
2019-WTW-4693-KP, 641344.229254, 4028146.648135, Summit_GE2.8-127, , ,
2019-WTW-4725-KP, 646632.028126, 4026329.268115, Summit_GE2.8-127, , ,
2019-WTW-7915-KP, 643050.588260, 4025581.533244, Summit_GE2.8-127, , ,
2019-WTW-4674-KP, 638814.199170, 4028667.414756, Summit_GE2.8-127, , ,
2019-WTW-4689-KP, 639255.563856, 4026972.002639, Summit_GE2.8-127, , ,
2019-WTW-7921-KP, 639314.463247, 4030543.400608, Summit_GE2.8-127, , ,
2019-WTW-4710-KP, 643380.072473, 4027477.818622, Summit_GE2.8-127, , ,
2019-WTW-4648-KP, 638913.487240, 4030881.937825, Summit_GE2.8-127, , ,
2019-WTW-4721-KP, 643798.350971, 4025700.544683, Summit_GE2.8-127, , ,
2019-WTW-4652-KP, 640910.306246, 4030667.888581, Summit_GE2.8-127, , ,
2019-WTW-4658-KP, 643350.893237, 4030724.068900, Summit_GE2.8-127, , ,
2019-WTW-4692-KP, 640933.981632, 4028117.103278, Summit_GE2.8-127, , ,
2019-WTW-4695-KP, 642076.518358, 4028698.362385, Summit_GE2.8-127, , ,
2019-WTW-7914-KP, 642457.921904, 4027436.415416, Summit_GE2.8-127, , ,
2019-WTW-4675-KP, 639300.397636, 4028608.312909, Summit_GE2.8-127, , ,
2019-WTW-4702-KP, 645358.125553, 4028064.509708, Summit_GE2.8-127, , ,
2019-WTW-4704-KP, 646974.461559, 4027853.432924, Summit_GE2.8-127, , ,
2019-WTW-4712-KP, 644188.833666, 4027458.287371, Summit_GE2.8-127, , ,
2019-WTW-7916-KP, 643397.166173, 4025740.058856, Summit_GE2.8-127, , ,
